id;time;x_odom;y_odom;
1;356.547000000;-12.547;8.54205;
2;356.747000000;-12.5425;8.54206;
3;356.948000000;-12.5126;8.54182;
4;357.148000000;-12.4705;8.53928;
5;357.347000000;-12.4345;8.53462;
6;357.547000000;-12.4;8.52794;
7;357.747000000;-12.3704;8.52083;
8;357.948000000;-12.3317;8.50993;
9;358.147000000;-12.2975;8.49892;
10;358.347000000;-12.2646;8.48688;
11;358.547000000;-12.2312;8.47313;
12;358.747000000;-12.2038;8.46068;
13;358.947000000;-12.1712;8.44448;
14;359.147000000;-12.1393;8.42725;
15;359.347000000;-12.1093;8.4101;
16;359.547000000;-12.0783;8.39149;
17;359.747000000;-12.0433;8.36953;
18;359.947000000;-12.0132;8.34969;
19;360.147000000;-11.9893;8.33331;
20;360.347000000;-11.9549;8.30899;
21;360.547000000;-11.9306;8.29123;
22;360.747000000;-11.9018;8.26986;
23;360.947000000;-11.875;8.24964;
24;361.148000000;-11.8419;8.22391;
25;361.348000000;-11.8146;8.20216;
26;361.547000000;-11.7916;8.18353;
27;361.747000000;-11.7653;8.162;
28;361.947000000;-11.7391;8.14029;
29;362.147000000;-11.7118;8.11728;
30;362.347000000;-11.6852;8.09449;
31;362.547000000;-11.6555;8.06883;
32;362.747000000;-11.6294;8.04615;
33;362.947000000;-11.6068;8.0262;
34;363.147000000;-11.5813;8.00347;
35;363.347000000;-11.5555;7.98048;
36;363.547000000;-11.5286;7.95645;
37;363.748000000;-11.4976;7.92849;
38;363.947000000;-11.4718;7.90522;
39;364.147000000;-11.4451;7.88129;
40;364.348000000;-11.4184;7.85737;
41;364.547000000;-11.3968;7.83806;
42;364.747000000;-11.3721;7.81583;
43;364.947000000;-11.3457;7.79216;
44;365.147000000;-11.3238;7.77265;
45;365.347000000;-11.2933;7.74564;
46;365.547000000;-11.2682;7.72333;
47;365.747000000;-11.2412;7.69927;
48;365.947000000;-11.2143;7.67551;
49;366.147000000;-11.1828;7.64797;
50;366.347000000;-11.1601;7.62813;
51;366.547000000;-11.1336;7.60519;
52;366.747000000;-11.111;7.58564;
53;366.947000000;-11.0801;7.55908;
54;367.147000000;-11.0529;7.53572;
55;367.347000000;-11.0255;7.51249;
56;367.547000000;-10.9934;7.48527;
57;367.747000000;-10.9668;7.46294;
58;367.947000000;-10.9399;7.44027;
59;368.147000000;-10.9172;7.42118;
60;368.347000000;-10.8944;7.4019;
61;368.547000000;-10.8655;7.37763;
62;368.747000000;-10.8378;7.35444;
63;368.947000000;-10.8103;7.33153;
64;369.147000000;-10.7827;7.30843;
65;369.348000000;-10.7505;7.28124;
66;369.548000000;-10.7249;7.25923;
67;369.747000000;-10.7027;7.24002;
68;369.947000000;-10.6831;7.22289;
69;370.147000000;-10.6537;7.1969;
70;370.347000000;-10.6288;7.1741;
71;370.547000000;-10.6025;7.14929;
72;370.747000000;-10.5777;7.12509;
73;370.947000000;-10.5524;7.09927;
74;371.147000000;-10.5284;7.07389;
75;371.347000000;-10.5006;7.0434;
76;371.548000000;-10.4787;7.01812;
77;371.747000000;-10.4574;6.99249;
78;371.947000000;-10.4416;6.97266;
79;372.147000000;-10.4263;6.9524;
80;372.347000000;-10.4034;6.92057;
81;372.547000000;-10.3843;6.89276;
82;372.747000000;-10.3653;6.86395;
83;372.947000000;-10.3448;6.83187;
84;373.147000000;-10.3268;6.80191;
85;373.347000000;-10.3118;6.77565;
86;373.547000000;-10.2965;6.74765;
87;373.747000000;-10.2774;6.71;
88;373.947000000;-10.2644;6.68272;
89;374.147000000;-10.2497;6.64977;
90;374.347000000;-10.2359;6.61622;
91;374.547000000;-10.2231;6.58247;
92;374.747000000;-10.2113;6.54903;
93;374.947000000;-10.1983;6.50902;
94;375.148000000;-10.1897;6.48009;
95;375.347000000;-10.1801;6.44514;
96;375.547000000;-10.1713;6.41028;
97;375.747000000;-10.1632;6.37504;
98;375.947000000;-10.1558;6.33948;
99;376.147000000;-10.1481;6.29834;
100;376.347000000;-10.1431;6.26855;
101;376.547000000;-10.1368;6.22691;
102;376.747000000;-10.1327;6.19719;
103;376.947000000;-10.1283;6.16128;
104;377.147000000;-10.1244;6.12537;
105;377.348000000;-10.1212;6.08954;
106;377.547000000;-10.1182;6.04749;
107;377.747000000;-10.1163;6.01153;
108;377.947000000;-10.115;5.98148;
109;378.147000000;-10.1138;5.93945;
110;378.347000000;-10.1134;5.90929;
111;378.547000000;-10.1134;5.87319;
112;378.748000000;-10.114;5.83717;
113;378.947000000;-10.1153;5.79539;
114;379.147000000;-10.1166;5.76564;
115;379.348000000;-10.1192;5.72382;
116;379.548000000;-10.1214;5.6937;
117;379.747000000;-10.125;5.65192;
118;379.948000000;-10.1286;5.61615;
119;380.147000000;-10.1325;5.58019;
120;380.348000000;-10.1358;5.55188;
121;380.547000000;-10.1405;5.51232;
122;380.747000000;-10.1434;5.48938;
123;380.947000000;-10.1493;5.44273;
124;381.147000000;-10.1525;5.41951;
125;381.348000000;-10.1577;5.37786;
126;381.547000000;-10.1618;5.34223;
127;381.747000000;-10.1657;5.30661;
128;381.947000000;-10.1692;5.27077;
129;382.147000000;-10.1722;5.23514;
130;382.347000000;-10.1752;5.19349;
131;382.547000000;-10.1772;5.15764;
132;382.747000000;-10.1786;5.12769;
133;382.947000000;-10.1797;5.09778;
134;383.147000000;-10.1806;5.05605;
135;383.347000000;-10.1808;5.02014;
136;383.547000000;-10.1803;4.98433;
137;383.747000000;-10.1792;4.94872;
138;383.947000000;-10.1774;4.9078;
139;384.148000000;-10.1754;4.87806;
140;384.347000000;-10.1717;4.83764;
141;384.547000000;-10.1687;4.81012;
142;384.747000000;-10.1638;4.77371;
143;384.947000000;-10.1597;4.7465;
144;385.148000000;-10.1543;4.71603;
145;385.347000000;-10.1474;4.68274;
146;385.547000000;-10.1393;4.65062;
147;385.747000000;-10.1284;4.61169;
148;385.947000000;-10.1198;4.58449;
149;386.147000000;-10.1062;4.5456;
150;386.347000000;-10.0958;4.51887;
151;386.547000000;-10.0822;4.487;
152;386.747000000;-10.0673;4.45447;
153;386.947000000;-10.0513;4.42267;
154;387.147000000;-10.0365;4.39537;
155;387.347000000;-10.0219;4.37044;
156;387.547000000;-10.0026;4.33967;
157;387.747000000;-9.98573;4.31527;
