id;time;x_odom;y_odom;
1;356.543000000;-12.547;8.54205;
2;356.743000000;-12.5425;8.54206;
3;356.943000000;-12.5185;8.54195;
4;357.143000000;-12.4831;8.54014;
5;357.344000000;-12.4419;8.53398;
6;357.543000000;-12.4071;8.52593;
7;357.744000000;-12.3724;8.51522;
8;357.943000000;-12.339;8.50224;
9;358.143000000;-12.3065;8.4869;
10;358.343000000;-12.2705;8.46772;
11;358.543000000;-12.2402;8.44897;
12;358.743000000;-12.211;8.4286;
13;358.943000000;-12.1826;8.40656;
14;359.143000000;-12.1596;8.38722;
15;359.343000000;-12.1376;8.36815;
16;359.543000000;-12.107;8.34083;
17;359.743000000;-12.0813;8.31717;
18;359.943000000;-12.0562;8.29363;
19;360.143000000;-12.0308;8.26951;
20;360.343000000;-12.0057;8.24512;
21;360.543000000;-11.9767;8.21629;
22;360.743000000;-11.9568;8.1957;
23;360.944000000;-11.9331;8.17059;
24;361.143000000;-11.9088;8.1439;
25;361.343000000;-11.8893;8.12138;
26;361.543000000;-11.8626;8.08915;
27;361.743000000;-11.8401;8.06056;
28;361.943000000;-11.8185;8.03166;
29;362.143000000;-11.7974;8.00238;
30;362.343000000;-11.7767;7.97294;
31;362.544000000;-11.7527;7.93828;
32;362.743000000;-11.7359;7.91337;
33;362.943000000;-11.7192;7.8884;
34;363.143000000;-11.6962;7.85342;
35;363.343000000;-11.6769;7.82299;
36;363.543000000;-11.6578;7.79258;
37;363.743000000;-11.6389;7.76185;
38;363.943000000;-11.6172;7.72607;
39;364.143000000;-11.6018;7.70061;
40;364.343000000;-11.5833;7.66975;
41;364.543000000;-11.5678;7.64393;
42;364.743000000;-11.5464;7.60842;
43;364.943000000;-11.5279;7.57767;
44;365.143000000;-11.5092;7.54684;
45;365.343000000;-11.4905;7.51624;
46;365.543000000;-11.4682;7.48107;
47;365.743000000;-11.4516;7.4562;
48;365.943000000;-11.4345;7.43192;
49;366.144000000;-11.406;7.39446;
50;366.343000000;-11.3869;7.3716;
51;366.544000000;-11.3633;7.34545;
52;366.743000000;-11.3384;7.31998;
53;366.943000000;-11.3123;7.29537;
54;367.143000000;-11.2815;7.26769;
55;367.343000000;-11.2589;7.24828;
56;367.543000000;-11.2359;7.22891;
57;367.743000000;-11.2042;7.20297;
58;367.943000000;-11.1761;7.18064;
59;368.143000000;-11.1478;7.15874;
60;368.344000000;-11.1192;7.13735;
61;368.543000000;-11.0852;7.11323;
62;368.743000000;-11.0605;7.09657;
63;368.943000000;-11.0353;7.08035;
64;369.143000000;-10.9998;7.05885;
65;369.343000000;-10.9686;7.04141;
66;369.544000000;-10.9368;7.02474;
67;369.743000000;-10.9047;7.00914;
68;369.943000000;-10.868;6.99274;
69;370.143000000;-10.8404;6.9814;
70;370.343000000;-10.8142;6.97145;
71;370.543000000;-10.7753;6.95797;
72;370.743000000;-10.7416;6.9471;
73;370.943000000;-10.7098;6.93735;
74;371.143000000;-10.6793;6.92858;
75;371.343000000;-10.6502;6.92063;
76;371.543000000;-10.6194;6.91251;
77;371.743000000;-10.5961;6.90589;
78;371.943000000;-10.5729;6.89818;
79;372.143000000;-10.5427;6.88653;
80;372.344000000;-10.5175;6.87496;
81;372.543000000;-10.4933;6.86211;
82;372.743000000;-10.4698;6.84786;
83;372.943000000;-10.444;6.82976;
84;373.143000000;-10.4227;6.81269;
85;373.343000000;-10.4026;6.7945;
86;373.544000000;-10.3869;6.77843;
87;373.743000000;-10.3719;6.76138;
88;373.943000000;-10.3514;6.73522;
89;374.144000000;-10.3355;6.7129;
90;374.344000000;-10.3206;6.68952;
91;374.543000000;-10.3072;6.66611;
92;374.743000000;-10.2948;6.64162;
93;374.943000000;-10.2813;6.61305;
94;375.143000000;-10.2719;6.59268;
95;375.344000000;-10.2627;6.57239;
96;375.543000000;-10.25;6.54431;
97;375.743000000;-10.2388;6.52009;
98;375.943000000;-10.2275;6.49567;
99;376.143000000;-10.2163;6.47177;
100;376.343000000;-10.2032;6.44382;
101;376.543000000;-10.1919;6.41954;
102;376.743000000;-10.1826;6.39914;
103;376.943000000;-10.1737;6.37926;
104;377.143000000;-10.1616;6.35069;
105;377.343000000;-10.1522;6.32518;
106;377.543000000;-10.1442;6.29953;
107;377.743000000;-10.1373;6.27336;
108;377.943000000;-10.1316;6.24711;
109;378.143000000;-10.127;6.22075;
110;378.346000000;-10.1233;6.19432;
111;378.543000000;-10.1195;6.16786;
112;378.744000000;-10.1157;6.1413;
113;378.943000000;-10.1113;6.11101;
114;379.143000000;-10.1083;6.08902;
115;379.343000000;-10.1054;6.06684;
116;379.543000000;-10.1014;6.03596;
117;379.743000000;-10.0979;6.01005;
118;379.943000000;-10.0941;5.98391;
119;380.144000000;-10.0898;5.95763;
120;380.343000000;-10.0852;5.93119;
121;380.543000000;-10.079;5.89957;
122;380.743000000;-10.0746;5.87779;
123;380.943000000;-10.0699;5.85598;
124;381.143000000;-10.0632;5.82573;
125;381.343000000;-10.0571;5.8002;
126;381.543000000;-10.0508;5.77434;
127;381.743000000;-10.0443;5.74818;
128;381.943000000;-10.0372;5.71802;
129;382.143000000;-10.031;5.69237;
130;382.343000000;-10.0257;5.67075;
131;382.543000000;-10.0202;5.64835;
132;382.743000000;-10.0134;5.61715;
133;382.943000000;-10.0089;5.59075;
134;383.143000000;-10.0048;5.56426;
135;383.343000000;-10.0008;5.53773;
136;383.543000000;-9.99692;5.51163;
137;383.743000000;-9.99282;5.48547;
138;383.943000000;-9.98836;5.45917;
139;384.143000000;-9.9833;5.42829;
140;384.344000000;-9.97986;5.40655;
141;384.543000000;-9.97639;5.38469;
142;384.743000000;-9.97117;5.34926;
143;384.943000000;-9.96854;5.32679;
144;385.144000000;-9.96605;5.30038;
145;385.344000000;-9.96393;5.27368;
146;385.543000000;-9.96202;5.24691;
147;385.743000000;-9.96027;5.21555;
148;385.944000000;-9.95935;5.19316;
149;386.143000000;-9.95879;5.1708;
150;386.343000000;-9.95816;5.13966;
151;386.543000000;-9.95755;5.11311;
152;386.743000000;-9.9569;5.08661;
153;386.943000000;-9.95625;5.06002;
154;387.144000000;-9.95562;5.0333;
155;387.343000000;-9.95496;5.00681;
156;387.543000000;-9.95448;4.97985;
157;387.743000000;-9.95444;4.95285;
158;387.943000000;-9.95454;4.92599;
159;388.143000000;-9.95471;4.89937;
160;388.343000000;-9.95487;4.86866;
161;388.543000000;-9.95496;4.84204;
162;388.743000000;-9.95496;4.81978;
163;388.943000000;-9.95486;4.7976;
164;389.143000000;-9.95465;4.76681;
165;389.343000000;-9.95455;4.73999;
166;389.543000000;-9.95481;4.71313;
167;389.743000000;-9.955;4.68661;
168;389.943000000;-9.95511;4.66027;
169;390.143000000;-9.95513;4.62923;
170;390.344000000;-9.95506;4.60701;
171;390.543000000;-9.9549;4.58488;
172;390.743000000;-9.95487;4.55374;
173;390.943000000;-9.9549;4.52706;
174;391.145000000;-9.95482;4.50044;
175;391.343000000;-9.95462;4.47398;
176;391.543000000;-9.95416;4.44328;
177;391.743000000;-9.95298;4.42129;
178;391.943000000;-9.95069;4.39943;
179;392.143000000;-9.94525;4.36974;
180;392.343000000;-9.9384;4.345;
181;392.543000000;-9.92964;4.32105;
182;392.744000000;-9.91885;4.29792;
183;392.943000000;-9.9039;4.27177;
184;393.143000000;-9.89183;4.25402;
185;393.343000000;-9.87865;4.23682;
186;393.543000000;-9.85919;4.21422;
187;393.743000000;-9.84114;4.19586;
188;393.943000000;-9.82186;4.17874;
189;394.143000000;-9.80119;4.163;
190;394.343000000;-9.77956;4.14879;
191;394.543000000;-9.75323;4.13378;
192;394.743000000;-9.73369;4.12395;
193;394.943000000;-9.70999;4.11366;
194;395.143000000;-9.68951;4.10556;
195;395.343000000;-9.66043;4.09461;
196;395.544000000;-9.6358;4.086;
197;395.743000000;-9.61093;4.07827;
198;395.943000000;-9.58559;4.07134;
199;396.143000000;-9.55561;4.06416;
200;396.343000000;-9.53397;4.05919;
201;396.543000000;-9.50814;4.05309;
202;396.743000000;-9.48651;4.04785;
203;396.943000000;-9.45631;4.04037;
204;397.143000000;-9.43046;4.03332;
205;397.344000000;-9.40492;4.02579;
206;397.544000000;-9.37928;4.01748;
207;397.743000000;-9.35146;4.0078;
208;397.943000000;-9.3259;3.9984;
209;398.143000000;-9.29986;3.98869;
210;398.343000000;-9.27023;3.97779;
211;398.543000000;-9.24319;3.9682;
212;398.743000000;-9.22134;3.96073;
213;398.943000000;-9.20015;3.95397;
214;399.143000000;-9.17045;3.94524;
215;399.343000000;-9.145;3.93856;
216;399.543000000;-9.11943;3.93266;
217;399.743000000;-9.09365;3.92752;
218;399.943000000;-9.06789;3.92322;
219;400.143000000;-9.04184;3.9196;
220;400.343000000;-9.01111;3.91627;
221;400.543000000;-8.98488;3.9142;
222;400.743000000;-8.95868;3.91271;
223;400.943000000;-8.9366;3.9118;
224;401.143000000;-8.91432;3.91116;
225;401.343000000;-8.88333;3.91064;
226;401.543000000;-8.85695;3.91043;
227;401.743000000;-8.83037;3.91036;
228;401.943000000;-8.80358;3.91035;
229;402.144000000;-8.777;3.91037;
230;402.345000000;-8.75056;3.9104;
231;402.543000000;-8.7195;3.91045;
232;402.743000000;-8.69267;3.91048;
233;402.944000000;-8.66622;3.91052;
234;403.143000000;-8.63975;3.91058;
235;403.343000000;-8.61748;3.91062;
236;403.543000000;-8.59065;3.91068;
237;403.743000000;-8.56851;3.91073;
238;403.943000000;-8.5377;3.9108;
239;404.143000000;-8.51101;3.91088;
240;404.343000000;-8.48419;3.91094;
241;404.544000000;-8.45773;3.91102;
242;404.743000000;-8.43124;3.91111;
243;404.943000000;-8.40454;3.9112;
244;405.143000000;-8.37334;3.91131;
245;405.343000000;-8.35129;3.91139;
246;405.543000000;-8.32917;3.91148;
247;405.743000000;-8.29805;3.91162;
248;405.943000000;-8.27125;3.91172;
249;406.143000000;-8.24487;3.91184;
250;406.343000000;-8.21834;3.91196;
251;406.543000000;-8.19158;3.91206;
252;406.743000000;-8.16052;3.91214;
253;406.944000000;-8.1341;3.9122;
254;407.143000000;-8.11174;3.91217;
255;407.343000000;-8.08377;3.91219;
256;407.543000000;-8.0407;3.91204;
257;407.743000000;-8.01692;3.9118;
258;407.943000000;-7.97504;3.91087;
259;408.143000000;-7.93889;3.90886;
260;408.345000000;-7.90316;3.9056;
261;408.543000000;-7.86693;3.90108;
262;408.743000000;-7.83121;3.89551;
263;408.943000000;-7.79554;3.88867;
264;409.143000000;-7.7601;3.88042;
265;409.343000000;-7.71916;3.86959;
266;409.543000000;-7.68485;3.85881;
267;409.744000000;-7.65075;3.84668;
268;409.943000000;-7.62247;3.83581;
269;410.143000000;-7.59446;3.82462;
270;410.344000000;-7.55582;3.80841;
271;410.543000000;-7.52262;3.79357;
272;410.743000000;-7.49049;3.77803;
