id;time;x_odom;y_odom;
1;356.543000000;-12.547;8.54205;
2;356.744000000;-12.5425;8.54206;
3;356.943000000;-12.516;8.54122;
4;357.143000000;-12.4899;8.53632;
5;357.343000000;-12.456;8.52132;
6;357.543000000;-12.427;8.50166;
7;357.743000000;-12.3949;8.47741;
8;357.944000000;-12.3661;8.45728;
9;358.143000000;-12.3369;8.43691;
10;358.343000000;-12.3133;8.41997;
11;358.543000000;-12.2892;8.40277;
12;358.743000000;-12.2603;8.38192;
13;358.943000000;-12.2266;8.35744;
14;359.144000000;-12.1982;8.33675;
15;359.343000000;-12.1689;8.31593;
16;359.544000000;-12.1396;8.29563;
17;359.743000000;-12.1104;8.27505;
18;359.944000000;-12.0816;8.25415;
19;360.143000000;-12.0525;8.23321;
20;360.343000000;-12.0184;8.20911;
21;360.543000000;-11.9938;8.1919;
22;360.743000000;-11.9692;8.17514;
23;360.943000000;-11.9346;8.15135;
24;361.143000000;-11.905;8.13068;
25;361.343000000;-11.8758;8.11017;
26;361.543000000;-11.8461;8.08979;
27;361.743000000;-11.8162;8.06925;
28;361.943000000;-11.7821;8.04498;
29;362.143000000;-11.7577;8.02735;
30;362.343000000;-11.7328;8.00973;
31;362.543000000;-11.7036;7.98887;
32;362.743000000;-11.6695;7.96438;
33;362.943000000;-11.6403;7.94359;
34;363.143000000;-11.6113;7.92264;
35;363.343000000;-11.5823;7.90051;
36;363.543000000;-11.5544;7.87795;
37;363.743000000;-11.5264;7.85563;
38;363.943000000;-11.4935;7.82912;
39;364.143000000;-11.4659;7.80639;
40;364.343000000;-11.4382;7.78352;
41;364.543000000;-11.4149;7.76418;
42;364.743000000;-11.392;7.74493;
43;364.943000000;-11.3604;7.71721;
44;365.144000000;-11.3334;7.69319;
45;365.343000000;-11.3064;7.66916;
46;365.543000000;-11.28;7.64439;
47;365.743000000;-11.254;7.61962;
48;365.943000000;-11.2244;7.58978;
49;366.143000000;-11.204;7.56748;
50;366.343000000;-11.1836;7.54547;
51;366.543000000;-11.1549;7.51476;
52;366.743000000;-11.1304;7.48808;
53;366.943000000;-11.1067;7.46125;
54;367.143000000;-11.0838;7.43399;
55;367.343000000;-11.061;7.40692;
56;367.543000000;-11.0383;7.37934;
57;367.743000000;-11.0153;7.35188;
58;367.943000000;-10.9923;7.32439;
59;368.143000000;-10.9703;7.29546;
60;368.343000000;-10.9495;7.2659;
61;368.543000000;-10.9289;7.23686;
62;368.744000000;-10.9043;7.20277;
63;368.943000000;-10.8868;7.17842;
64;369.143000000;-10.8668;7.14951;
65;369.343000000;-10.8502;7.1243;
66;369.543000000;-10.8271;7.08898;
67;369.743000000;-10.8079;7.05869;
68;369.943000000;-10.7887;7.02815;
69;370.143000000;-10.7694;6.99768;
70;370.343000000;-10.7506;6.96685;
71;370.544000000;-10.7321;6.93603;
72;370.743000000;-10.7133;6.90543;
73;370.943000000;-10.6949;6.87446;
74;371.143000000;-10.6774;6.8423;
75;371.343000000;-10.6567;6.80591;
76;371.543000000;-10.6419;6.7798;
77;371.743000000;-10.6236;6.7488;
78;371.943000000;-10.6086;6.72272;
79;372.143000000;-10.5912;6.69124;
80;372.343000000;-10.5711;6.65439;
81;372.543000000;-10.5536;6.62234;
82;372.743000000;-10.5372;6.59019;
83;372.943000000;-10.5209;6.55809;
84;373.143000000;-10.5042;6.52623;
85;373.343000000;-10.4855;6.48835;
