id;time;x_odom;y_odom;
1;356.558000000;-12.775;-5.44695;
2;356.758000000;-12.7671;-5.44694;
3;356.958000000;-12.7275;-5.44675;
4;357.158000000;-12.6918;-5.4459;
5;357.358000000;-12.6559;-5.44442;
6;357.558000000;-12.6259;-5.44276;
7;357.758000000;-12.5853;-5.43998;
8;357.958000000;-12.5531;-5.43738;
9;358.158000000;-12.5231;-5.43489;
10;358.358000000;-12.4874;-5.43193;
11;358.558000000;-12.4517;-5.4286;
12;358.758000000;-12.4159;-5.42474;
13;358.958000000;-12.3745;-5.41976;
14;359.158000000;-12.3389;-5.41493;
15;359.358000000;-12.3044;-5.40973;
16;359.558000000;-12.2752;-5.40494;
17;359.758000000;-12.2351;-5.39773;
18;359.958000000;-12.2061;-5.39192;
19;360.158000000;-12.1736;-5.38483;
20;360.358000000;-12.1391;-5.37644;
21;360.558000000;-12.106;-5.36794;
22;360.758000000;-12.0663;-5.35725;
23;360.958000000;-12.0334;-5.34802;
24;361.158000000;-11.9994;-5.33836;
25;361.358000000;-11.9646;-5.32869;
26;361.558000000;-11.9296;-5.31989;
27;361.758000000;-11.9001;-5.31324;
28;361.958000000;-11.8588;-5.30507;
29;362.158000000;-11.8232;-5.29894;
30;362.358000000;-11.7875;-5.29366;
31;362.558000000;-11.7576;-5.28978;
32;362.758000000;-11.7216;-5.28568;
33;362.958000000;-11.6858;-5.28225;
34;363.159000000;-11.6499;-5.27938;
35;363.358000000;-11.6139;-5.27685;
36;363.558000000;-11.5782;-5.27406;
37;363.758000000;-11.5424;-5.27092;
38;363.958000000;-11.5006;-5.2668;
39;364.158000000;-11.4661;-5.26322;
40;364.358000000;-11.4363;-5.25996;
41;364.558000000;-11.3946;-5.25507;
42;364.758000000;-11.3592;-5.25089;
43;364.958000000;-11.3293;-5.24759;
44;365.158000000;-11.2933;-5.24393;
45;365.358000000;-11.2576;-5.24064;
46;365.558000000;-11.2157;-5.23713;
47;365.758000000;-11.1797;-5.23441;
48;365.958000000;-11.1499;-5.23237;
49;366.158000000;-11.1079;-5.2298;
50;366.358000000;-11.0719;-5.22787;
51;366.558000000;-11.0419;-5.22643;
52;366.758000000;-11.0059;-5.22483;
53;366.958000000;-10.9699;-5.22327;
54;367.158000000;-10.9281;-5.22145;
55;367.358000000;-10.8921;-5.21982;
56;367.558000000;-10.8563;-5.21796;
57;367.759000000;-10.8263;-5.21624;
58;367.958000000;-10.7844;-5.21359;
59;368.158000000;-10.7548;-5.21152;
60;368.358000000;-10.714;-5.20836;
61;368.558000000;-10.6812;-5.20553;
62;368.758000000;-10.652;-5.20292;
63;368.958000000;-10.6163;-5.19937;
64;369.158000000;-10.5805;-5.19545;
65;369.358000000;-10.5449;-5.1913;
66;369.558000000;-10.5034;-5.18612;
67;369.758000000;-10.4684;-5.1815;
68;369.958000000;-10.4351;-5.17687;
69;370.158000000;-10.4057;-5.17255;
70;370.358000000;-10.3658;-5.16651;
71;370.558000000;-10.3304;-5.16099;
72;370.759000000;-10.3008;-5.1562;
73;370.958000000;-10.2666;-5.15042;
74;371.158000000;-10.2316;-5.14423;
75;371.358000000;-10.1974;-5.13789;
76;371.558000000;-10.1572;-5.12985;
77;371.758000000;-10.1233;-5.12262;
78;371.958000000;-10.0947;-5.11616;
79;372.158000000;-10.0556;-5.10678;
80;372.358000000;-10.0211;-5.09791;
81;372.558000000;-9.99234;-5.08996;
82;372.758000000;-9.95866;-5.08007;
83;372.958000000;-9.92417;-5.06934;
84;373.158000000;-9.89025;-5.05803;
85;373.359000000;-9.85094;-5.04405;
86;373.559000000;-9.81719;-5.03129;
87;373.758000000;-9.78419;-5.018;
88;373.958000000;-9.75663;-5.0063;
89;374.158000000;-9.71973;-4.98977;
90;374.358000000;-9.69278;-4.97715;
91;374.559000000;-9.6609;-4.96148;
92;374.758000000;-9.63034;-4.9458;
93;374.958000000;-9.60005;-4.92961;
94;375.158000000;-9.57005;-4.91279;
95;375.358000000;-9.54058;-4.89538;
96;375.558000000;-9.50631;-4.87416;
97;375.758000000;-9.47804;-4.85574;
98;375.958000000;-9.45379;-4.8394;
99;376.158000000;-9.41955;-4.81537;
100;376.358000000;-9.39561;-4.79774;
101;376.558000000;-9.36723;-4.77607;
102;376.758000000;-9.33931;-4.75361;
103;376.958000000;-9.30848;-4.72764;
104;377.158000000;-9.28172;-4.70391;
105;377.360000000;-9.25677;-4.68076;
106;377.558000000;-9.23269;-4.65737;
107;377.758000000;-9.21167;-4.63615;
108;377.958000000;-9.18328;-4.6062;
109;378.158000000;-9.16381;-4.58468;
110;378.358000000;-9.14043;-4.55765;
111;378.559000000;-9.11858;-4.53106;
