id;time;x_odom;y_odom;
1;356.543000000;-12.775;-5.44695;
2;356.743000000;-12.7745;-5.44694;
3;356.943000000;-12.7515;-5.44693;
4;357.143000000;-12.7156;-5.44654;
5;357.343000000;-12.6799;-5.44548;
6;357.544000000;-12.6439;-5.44382;
7;357.743000000;-12.6022;-5.44125;
8;357.944000000;-12.5746;-5.4392;
9;358.143000000;-12.5411;-5.43651;
10;358.343000000;-12.5111;-5.4341;
11;358.543000000;-12.4696;-5.4306;
12;358.744000000;-12.4338;-5.42704;
13;358.946000000;-12.3982;-5.42299;
14;359.143000000;-12.3627;-5.41851;
15;359.344000000;-12.3271;-5.41346;
16;359.543000000;-12.2883;-5.40736;
17;359.743000000;-12.2592;-5.40204;
18;359.943000000;-12.2307;-5.39623;
19;360.143000000;-12.1906;-5.38708;
20;360.343000000;-12.156;-5.37833;
21;360.543000000;-12.1222;-5.36902;
22;360.743000000;-12.0876;-5.35909;
23;360.943000000;-12.0539;-5.34905;
24;361.143000000;-12.0141;-5.33692;
25;361.343000000;-11.9853;-5.32814;
26;361.544000000;-11.9566;-5.31977;
27;361.743000000;-11.9217;-5.31059;
28;361.943000000;-11.8806;-5.30112;
29;362.143000000;-11.8454;-5.29404;
30;362.343000000;-11.8142;-5.28836;
31;362.543000000;-11.7794;-5.28285;
32;362.743000000;-11.7436;-5.27798;
33;362.943000000;-11.7017;-5.27321;
34;363.143000000;-11.6718;-5.27042;
35;363.343000000;-11.6358;-5.26763;
36;363.543000000;-11.6057;-5.26543;
37;363.743000000;-11.5653;-5.26211;
38;363.943000000;-11.5295;-5.25867;
39;364.143000000;-11.4954;-5.25501;
40;364.343000000;-11.4609;-5.25066;
41;364.544000000;-11.4252;-5.24584;
42;364.743000000;-11.3837;-5.24018;
43;364.943000000;-11.3545;-5.23602;
44;365.143000000;-11.3199;-5.23084;
45;365.343000000;-11.2899;-5.22651;
46;365.544000000;-11.2484;-5.22117;
47;365.743000000;-11.2124;-5.21711;
48;365.943000000;-11.1766;-5.21356;
49;366.143000000;-11.1408;-5.21044;
50;366.343000000;-11.1046;-5.20772;
51;366.543000000;-11.0628;-5.20507;
52;366.743000000;-11.0328;-5.20345;
53;366.943000000;-11.0026;-5.20205;
54;367.143000000;-10.9608;-5.20035;
55;367.343000000;-10.9248;-5.19898;
56;367.543000000;-10.8887;-5.19771;
57;367.743000000;-10.8529;-5.19631;
58;367.944000000;-10.811;-5.19455;
59;368.143000000;-10.7749;-5.19294;
60;368.343000000;-10.7451;-5.19152;
61;368.544000000;-10.7151;-5.18995;
62;368.743000000;-10.6751;-5.18758;
63;368.943000000;-10.6395;-5.18503;
64;369.143000000;-10.6036;-5.18207;
65;369.343000000;-10.5677;-5.17877;
66;369.543000000;-10.5281;-5.1748;
67;369.743000000;-10.5002;-5.1719;
68;369.944000000;-10.4658;-5.16812;
69;370.143000000;-10.4363;-5.1646;
70;370.343000000;-10.3951;-5.15928;
71;370.543000000;-10.361;-5.15449;
72;370.745000000;-10.3257;-5.14912;
73;370.943000000;-10.2905;-5.14334;
74;371.143000000;-10.2566;-5.1373;
75;371.343000000;-10.2164;-5.12963;
76;371.543000000;-10.1876;-5.1237;
77;371.743000000;-10.1583;-5.11728;
78;371.943000000;-10.1188;-5.10809;
79;372.143000000;-10.084;-5.09944;
80;372.345000000;-10.0493;-5.09025;
81;372.543000000;-10.0148;-5.08054;
82;372.743000000;-9.98054;-5.07032;
83;372.944000000;-9.94063;-5.05772;
84;373.143000000;-9.9124;-5.04826;
85;373.343000000;-9.88624;-5.039;
86;373.543000000;-9.84745;-5.0246;
87;373.743000000;-9.81495;-5.01184;
88;373.943000000;-9.78193;-4.99817;
89;374.143000000;-9.74888;-4.98404;
90;374.343000000;-9.71743;-4.96997;
91;374.543000000;-9.68574;-4.95499;
92;374.744000000;-9.65465;-4.93977;
93;374.943000000;-9.62274;-4.92346;
94;375.143000000;-9.59309;-4.9077;
95;375.343000000;-9.55712;-4.88756;
96;375.543000000;-9.53306;-4.87348;
97;375.743000000;-9.50755;-4.85802;
98;375.944000000;-9.47451;-4.83711;
99;376.144000000;-9.44478;-4.8177;
100;376.343000000;-9.41516;-4.7975;
101;376.543000000;-9.38616;-4.77666;
102;376.743000000;-9.3531;-4.75155;
103;376.945000000;-9.33137;-4.73431;
104;377.143000000;-9.30874;-4.71548;
105;377.343000000;-9.27734;-4.68805;
106;377.543000000;-9.25248;-4.66539;
107;377.743000000;-9.22713;-4.64115;
108;377.943000000;-9.20173;-4.61584;
109;378.143000000;-9.17679;-4.58992;
110;378.343000000;-9.14873;-4.55961;
111;378.543000000;-9.12891;-4.53717;
112;378.743000000;-9.10644;-4.51046;
113;378.943000000;-9.08923;-4.48896;
114;379.143000000;-9.06766;-4.46065;
115;379.343000000;-9.03982;-4.42224;
116;379.543000000;-9.02384;-4.39937;
117;379.743000000;-9.00391;-4.36973;
118;379.943000000;-8.98455;-4.33969;
119;380.143000000;-8.96581;-4.3091;
120;380.344000000;-8.94797;-4.27823;
121;380.543000000;-8.928;-4.24158;
122;380.743000000;-8.91155;-4.20958;
123;380.943000000;-8.89861;-4.18285;
124;381.144000000;-8.88611;-4.15568;
125;381.343000000;-8.87;-4.1187;
126;381.543000000;-8.857;-4.08694;
127;381.743000000;-8.84418;-4.05346;
128;381.944000000;-8.83204;-4.01969;
129;382.143000000;-8.82069;-3.98585;
130;382.343000000;-8.80842;-3.94608;
131;382.544000000;-8.7987;-3.9122;
132;382.743000000;-8.78956;-3.87765;
133;382.943000000;-8.78239;-3.84864;
134;383.143000000;-8.77556;-3.81952;
135;383.343000000;-8.76785;-3.78443;
136;383.543000000;-8.7596;-3.74387;
137;383.743000000;-8.75375;-3.71324;
138;383.943000000;-8.74721;-3.6778;
139;384.143000000;-8.74079;-3.6429;
140;384.343000000;-8.73442;-3.6087;
141;384.543000000;-8.72809;-3.57575;
142;384.743000000;-8.72106;-3.54085;
143;384.943000000;-8.714;-3.50823;
144;385.143000000;-8.70512;-3.46918;
