id;time;x_odom;y_odom;
1;356.568000000;-12.775;-5.44695;
2;356.768000000;-12.7671;-5.44694;
3;356.968000000;-12.734;-5.44661;
4;357.168000000;-12.699;-5.4449;
5;357.368000000;-12.664;-5.44129;
6;357.568000000;-12.6296;-5.43643;
7;357.769000000;-12.595;-5.43011;
8;357.969000000;-12.5666;-5.42393;
9;358.168000000;-12.5318;-5.41518;
10;358.368000000;-12.4916;-5.40427;
11;358.568000000;-12.4575;-5.3942;
12;358.768000000;-12.4241;-5.38305;
13;358.968000000;-12.3905;-5.37035;
14;359.168000000;-12.3574;-5.35685;
15;359.371000000;-12.33;-5.34501;
16;359.568000000;-12.2971;-5.33034;
17;359.768000000;-12.2647;-5.31519;
18;359.968000000;-12.2272;-5.29698;
19;360.168000000;-12.1945;-5.28116;
20;360.368000000;-12.1623;-5.2656;
21;360.568000000;-12.1311;-5.25046;
22;360.768000000;-12.0988;-5.23486;
23;360.968000000;-12.0673;-5.22017;
24;361.168000000;-12.0347;-5.20612;
25;361.368000000;-12.0071;-5.19505;
26;361.568000000;-11.969;-5.18086;
27;361.768000000;-11.9407;-5.17113;
28;361.968000000;-11.9072;-5.16057;
29;362.168000000;-11.8678;-5.14878;
30;362.368000000;-11.8338;-5.13905;
31;362.568000000;-11.8002;-5.12978;
32;362.769000000;-11.7654;-5.1205;
33;362.968000000;-11.7303;-5.11177;
34;363.168000000;-11.6956;-5.10364;
35;363.368000000;-11.6609;-5.096;
36;363.568000000;-11.6325;-5.09016;
37;363.768000000;-11.598;-5.0834;
38;363.968000000;-11.5574;-5.07609;
39;364.168000000;-11.5219;-5.07035;
40;364.368000000;-11.4866;-5.06517;
41;364.568000000;-11.4517;-5.06029;
42;364.768000000;-11.4162;-5.05539;
43;364.969000000;-11.3805;-5.05034;
44;365.168000000;-11.3447;-5.04519;
45;365.368000000;-11.3094;-5.03982;
46;365.568000000;-11.2799;-5.03489;
47;365.768000000;-11.2442;-5.02867;
48;365.969000000;-11.2027;-5.02074;
49;366.168000000;-11.1678;-5.01288;
50;366.368000000;-11.1335;-5.00382;
51;366.569000000;-11.0992;-4.99375;
