id;time;x_odom;y_odom;
1;356.543000000;-12.775;-5.44695;
2;356.744000000;-12.7705;-5.44694;
3;356.943000000;-12.734;-5.44661;
4;357.143000000;-12.7047;-5.44528;
5;357.343000000;-12.6698;-5.44186;
6;357.543000000;-12.6345;-5.43681;
7;357.744000000;-12.6059;-5.43176;
8;357.943000000;-12.5661;-5.42288;
9;358.143000000;-12.5316;-5.41366;
10;358.343000000;-12.4974;-5.40385;
11;358.543000000;-12.4639;-5.39367;
12;358.744000000;-12.4302;-5.38239;
13;358.943000000;-12.3908;-5.36819;
14;359.144000000;-12.3631;-5.35727;
15;359.343000000;-12.3357;-5.34586;
16;359.543000000;-12.2975;-5.32923;
17;359.743000000;-12.2649;-5.31419;
18;359.943000000;-12.2325;-5.29883;
19;360.144000000;-12.1999;-5.28329;
20;360.343000000;-12.1675;-5.26761;
21;360.546000000;-12.136;-5.2523;
22;360.743000000;-12.1034;-5.23656;
23;360.943000000;-12.066;-5.21967;
24;361.143000000;-12.033;-5.20571;
25;361.343000000;-12.0053;-5.19472;
26;361.543000000;-11.978;-5.18448;
27;361.743000000;-11.944;-5.17262;
28;361.943000000;-11.9096;-5.16148;
29;362.143000000;-11.8695;-5.14946;
30;362.343000000;-11.8361;-5.14044;
31;362.543000000;-11.8014;-5.1319;
32;362.743000000;-11.768;-5.12401;
33;362.943000000;-11.7284;-5.11515;
34;363.143000000;-11.6993;-5.10891;
35;363.343000000;-11.6654;-5.102;
36;363.543000000;-11.6314;-5.09552;
37;363.743000000;-11.5968;-5.08923;
38;363.944000000;-11.568;-5.08429;
39;364.143000000;-11.5265;-5.07773;
40;364.343000000;-11.491;-5.07249;
41;364.543000000;-11.4553;-5.0672;
42;364.743000000;-11.4198;-5.06199;
43;364.943000000;-11.3843;-5.0566;
44;365.143000000;-11.3489;-5.05113;
45;365.343000000;-11.3083;-5.04387;
46;365.544000000;-11.2791;-5.03777;
47;365.743000000;-11.244;-5.02953;
48;365.943000000;-11.2093;-5.0208;
49;366.144000000;-11.1751;-5.0113;
50;366.343000000;-11.1467;-5.00274;
51;366.543000000;-11.107;-4.98949;
52;366.743000000;-11.0736;-4.97727;
53;366.943000000;-11.04;-4.96456;
54;367.143000000;-11.0064;-4.95153;
55;367.343000000;-10.9679;-4.93631;
56;367.543000000;-10.9343;-4.92325;
57;367.743000000;-10.9061;-4.91238;
58;367.943000000;-10.8724;-4.89966;
59;368.143000000;-10.8441;-4.88935;
60;368.343000000;-10.8101;-4.8771;
61;368.543000000;-10.7705;-4.86328;
62;368.743000000;-10.7362;-4.85203;
63;368.943000000;-10.7016;-4.8414;
64;369.143000000;-10.667;-4.83132;
65;369.345000000;-10.6333;-4.82207;
66;369.543000000;-10.5994;-4.81318;
67;369.743000000;-10.5585;-4.80319;
68;369.943000000;-10.5295;-4.79698;
69;370.143000000;-10.5;-4.79138;
70;370.343000000;-10.4583;-4.78456;
71;370.543000000;-10.4226;-4.77975;
72;370.743000000;-10.3881;-4.7758;
73;370.943000000;-10.3519;-4.77229;
74;371.143000000;-10.3098;-4.76933;
75;371.343000000;-10.2804;-4.76776;
76;371.545000000;-10.2443;-4.76613;
77;371.743000000;-10.2084;-4.76497;
78;371.943000000;-10.1723;-4.76397;
79;372.143000000;-10.137;-4.76329;
80;372.343000000;-10.1071;-4.76281;
81;372.543000000;-10.0651;-4.76241;
82;372.743000000;-10.029;-4.76221;
83;372.943000000;-9.99301;-4.76215;
84;373.143000000;-9.95603;-4.76248;
85;373.343000000;-9.92031;-4.76306;
86;373.543000000;-9.88555;-4.76373;
87;373.743000000;-9.8497;-4.76435;
88;373.943000000;-9.80876;-4.76492;
89;374.143000000;-9.77877;-4.76546;
90;374.343000000;-9.74866;-4.76594;
91;374.544000000;-9.71311;-4.76624;
92;374.744000000;-9.67141;-4.76649;
93;374.943000000;-9.63695;-4.7665;
94;375.144000000;-9.6021;-4.76613;
95;375.343000000;-9.56644;-4.76474;
96;375.543000000;-9.53061;-4.76271;
97;375.743000000;-9.48925;-4.75909;
98;375.943000000;-9.45976;-4.75547;
99;376.143000000;-9.42439;-4.74999;
100;376.343000000;-9.39512;-4.74433;
101;376.543000000;-9.35486;-4.73456;
102;376.743000000;-9.32079;-4.72454;
103;376.943000000;-9.28697;-4.71294;
104;377.143000000;-9.25379;-4.70002;
105;377.343000000;-9.21782;-4.68404;
106;377.545000000;-9.19178;-4.67117;
107;377.743000000;-9.16462;-4.65637;
108;377.943000000;-9.14366;-4.64393;
109;378.143000000;-9.11638;-4.62641;
110;378.343000000;-9.09248;-4.60971;
111;378.543000000;-9.06829;-4.59173;
112;378.743000000;-9.04556;-4.57361;
113;378.943000000;-9.02547;-4.55646;
114;379.143000000;-9.00263;-4.53594;
115;379.343000000;-8.98655;-4.52067;
116;379.543000000;-8.9678;-4.50206;
117;379.743000000;-8.9486;-4.48176;
118;379.943000000;-8.93297;-4.46427;
119;380.143000000;-8.91314;-4.44046;
120;380.344000000;-8.89673;-4.4197;
121;380.543000000;-8.8809;-4.39852;
122;380.743000000;-8.86537;-4.37675;
123;380.944000000;-8.84798;-4.35138;
124;381.143000000;-8.83571;-4.33296;
125;381.344000000;-8.82149;-4.31075;
126;381.543000000;-8.80987;-4.29203;
127;381.744000000;-8.79422;-4.26571;
128;381.943000000;-8.7812;-4.24263;
129;382.143000000;-8.76859;-4.21928;
130;382.343000000;-8.75676;-4.19606;
131;382.543000000;-8.74558;-4.17239;
132;382.743000000;-8.73445;-4.14817;
133;382.944000000;-8.72352;-4.12379;
134;383.143000000;-8.71085;-4.09596;
135;383.344000000;-8.69976;-4.07191;
136;383.543000000;-8.68863;-4.04763;
137;383.744000000;-8.67978;-4.02726;
138;383.943000000;-8.67154;-4.0072;
139;384.143000000;-8.66018;-3.97865;
140;384.343000000;-8.65053;-3.95372;
141;384.543000000;-8.64142;-3.92899;
142;384.743000000;-8.6334;-3.90413;
143;384.943000000;-8.62533;-3.87474;
144;385.143000000;-8.62038;-3.85351;
145;385.343000000;-8.61605;-3.8321;
146;385.543000000;-8.61101;-3.80176;
147;385.743000000;-8.60764;-3.77561;
148;385.943000000;-8.60508;-3.74963;
149;386.144000000;-8.6032;-3.72337;
150;386.343000000;-8.60173;-3.69236;
151;386.543000000;-8.60109;-3.67025;
152;386.743000000;-8.60072;-3.64828;
153;386.943000000;-8.60043;-3.61736;
154;387.144000000;-8.60031;-3.5906;
155;387.343000000;-8.60025;-3.56404;
156;387.544000000;-8.60022;-3.53764;
157;387.743000000;-8.60028;-3.50662;
158;387.943000000;-8.60033;-3.48423;
159;388.143000000;-8.60038;-3.46203;
160;388.343000000;-8.60045;-3.43123;
