id;time;x_odom;y_odom;
1;356.533000000;-12.775;-5.44695;
2;356.733000000;-12.7676;-5.44694;
3;356.933000000;-12.7459;-5.44622;
4;357.133000000;-12.7184;-5.44299;
5;357.333000000;-12.68;-5.4344;
6;357.533000000;-12.651;-5.42647;
7;357.733000000;-12.616;-5.41815;
8;357.933000000;-12.5824;-5.41134;
9;358.133000000;-12.5539;-5.406;
10;358.333000000;-12.5122;-5.40107;
11;358.533000000;-12.4808;-5.3991;
12;358.733000000;-12.4526;-5.39706;
13;358.934000000;-12.4184;-5.39142;
14;359.133000000;-12.3841;-5.3831;
15;359.333000000;-12.3514;-5.3757;
16;359.533000000;-12.3112;-5.36717;
17;359.733000000;-12.2821;-5.36065;
18;359.933000000;-12.247;-5.35297;
19;360.133000000;-12.2117;-5.34529;
20;360.333000000;-12.1765;-5.33788;
21;360.533000000;-12.1414;-5.33124;
22;360.733000000;-12.0997;-5.32557;
23;360.933000000;-12.0645;-5.32035;
24;361.134000000;-12.035;-5.31573;
25;361.333000000;-12.0051;-5.31128;
26;361.533000000;-11.9639;-5.30489;
27;361.733000000;-11.9283;-5.29923;
28;361.933000000;-11.8925;-5.29386;
29;362.133000000;-11.857;-5.28863;
30;362.333000000;-11.8214;-5.28366;
31;362.533000000;-11.7856;-5.27903;
32;362.733000000;-11.7502;-5.27401;
33;362.933000000;-11.7145;-5.26886;
34;363.133000000;-11.673;-5.26339;
35;363.333000000;-11.6433;-5.25954;
36;363.533000000;-11.6076;-5.25465;
37;363.733000000;-11.5777;-5.25078;
38;363.933000000;-11.5363;-5.24569;
39;364.134000000;-11.5004;-5.24159;
40;364.333000000;-11.4649;-5.23739;
41;364.533000000;-11.4292;-5.23321;
42;364.733000000;-11.3875;-5.22829;
43;364.933000000;-11.3578;-5.22448;
44;365.133000000;-11.3281;-5.22074;
45;365.334000000;-11.2864;-5.21557;
46;365.534000000;-11.2509;-5.2111;
47;365.733000000;-11.2153;-5.2065;
48;365.933000000;-11.1792;-5.20227;
49;366.134000000;-11.1447;-5.19859;
50;366.333000000;-11.1095;-5.19342;
51;366.534000000;-11.0738;-5.18738;
52;366.733000000;-11.0384;-5.18164;
53;366.933000000;-11.0087;-5.17713;
54;367.133000000;-10.9614;-5.16982;
55;367.333000000;-10.9263;-5.16356;
56;367.533000000;-10.8967;-5.1582;
57;367.733000000;-10.8614;-5.1513;
58;367.934000000;-10.8267;-5.14379;
59;368.133000000;-10.7917;-5.13575;
60;368.333000000;-10.7578;-5.1268;
61;368.533000000;-10.7248;-5.11591;
62;368.733000000;-10.6849;-5.10249;
63;368.933000000;-10.6561;-5.09359;
64;369.134000000;-10.622;-5.08273;
65;369.333000000;-10.5937;-5.07292;
66;369.534000000;-10.5545;-5.05842;
67;369.733000000;-10.5211;-5.04523;
68;369.934000000;-10.4881;-5.03102;
69;370.133000000;-10.4546;-5.01706;
70;370.333000000;-10.4163;-5.00068;
71;370.533000000;-10.389;-4.98833;
72;370.733000000;-10.351;-4.97069;
73;370.934000000;-10.3304;-4.96064;
74;371.133000000;-10.293;-4.94288;
75;371.333000000;-10.261;-4.92663;
76;371.533000000;-10.2296;-4.91028;
77;371.734000000;-10.1976;-4.89402;
78;371.933000000;-10.1659;-4.87733;
79;372.133000000;-10.1296;-4.8581;
80;372.333000000;-10.099;-4.84079;
81;372.533000000;-10.0677;-4.82215;
82;372.733000000;-10.042;-4.80822;
83;372.933000000;-10.0119;-4.79031;
84;373.133000000;-9.98493;-4.76846;
85;373.334000000;-9.95884;-4.74418;
86;373.533000000;-9.93037;-4.72248;
87;373.733000000;-9.89989;-4.7029;
88;373.933000000;-9.86527;-4.68006;
89;374.133000000;-9.84038;-4.66336;
90;374.333000000;-9.81068;-4.6427;
91;374.533000000;-9.78596;-4.62568;
92;374.733000000;-9.74635;-4.59864;
93;374.933000000;-9.72132;-4.58179;
94;375.133000000;-9.69106;-4.56306;
95;375.333000000;-9.65989;-4.54497;
96;375.534000000;-9.62987;-4.52597;
97;375.735000000;-9.60064;-4.50655;
98;375.934000000;-9.57177;-4.48555;
99;376.133000000;-9.54343;-4.46421;
100;376.333000000;-9.51498;-4.4432;
101;376.533000000;-9.48187;-4.41697;
102;376.733000000;-9.45814;-4.39805;
103;376.934000000;-9.43427;-4.38008;
104;377.133000000;-9.40083;-4.35406;
105;377.333000000;-9.37197;-4.33168;
106;377.533000000;-9.34458;-4.30906;
107;377.733000000;-9.31733;-4.2841;
108;377.933000000;-9.28509;-4.25572;
109;378.133000000;-9.26201;-4.23642;
110;378.333000000;-9.23941;-4.21745;
111;378.534000000;-9.20906;-4.18966;
112;378.733000000;-9.18398;-4.16626;
113;378.933000000;-9.1644;-4.14796;
114;379.133000000;-9.13765;-4.1274;
115;379.333000000;-9.10841;-4.10598;
116;379.533000000;-9.08361;-4.0793;
117;379.733000000;-9.06761;-4.05536;
118;379.933000000;-9.04981;-4.03021;
119;380.134000000;-9.02613;-4.00241;
120;380.333000000;-8.99794;-3.97268;
121;380.533000000;-8.97322;-3.94662;
122;380.733000000;-8.94909;-3.92;
123;380.933000000;-8.92564;-3.89293;
124;381.133000000;-8.90818;-3.87201;
125;381.333000000;-8.89726;-3.85976;
126;381.533000000;-8.88666;-3.84721;
127;381.733000000;-8.87214;-3.82919;
128;381.933000000;-8.86189;-3.81564;
129;382.133000000;-8.84838;-3.79883;
130;382.333000000;-8.83099;-3.77887;
131;382.533000000;-8.81085;-3.75189;
132;382.733000000;-8.79084;-3.72053;
133;382.933000000;-8.77127;-3.69022;
134;383.133000000;-8.75101;-3.65513;
135;383.333000000;-8.73936;-3.63448;
136;383.533000000;-8.71908;-3.59771;
137;383.733000000;-8.70408;-3.56624;
138;383.933000000;-8.69015;-3.53468;
139;384.133000000;-8.67484;-3.50183;
140;384.334000000;-8.65564;-3.4648;
141;384.533000000;-8.64104;-3.43972;
142;384.733000000;-8.62756;-3.41355;
143;384.933000000;-8.61241;-3.38111;
144;385.133000000;-8.59439;-3.33711;
145;385.333000000;-8.58279;-3.30898;
146;385.533000000;-8.56846;-3.27607;
147;385.733000000;-8.55296;-3.24315;
148;385.933000000;-8.53525;-3.21065;
149;386.133000000;-8.51425;-3.1744;
150;386.334000000;-8.49817;-3.14852;
151;386.533000000;-8.47789;-3.11833;
152;386.733000000;-8.46081;-3.0936;
153;386.933000000;-8.44052;-3.06417;
154;387.133000000;-8.41691;-3.03029;
155;387.333000000;-8.39439;-3.00246;
156;387.533000000;-8.37468;-2.9808;
157;387.733000000;-8.35641;-2.96302;
158;387.933000000;-8.32824;-2.9411;
159;388.135000000;-8.30748;-2.9302;
160;388.333000000;-8.28314;-2.92161;
161;388.533000000;-8.24703;-2.91288;
162;388.733000000;-8.21523;-2.90182;
163;388.933000000;-8.19171;-2.88819;
164;389.134000000;-8.16354;-2.87169;
165;389.333000000;-8.12872;-2.85442;
166;389.533000000;-8.10208;-2.84281;
167;389.734000000;-8.06856;-2.82904;
168;389.933000000;-8.04025;-2.81855;
169;390.133000000;-8.00036;-2.80486;
170;390.334000000;-7.96608;-2.79414;
171;390.534000000;-7.93165;-2.78369;
172;390.733000000;-7.8997;-2.77368;
173;390.933000000;-7.8712;-2.75954;
174;391.133000000;-7.83995;-2.73417;
175;391.333000000;-7.81613;-2.70859;
176;391.533000000;-7.79724;-2.68632;
177;391.733000000;-7.77717;-2.66365;
178;391.933000000;-7.74331;-2.63794;
179;392.133000000;-7.70658;-2.62401;
180;392.333000000;-7.66994;-2.61503;
181;392.533000000;-7.63334;-2.60971;
182;392.733000000;-7.59779;-2.60623;
183;392.933000000;-7.55655;-2.60105;
184;393.133000000;-7.5269;-2.59647;
185;393.333000000;-7.49746;-2.59165;
186;393.535000000;-7.45606;-2.58468;
187;393.733000000;-7.42053;-2.57855;
188;393.933000000;-7.38585;-2.57155;
189;394.133000000;-7.35069;-2.56306;
190;394.333000000;-7.31494;-2.5556;
191;394.533000000;-7.27964;-2.54851;
192;394.733000000;-7.23857;-2.53993;
193;394.934000000;-7.20904;-2.53339;
194;395.133000000;-7.18006;-2.5265;
195;395.333000000;-7.13915;-2.51687;
196;395.533000000;-7.10425;-2.50861;
197;395.734000000;-7.06915;-2.501;
198;395.933000000;-7.03399;-2.49266;
199;396.133000000;-6.99366;-2.48293;
200;396.333000000;-6.96469;-2.47596;
201;396.533000000;-6.93519;-2.46742;
202;396.733000000;-6.89472;-2.45577;
203;396.935000000;-6.86014;-2.44609;
204;397.133000000;-6.82565;-2.43609;
205;397.334000000;-6.79165;-2.42585;
206;397.533000000;-6.75121;-2.41399;
207;397.733000000;-6.71706;-2.40441;
208;397.933000000;-6.68887;-2.39577;
209;398.134000000;-6.66;-2.38666;
210;398.333000000;-6.62475;-2.37714;
211;398.533000000;-6.58187;-2.36635;
212;398.733000000;-6.54794;-2.3552;
213;398.933000000;-6.51343;-2.34383;
214;399.133000000;-6.47954;-2.3328;
215;399.333000000;-6.44569;-2.32286;
216;399.533000000;-6.40769;-2.31283;
217;399.733000000;-6.37353;-2.30331;
218;399.934000000;-6.34428;-2.29489;
219;400.133000000;-6.3153;-2.28695;
220;400.333000000;-6.26899;-2.27528;
221;400.533000000;-6.23994;-2.26861;
222;400.734000000;-6.2052;-2.26073;
223;400.933000000;-6.17042;-2.25231;
224;401.133000000;-6.13502;-2.24532;
225;401.335000000;-6.09508;-2.23825;
226;401.533000000;-6.05954;-2.2321;
227;401.735000000;-6.02967;-2.22661;
228;401.934000000;-5.99411;-2.2206;
229;402.133000000;-5.96408;-2.21668;
230;402.334000000;-5.92197;-2.21319;
231;402.533000000;-5.88537;-2.21222;
232;402.733000000;-5.84977;-2.21206;
233;402.933000000;-5.81472;-2.20901;
234;403.133000000;-5.77961;-2.20375;
235;403.333000000;-5.74377;-2.19877;
236;403.533000000;-5.70778;-2.19424;
237;403.733000000;-5.66438;-2.19183;
238;403.934000000;-5.6268;-2.19387;
239;404.133000000;-5.59612;-2.19463;
240;404.333000000;-5.55866;-2.19392;
241;404.533000000;-5.52218;-2.19494;
242;404.734000000;-5.49217;-2.19671;
243;404.933000000;-5.44498;-2.1982;
244;405.133000000;-5.40897;-2.19866;
245;405.333000000;-5.37835;-2.19858;
246;405.534000000;-5.34149;-2.19898;
247;405.733000000;-5.30549;-2.19958;
248;405.933000000;-5.26948;-2.20003;
249;406.133000000;-5.23339;-2.20076;
250;406.333000000;-5.19741;-2.20183;
251;406.533000000;-5.15532;-2.20335;
252;406.733000000;-5.1252;-2.20491;
253;406.933000000;-5.09524;-2.20666;
254;407.133000000;-5.05332;-2.2093;
255;407.335000000;-5.01744;-2.2118;
256;407.533000000;-4.98161;-2.21428;
257;407.733000000;-4.94561;-2.21669;
258;407.934000000;-4.90965;-2.21929;
259;408.133000000;-4.8738;-2.2219;
260;408.334000000;-4.84322;-2.22365;
261;408.533000000;-4.83793;-2.2235;
262;408.733000000;-4.84722;-2.22548;
263;408.933000000;-4.87626;-2.23248;
264;409.134000000;-4.90685;-2.23666;
265;409.333000000;-4.94207;-2.23485;
266;409.533000000;-4.97436;-2.22353;
267;409.733000000;-5.00324;-2.19856;
268;409.934000000;-5.01844;-2.16955;
269;410.133000000;-5.02231;-2.14697;
270;410.333000000;-5.02061;-2.13171;
271;410.533000000;-5.02005;-2.12704;
272;410.733000000;-5.03383;-2.13846;
273;410.933000000;-5.06708;-2.15349;
274;411.133000000;-5.10301;-2.15985;
275;411.333000000;-5.13945;-2.16277;
276;411.533000000;-5.17378;-2.16684;
277;411.733000000;-5.21021;-2.17081;
278;411.933000000;-5.25163;-2.17265;
279;412.134000000;-5.27883;-2.17307;
280;412.333000000;-5.30889;-2.17428;
281;412.533000000;-5.35663;-2.17905;
282;412.733000000;-5.38649;-2.1829;
283;412.933000000;-5.42239;-2.18735;
284;413.133000000;-5.45794;-2.19214;
