id;time;x_odom;y_odom;
1;356.735000000;-12.775;-5.44694;
2;356.935000000;-12.7613;-5.44681;
3;357.135000000;-12.7298;-5.44438;
4;357.335000000;-12.7039;-5.44034;
5;357.535000000;-12.6698;-5.43255;
6;357.736000000;-12.6345;-5.42406;
7;357.935000000;-12.6002;-5.41681;
8;358.135000000;-12.5655;-5.40977;
9;358.335000000;-12.5245;-5.40328;
10;358.537000000;-12.5002;-5.4017;
11;358.735000000;-12.4745;-5.40057;
12;358.935000000;-12.4456;-5.39769;
13;359.136000000;-12.4162;-5.39214;
14;359.335000000;-12.3712;-5.38224;
15;359.535000000;-12.3361;-5.37498;
16;359.735000000;-12.3065;-5.36909;
17;359.935000000;-12.2712;-5.36238;
18;360.135000000;-12.2361;-5.35578;
19;360.335000000;-12.2011;-5.34904;
20;360.536000000;-12.1663;-5.34213;
21;360.735000000;-12.1327;-5.33703;
22;360.935000000;-12.0947;-5.33267;
23;361.135000000;-12.0599;-5.32775;
24;361.335000000;-12.0302;-5.32341;
25;361.535000000;-11.9885;-5.31753;
26;361.735000000;-11.9592;-5.31349;
27;361.935000000;-11.9236;-5.30862;
28;362.135000000;-11.8879;-5.30392;
29;362.336000000;-11.8525;-5.29901;
30;362.535000000;-11.8169;-5.2943;
31;362.735000000;-11.7811;-5.2896;
32;362.935000000;-11.7397;-5.28409;
33;363.136000000;-11.7097;-5.28055;
34;363.335000000;-11.6798;-5.27703;
35;363.535000000;-11.6383;-5.27184;
36;363.735000000;-11.6025;-5.26764;
37;363.935000000;-11.5668;-5.26319;
38;364.135000000;-11.5312;-5.2588;
39;364.335000000;-11.4954;-5.25428;
40;364.535000000;-11.4539;-5.24916;
41;364.735000000;-11.424;-5.24587;
42;364.935000000;-11.3882;-5.2418;
43;365.135000000;-11.3585;-5.23826;
44;365.336000000;-11.317;-5.23308;
45;365.535000000;-11.2811;-5.22855;
46;365.735000000;-11.2457;-5.22411;
47;365.937000000;-11.21;-5.21945;
48;366.135000000;-11.1743;-5.21473;
49;366.335000000;-11.1333;-5.20839;
50;366.535000000;-11.1037;-5.20359;
51;366.735000000;-11.068;-5.19783;
52;366.935000000;-11.0389;-5.19305;
53;367.135000000;-11.0035;-5.18729;
54;367.335000000;-10.9622;-5.17971;
55;367.535000000;-10.9272;-5.17289;
56;367.735000000;-10.8919;-5.16592;
57;367.935000000;-10.8567;-5.15839;
58;368.135000000;-10.8219;-5.1504;
59;368.336000000;-10.7871;-5.14195;
60;368.535000000;-10.7466;-5.13127;
61;368.735000000;-10.7182;-5.12293;
62;368.935000000;-10.6896;-5.11389;
63;369.135000000;-10.6497;-5.10091;
64;369.335000000;-10.6155;-5.08983;
65;369.535000000;-10.5816;-5.07837;
66;369.735000000;-10.548;-5.06627;
67;369.936000000;-10.5143;-5.05394;
68;370.135000000;-10.4756;-5.0388;
69;370.335000000;-10.4477;-5.02746;
70;370.535000000;-10.42;-5.01597;
71;370.736000000;-10.3819;-4.99919;
72;370.935000000;-10.3489;-4.98453;
73;371.135000000;-10.316;-4.97012;
74;371.336000000;-10.2833;-4.95575;
75;371.535000000;-10.2511;-4.94046;
76;371.735000000;-10.2191;-4.92476;
77;371.935000000;-10.1821;-4.90632;
78;372.135000000;-10.1551;-4.89256;
79;372.335000000;-10.1235;-4.87611;
80;372.535000000;-10.0978;-4.86143;
81;372.735000000;-10.0619;-4.83967;
82;372.935000000;-10.031;-4.82039;
83;373.135000000;-10.0006;-4.80145;
84;373.335000000;-9.97023;-4.78182;
85;373.535000000;-9.94001;-4.76235;
86;373.735000000;-9.90517;-4.7395;
87;373.935000000;-9.8805;-4.72207;
88;374.136000000;-9.8512;-4.70171;
89;374.335000000;-9.82131;-4.68162;
90;374.535000000;-9.79148;-4.66141;
91;374.736000000;-9.76681;-4.64441;
92;374.935000000;-9.73285;-4.61997;
93;375.135000000;-9.70338;-4.59909;
94;375.336000000;-9.67428;-4.57849;
95;375.535000000;-9.64489;-4.55757;
96;375.735000000;-9.61535;-4.53672;
97;375.935000000;-9.58636;-4.51565;
98;376.135000000;-9.55742;-4.49394;
99;376.339000000;-9.52335;-4.46946;
100;376.535000000;-9.49923;-4.4518;
101;376.735000000;-9.47556;-4.43355;
102;376.935000000;-9.44223;-4.40735;
103;377.135000000;-9.41381;-4.3852;
104;377.337000000;-9.38688;-4.36262;
105;377.535000000;-9.35928;-4.33882;
106;377.735000000;-9.32585;-4.31121;
107;377.936000000;-9.30016;-4.28753;
108;378.135000000;-9.27856;-4.26652;
109;378.335000000;-9.25648;-4.24582;
110;378.535000000;-9.22827;-4.21903;
111;378.735000000;-9.20325;-4.19305;
112;378.936000000;-9.17882;-4.16884;
113;379.136000000;-9.1552;-4.14725;
114;379.335000000;-9.12635;-4.12392;
115;379.536000000;-9.10323;-4.10301;
116;379.735000000;-9.08272;-4.08085;
117;379.935000000;-9.05447;-4.04993;
118;380.135000000;-9.02984;-4.02455;
119;380.335000000;-9.00567;-3.99958;
120;380.535000000;-8.98144;-3.97358;
121;380.735000000;-8.95761;-3.94699;
122;380.935000000;-8.93021;-3.91576;
123;381.138000000;-8.91134;-3.89393;
124;381.335000000;-8.90143;-3.88167;
125;381.535000000;-8.89935;-3.87902;
126;381.735000000;-8.88707;-3.86297;
127;381.935000000;-8.86819;-3.83705;
128;382.135000000;-8.84631;-3.80798;
129;382.335000000;-8.82466;-3.77942;
130;382.536000000;-8.80122;-3.74521;
131;382.735000000;-8.78443;-3.72009;
132;382.936000000;-8.76426;-3.69043;
133;383.135000000;-8.74544;-3.66056;
134;383.335000000;-8.73115;-3.63419;
135;383.535000000;-8.70998;-3.59503;
136;383.735000000;-8.69289;-3.56038;
137;383.935000000;-8.67963;-3.5268;
138;384.135000000;-8.66618;-3.49332;
139;384.335000000;-8.65188;-3.45402;
140;384.536000000;-8.64002;-3.42019;
141;384.735000000;-8.62693;-3.38616;
142;384.935000000;-8.61528;-3.35841;
143;385.136000000;-8.60023;-3.32551;
144;385.335000000;-8.58765;-3.29822;
145;385.535000000;-8.56926;-3.261;
146;385.735000000;-8.55175;-3.23096;
147;385.935000000;-8.53365;-3.20055;
148;386.135000000;-8.52568;-3.18737;
149;386.335000000;-8.5182;-3.17378;
150;386.535000000;-8.50826;-3.15457;
151;386.735000000;-8.48865;-3.12358;
152;386.935000000;-8.47043;-3.09924;
153;387.136000000;-8.44284;-3.06038;
154;387.335000000;-8.42575;-3.03659;
155;387.535000000;-8.40269;-3.00824;
156;387.735000000;-8.38032;-2.98405;
157;387.935000000;-8.36415;-2.96852;
158;388.135000000;-8.34458;-2.95302;
159;388.335000000;-8.31296;-2.93254;
160;388.535000000;-8.27721;-2.90964;
161;388.735000000;-8.25815;-2.89452;
162;388.935000000;-8.23136;-2.87255;
163;389.135000000;-8.20792;-2.85578;
164;389.335000000;-8.17594;-2.83871;
165;389.535000000;-8.13588;-2.82238;
166;389.735000000;-8.10487;-2.80937;
167;389.936000000;-8.0744;-2.79182;
168;390.135000000;-8.04533;-2.77151;
169;390.336000000;-8.01424;-2.7481;
170;390.536000000;-7.98948;-2.73298;
171;390.735000000;-7.96069;-2.7216;
172;390.935000000;-7.92634;-2.71312;
173;391.136000000;-7.88023;-2.70662;
174;391.335000000;-7.84429;-2.69811;
175;391.535000000;-7.81562;-2.68272;
176;391.736000000;-7.78682;-2.66058;
177;391.936000000;-7.75552;-2.64124;
178;392.135000000;-7.71413;-2.62759;
