id;time;x_odom;y_odom;
1;42.796000000;13.5;6.19107e-05;
2;42.996000000;13.4979;6.68149e-05;
3;43.196000000;13.4634;0.000101675;
4;43.396000000;13.4335;0.000403814;
5;43.596000000;13.3977;0.0011669;
6;43.796000000;13.3676;0.00205189;
7;43.996000000;13.3318;0.00337302;
8;44.196000000;13.29;0.0048483;
9;44.396000000;13.2538;0.00584088;
10;44.596000000;13.2179;0.00658447;
11;44.796000000;13.1819;0.00704907;
12;44.997000000;13.1462;0.00747774;
13;45.196000000;13.1046;0.00817472;
14;45.396000000;13.0746;0.00853007;
15;45.597000000;13.0384;0.00879425;
16;45.796000000;13.0086;0.00902117;
17;45.996000000;12.9672;0.00908282;
18;46.196000000;12.931;0.00922598;
19;46.396000000;12.8957;0.00937096;
20;46.596000000;12.8597;0.00960171;
21;46.796000000;12.8179;0.00978513;
22;46.996000000;12.7881;0.00986985;
23;47.197000000;12.7585;0.00993482;
24;47.396000000;12.7108;0.0101125;
25;47.596000000;12.6871;0.0102374;
26;47.796000000;12.6455;0.010479;
27;47.996000000;12.6094;0.0105323;
28;48.196000000;12.5747;0.0106213;
29;48.396000000;12.5411;0.0117629;
30;48.596000000;12.5057;0.0145668;
31;48.796000000;12.4703;0.0184877;
32;48.996000000;12.4348;0.0234534;
33;49.196000000;12.3937;0.030154;
34;49.396000000;12.3644;0.0356393;
35;49.596000000;12.331;0.0425375;
36;49.796000000;12.3021;0.0489854;
37;49.996000000;12.2616;0.059091;
38;50.196000000;12.2274;0.0684271;
39;50.396000000;12.193;0.0786812;
40;50.597000000;12.1589;0.089688;
41;50.796000000;12.1254;0.101628;
42;50.996000000;12.0862;0.116527;
43;51.196000000;12.0583;0.127579;
44;51.396000000;12.0255;0.141472;
45;51.598000000;11.9984;0.15348;
46;51.796000000;11.9618;0.170251;
47;51.996000000;11.9295;0.18546;
48;52.197000000;11.8997;0.199778;
49;52.396000000;11.8754;0.211789;
50;52.596000000;11.8466;0.225383;
51;52.796000000;11.8257;0.234689;
52;52.996000000;11.8029;0.243696;
53;53.197000000;11.7678;0.255059;
54;53.396000000;11.7332;0.262695;
55;53.596000000;11.6988;0.265893;
56;53.796000000;11.6629;0.265189;
57;53.996000000;11.629;0.262166;
58;54.196000000;11.5878;0.256484;
59;54.396000000;11.5581;0.251023;
60;54.596000000;11.5305;0.245264;
61;54.796000000;11.486;0.234806;
62;54.996000000;11.4576;0.227286;
63;55.196000000;11.4239;0.217805;
64;55.396000000;11.3915;0.208296;
65;55.597000000;11.3591;0.198276;
66;55.796000000;11.3267;0.187771;
67;55.997000000;11.2868;0.174153;
68;56.196000000;11.2534;0.16215;
69;56.396000000;11.2253;0.152744;
70;56.596000000;11.1966;0.144231;
71;56.796000000;11.1563;0.133813;
72;56.997000000;11.1215;0.126101;
73;57.196000000;11.0863;0.119227;
74;57.397000000;11.0511;0.113019;
75;57.596000000;11.0098;0.106655;
76;57.796000000;10.9802;0.10264;
77;57.996000000;10.9504;0.0990002;
78;58.196000000;10.9149;0.095231;
79;58.396000000;10.8733;0.0915429;
80;58.596000000;10.8374;0.088829;
81;58.796000000;10.8017;0.0866021;
82;58.996000000;10.766;0.0847866;
83;59.196000000;10.7301;0.0836855;
84;59.396000000;10.6885;0.0830238;
85;59.599000000;10.6525;0.0826654;
86;59.796000000;10.6224;0.0825043;
87;59.996000000;10.5866;0.0824624;
88;60.196000000;10.5506;0.0825421;
89;60.396000000;10.5145;0.0827085;
90;60.596000000;10.4846;0.0829339;
91;60.797000000;10.4487;0.0832683;
92;60.996000000;10.4125;0.0836382;
93;61.196000000;10.3708;0.084154;
94;61.397000000;10.3348;0.084635;
95;61.596000000;10.2987;0.0850752;
96;61.796000000;10.2629;0.0854695;
97;61.996000000;10.2209;0.0859964;
98;62.196000000;10.1909;0.0863982;
99;62.396000000;10.161;0.0868209;
100;62.597000000;10.119;0.0874523;
101;62.796000000;10.083;0.087994;
102;62.996000000;10.0471;0.0885433;
103;63.196000000;10.011;0.0890957;
104;63.397000000;9.97513;0.0896296;
105;63.596000000;9.93924;0.090168;
106;63.796000000;9.89715;0.0907866;
107;63.996000000;9.86134;0.0913071;
108;64.197000000;9.83133;0.0917444;
109;64.396000000;9.79519;0.0922602;
110;64.597000000;9.76527;0.0926791;
111;64.796000000;9.72341;0.093217;
112;64.996000000;9.68726;0.0936615;
113;65.196000000;9.65146;0.0940856;
114;65.396000000;9.61547;0.0944602;
115;65.596000000;9.57932;0.0948122;
116;65.796000000;9.54353;0.0951315;
117;65.996000000;9.50752;0.0954231;
118;66.196000000;9.46553;0.0957542;
119;66.396000000;9.43537;0.0954271;
120;66.596000000;9.40513;0.0942599;
121;66.796000000;9.36312;0.0914933;
122;66.996000000;9.32726;0.0882032;
123;67.196000000;9.29134;0.0843133;
124;67.396000000;9.25569;0.0799915;
125;67.596000000;9.21429;0.0747345;
126;67.797000000;9.18451;0.0711464;
127;67.996000000;9.15509;0.0678455;
128;68.196000000;9.10962;0.0635178;
129;68.396000000;9.0739;0.0616145;
130;68.596000000;9.04426;0.0612962;
131;68.796000000;9.00873;0.0622535;
132;68.996000000;8.9729;0.0645598;
133;69.196000000;8.93727;0.0677802;
134;69.396000000;8.90667;0.0724386;
135;69.596000000;8.87111;0.0822584;
136;69.796000000;8.84385;0.0930055;
137;69.996000000;8.81788;0.10591;
138;70.196000000;8.78261;0.127749;
139;70.396000000;8.7552;0.14954;
140;70.596000000;8.73968;0.16584;
141;70.796000000;8.73115;0.177871;
142;70.997000000;8.72626;0.187597;
143;71.196000000;8.72565;0.18952;
144;71.396000000;8.7258;0.18389;
145;71.597000000;8.72486;0.177775;
146;71.796000000;8.72136;0.169469;
147;71.997000000;8.71679;0.163541;
148;72.196000000;8.71134;0.158979;
149;72.396000000;8.70509;0.155593;
150;72.596000000;8.71894;0.158827;
151;72.796000000;8.7397;0.159977;
152;72.996000000;8.765;0.15676;
153;73.196000000;8.78862;0.146765;
154;73.397000000;8.79711;0.139879;
155;73.596000000;8.80294;0.130039;
156;73.796000000;8.80966;0.105485;
157;73.996000000;8.80843;0.0756169;
158;74.196000000;8.80571;0.0672571;
159;74.396000000;8.80738;0.0698294;
160;74.596000000;8.80944;0.0717173;
161;74.796000000;8.81186;0.0728534;
162;74.996000000;8.82549;0.0752151;
163;75.196000000;8.83961;0.0740635;
164;75.397000000;8.83766;0.0749222;
165;75.596000000;8.83513;0.0764632;
166;75.796000000;8.83628;0.0752782;
167;75.996000000;8.83621;0.0754153;
168;76.196000000;8.83989;0.0671997;
169;76.396000000;8.84507;0.0475091;
170;76.596000000;8.84881;0.0170137;
171;76.796000000;8.84692;-0.0220419;
172;76.996000000;8.83883;-0.0565141;
173;77.196000000;8.82576;-0.0892563;
174;77.396000000;8.80782;-0.12169;
175;77.596000000;8.78659;-0.151364;
176;77.796000000;8.76544;-0.17482;
177;77.996000000;8.734;-0.203579;
178;78.197000000;8.71099;-0.221477;
179;78.396000000;8.68586;-0.238653;
180;78.597000000;8.65019;-0.259545;
181;78.796000000;8.61782;-0.275834;
182;78.996000000;8.58447;-0.29063;
183;79.197000000;8.55064;-0.303837;
184;79.396000000;8.51065;-0.317364;
185;79.596000000;8.47576;-0.327499;
186;79.797000000;8.44642;-0.335;
187;79.996000000;8.4111;-0.342871;
188;80.196000000;8.38158;-0.348703;
189;80.397000000;8.34096;-0.355622;
190;80.596000000;8.3051;-0.360662;
191;80.796000000;8.26943;-0.364917;
192;80.996000000;8.23481;-0.368382;
193;81.196000000;8.19882;-0.371317;
194;81.396000000;8.15802;-0.373841;
195;81.596000000;8.12398;-0.375355;
196;81.796000000;8.0897;-0.376367;
197;81.996000000;8.05983;-0.376917;
198;82.196000000;8.02968;-0.377278;
199;82.396000000;7.99368;-0.377462;
200;82.596000000;7.95239;-0.377285;
201;82.797000000;7.91733;-0.37681;
202;82.996000000;7.88266;-0.376053;
203;83.196000000;7.84686;-0.374896;
204;83.396000000;7.80473;-0.372864;
205;83.596000000;7.77472;-0.371034;
206;83.796000000;7.74485;-0.36896;
207;83.996000000;7.70288;-0.365574;
208;84.196000000;7.66698;-0.362255;
209;84.396000000;7.63124;-0.35837;
210;84.596000000;7.5954;-0.353988;
211;84.796000000;7.55441;-0.34848;
212;84.996000000;7.5195;-0.343395;
213;85.196000000;7.48979;-0.338794;
214;85.396000000;7.45415;-0.332986;
215;85.596000000;7.42458;-0.327828;
216;85.796000000;7.38337;-0.320177;
217;85.997000000;7.34987;-0.31367;
218;86.196000000;7.31496;-0.306543;
219;86.396000000;7.27981;-0.299192;
220;86.596000000;7.24451;-0.291762;
221;86.797000000;7.20359;-0.283035;
222;86.996000000;7.1693;-0.275665;
223;87.196000000;7.14187;-0.269775;
224;87.396000000;7.11318;-0.263653;
225;87.596000000;7.07229;-0.255213;
226;87.796000000;7.03701;-0.248098;
227;87.996000000;7.00179;-0.241101;
228;88.196000000;6.96655;-0.234304;
229;88.396000000;6.92541;-0.226595;
230;88.596000000;6.89591;-0.221184;
231;88.796000000;6.86783;-0.216154;
232;88.996000000;6.83492;-0.210305;
233;89.196000000;6.79414;-0.202887;
234;89.396000000;6.75876;-0.196719;
235;89.596000000;6.72337;-0.1908;
236;89.796000000;6.68789;-0.185093;
237;89.996000000;6.65238;-0.179702;
238;90.196000000;6.61108;-0.173811;
239;90.396000000;6.58132;-0.169761;
240;90.596000000;6.55157;-0.165886;
241;90.797000000;6.51607;-0.161486;
242;90.996000000;6.47625;-0.156741;
243;91.196000000;6.4407;-0.152651;
244;91.396000000;6.40652;-0.148995;
245;91.598000000;6.37072;-0.14533;
246;91.796000000;6.3292;-0.141477;
247;91.996000000;6.29931;-0.138873;
248;92.196000000;6.26932;-0.136404;
249;92.396000000;6.23363;-0.133671;
250;92.597000000;6.19187;-0.130651;
251;92.796000000;6.15591;-0.128235;
252;92.996000000;6.12022;-0.126027;
253;93.196000000;6.08429;-0.123914;
254;93.396000000;6.0424;-0.121667;
255;93.596000000;6.00667;-0.119926;
256;93.796000000;5.9766;-0.118554;
257;93.996000000;5.9406;-0.117049;
258;94.196000000;5.91078;-0.115895;
259;94.396000000;5.86882;-0.114374;
260;94.596000000;5.83287;-0.113197;
261;94.797000000;5.79709;-0.11213;
262;94.996000000;5.76101;-0.111148;
263;95.196000000;5.71919;-0.110134;
264;95.396000000;5.68923;-0.109462;
265;95.596000000;5.65909;-0.10884;
266;95.797000000;5.61729;-0.108069;
267;95.996000000;5.58139;-0.107495;
268;96.196000000;5.54527;-0.107002;
269;96.396000000;5.50942;-0.106637;
270;96.596000000;5.46758;-0.106458;
271;96.796000000;5.4374;-0.106525;
272;96.996000000;5.40199;-0.106885;
273;97.196000000;5.36709;-0.107542;
274;97.396000000;5.33811;-0.108243;
275;97.596000000;5.30335;-0.10914;
276;97.796000000;5.26163;-0.110714;
277;97.996000000;5.22702;-0.112547;
278;98.196000000;5.19169;-0.114889;
279;98.396000000;5.15738;-0.117864;
280;98.596000000;5.12176;-0.121833;
281;98.796000000;5.08063;-0.12775;
282;98.996000000;5.05118;-0.132873;
283;99.196000000;5.02187;-0.138657;
284;99.396000000;4.98688;-0.146287;
285;99.596000000;4.94791;-0.155902;
286;99.796000000;4.91585;-0.164742;
287;99.996000000;4.88296;-0.174726;
288;100.196000000;4.84985;-0.186062;
289;100.396000000;4.81726;-0.198136;
290;100.596000000;4.77824;-0.213555;
291;100.796000000;4.75092;-0.225206;
292;100.996000000;4.72376;-0.237493;
