id;time;x_odom;y_odom;
1;42.600000000;13.4953;5.55271e-05;
2;42.800000000;13.4634;9.28714e-05;
3;43.000000000;13.4276;0.000479354;
4;43.200000000;13.3917;0.00129581;
5;43.400000000;13.3557;0.00242706;
6;43.600000000;13.3138;0.00378006;
7;43.800000000;13.2837;0.0045286;
8;44.000000000;13.2536;0.00512102;
9;44.200000000;13.2126;0.00594461;
10;44.400000000;13.1773;0.0067359;
11;44.601000000;13.1412;0.00745808;
12;44.800000000;13.1055;0.00830956;
13;45.000000000;13.0636;0.00962808;
14;45.200000000;13.0336;0.0107634;
15;45.400000000;13.0037;0.0120172;
16;45.600000000;12.9559;0.0141729;
17;45.800000000;12.9258;0.0155395;
18;46.000000000;12.89;0.0168257;
19;46.200000000;12.8538;0.0177518;
20;46.402000000;12.8178;0.0183005;
21;46.600000000;12.7819;0.0185248;
22;46.800000000;12.7457;0.0183617;
23;47.000000000;12.7099;0.0179478;
24;47.200000000;12.6741;0.0177129;
25;47.400000000;12.632;0.0177872;
26;47.600000000;12.5962;0.0181396;
27;47.800000000;12.5603;0.0186989;
28;48.001000000;12.5302;0.0192768;
29;48.200000000;12.4943;0.0201226;
30;48.400000000;12.4585;0.0210963;
31;48.600000000;12.4283;0.0219719;
32;48.800000000;12.3866;0.0233051;
33;49.000000000;12.3506;0.024522;
34;49.200000000;12.3146;0.0257586;
35;49.400000000;12.2788;0.0269865;
36;49.600000000;12.2428;0.0281285;
37;49.800000000;12.2008;0.0294265;
38;50.000000000;12.1745;0.0302117;
39;50.200000000;12.1654;0.0303717;
40;50.400000000;12.1288;0.0316764;
41;50.600000000;12.0964;0.0348405;
42;50.800000000;12.0672;0.0392031;
43;51.000000000;12.0344;0.0459385;
44;51.200000000;12.0014;0.0544151;
45;51.400000000;11.9671;0.0648268;
46;51.600000000;11.9334;0.0763535;
47;51.800000000;11.8946;0.091216;
48;52.000000000;11.8684;0.102227;
49;52.201000000;11.8394;0.115322;
50;52.400000000;11.8129;0.128264;
51;52.600000000;11.7707;0.150094;
52;52.800000000;11.7444;0.164412;
53;53.001000000;11.7133;0.182096;
54;53.200000000;11.6826;0.20039;
55;53.401000000;11.6519;0.219192;
56;53.602000000;11.622;0.238381;
57;53.800000000;11.5872;0.261373;
58;54.000000000;11.5622;0.27816;
59;54.200000000;11.5331;0.298264;
60;54.400000000;11.5094;0.314741;
61;54.600000000;11.4855;0.330559;
62;54.800000000;11.4568;0.347411;
63;55.000000000;11.4169;0.363838;
64;55.200000000;11.3817;0.370694;
65;55.400000000;11.3583;0.370747;
66;55.600000000;11.3475;0.368318;
67;55.801000000;11.3404;0.364913;
68;56.000000000;11.3348;0.360391;
69;56.200000000;11.3301;0.354609;
70;56.401000000;11.3283;0.351206;
71;56.600000000;11.3273;0.348165;
72;56.801000000;11.3276;0.352342;
73;57.000000000;11.3265;0.363826;
74;57.200000000;11.3213;0.385442;
75;57.400000000;11.3113;0.409471;
76;57.600000000;11.2952;0.434961;
77;57.800000000;11.2741;0.459538;
78;58.000000000;11.2526;0.478881;
79;58.200000000;11.2236;0.499237;
80;58.400000000;11.1949;0.514332;
81;58.600000000;11.1625;0.52764;
