id;time;x_odom;y_odom;
1;43.003000000;13.5;6.19107e-05;
2;43.203000000;13.4979;6.68149e-05;
3;43.403000000;13.4693;6.11484e-05;
4;43.603000000;13.4334;3.88883e-05;
5;43.803000000;13.3975;-6.06839e-07;
6;44.003000000;13.3614;-5.51936e-05;
7;44.203000000;13.3314;-0.000102046;
8;44.403000000;13.2955;-0.000156463;
9;44.603000000;13.2594;-0.000227609;
10;44.803000000;13.2176;-0.000308147;
11;45.003000000;13.1817;-0.000361002;
12;45.204000000;13.1455;-0.000419932;
13;45.403000000;13.1097;-0.000465821;
14;45.603000000;13.0737;-0.000501952;
15;45.804000000;13.0376;-0.000549221;
16;46.004000000;13.0077;-0.000568385;
17;46.203000000;12.9658;-0.000592646;
18;46.403000000;12.9297;-0.000631606;
19;46.603000000;12.8942;-0.000179475;
20;46.803000000;12.8583;0.00113037;
21;47.003000000;12.8225;0.00320262;
22;47.203000000;12.7869;0.00590421;
23;47.403000000;12.7514;0.00934356;
24;47.604000000;12.7114;0.0161752;
25;47.803000000;12.6827;0.0235163;
26;48.003000000;12.6546;0.0325217;
27;48.203000000;12.6104;0.0493964;
28;48.403000000;12.5882;0.0585833;
29;48.603000000;12.5521;0.0754967;
30;48.803000000;12.5212;0.0927756;
31;49.003000000;12.4915;0.111856;
32;49.203000000;12.4627;0.132709;
33;49.403000000;12.4302;0.158278;
34;49.603000000;12.4077;0.177639;
35;49.803000000;12.3814;0.202136;
36;50.003000000;12.3602;0.22258;
37;50.203000000;12.3307;0.252117;
38;50.403000000;12.3058;0.277844;
39;50.603000000;12.2816;0.303829;
40;50.803000000;12.2575;0.330483;
41;51.003000000;12.2339;0.357171;
42;51.203000000;12.2105;0.384116;
43;51.403000000;12.1836;0.416091;
44;51.603000000;12.1647;0.439096;
45;51.804000000;12.1459;0.462216;
46;52.003000000;12.1163;0.499438;
47;52.203000000;12.0978;0.523034;
48;52.403000000;12.076;0.551341;
49;52.603000000;12.0544;0.579876;
50;52.803000000;12.0327;0.608525;
51;53.004000000;12.0072;0.64211;
52;53.203000000;11.9858;0.670712;
53;53.403000000;11.964;0.699448;
54;53.603000000;11.9441;0.722219;
55;53.803000000;11.9164;0.747303;
56;54.003000000;11.8859;0.768295;
57;54.203000000;11.8525;0.78502;
58;54.403000000;11.8236;0.795431;
59;54.603000000;11.7759;0.806865;
60;54.803000000;11.7456;0.811024;
61;55.003000000;11.7092;0.813318;
62;55.203000000;11.6732;0.813382;
63;55.403000000;11.6368;0.811202;
64;55.603000000;11.6003;0.807184;
65;55.803000000;11.5582;0.800622;
66;56.004000000;11.5283;0.794383;
67;56.206000000;11.4935;0.785686;
68;56.403000000;11.4643;0.7775;
69;56.603000000;11.4243;0.765281;
70;56.803000000;11.3899;0.753638;
71;57.003000000;11.3559;0.740861;
72;57.203000000;11.3226;0.727675;
73;57.403000000;11.2892;0.713876;
74;57.603000000;11.2559;0.699443;
75;57.803000000;11.2233;0.684861;
76;58.003000000;11.1905;0.669613;
77;58.203000000;11.1526;0.651431;
78;58.403000000;11.1257;0.638126;
79;58.603000000;11.099;0.624389;
80;58.803000000;11.0566;0.602253;
81;59.003000000;11.0304;0.588088;
82;59.203000000;10.9989;0.570688;
83;59.403000000;10.9675;0.552975;
84;59.603000000;10.9368;0.534983;
85;59.804000000;10.9059;0.516408;
86;60.003000000;10.8704;0.494381;
87;60.203000000;10.8453;0.478511;
88;60.403000000;10.8147;0.458945;
89;60.603000000;10.7844;0.439941;
90;60.803000000;10.7589;0.424346;
91;61.003000000;10.723;0.402983;
92;61.203000000;10.6918;0.385513;
93;61.403000000;10.6603;0.368697;
94;61.604000000;10.6281;0.352534;
95;61.804000000;10.5904;0.334878;
96;62.003000000;10.563;0.322862;
97;62.203000000;10.5353;0.31128;
98;62.404000000;10.5021;0.298203;
99;62.608000000;10.4686;0.285898;
100;62.803000000;10.4292;0.272658;
101;63.003000000;10.3954;0.262557;
102;63.203000000;10.3608;0.253143;
103;63.403000000;10.3262;0.244512;
104;63.603000000;10.2913;0.237033;
105;63.803000000;10.2562;0.230757;
106;64.003000000;10.2151;0.224732;
107;64.203000000;10.1793;0.220488;
108;64.403000000;10.1497;0.217654;
109;64.603000000;10.114;0.214921;
110;64.803000000;10.084;0.213125;
111;65.003000000;10.0424;0.211359;
112;65.203000000;10.0065;0.210472;
113;65.403000000;9.97063;0.210086;
114;65.604000000;9.93486;0.209871;
115;65.804000000;9.89286;0.209469;
116;66.003000000;9.86267;0.20896;
117;66.203000000;9.82688;0.207941;
118;66.403000000;9.79674;0.206767;
119;66.603000000;9.75437;0.203496;
120;66.803000000;9.71855;0.198728;
121;67.003000000;9.6826;0.19217;
122;67.204000000;9.64854;0.184556;
123;67.403000000;9.61544;0.175957;
124;67.603000000;9.58066;0.166266;
125;67.805000000;9.55579;0.159312;
126;68.004000000;9.52676;0.151262;
127;68.203000000;9.50407;0.145019;
128;68.403000000;9.47344;0.13702;
129;68.603000000;9.43884;0.129146;
130;68.803000000;9.4038;0.12251;
131;69.003000000;9.37376;0.117644;
132;69.203000000;9.34498;0.113584;
133;69.403000000;9.30735;0.109125;
134;69.603000000;9.27941;0.107426;
135;69.803000000;9.24518;0.107906;
136;70.004000000;9.21053;0.111435;
137;70.203000000;9.18196;0.117142;
138;70.403000000;9.14272;0.128874;
139;70.603000000;9.11007;0.142231;
140;70.803000000;9.07893;0.157847;
141;71.003000000;9.04838;0.175545;
142;71.203000000;9.01452;0.198827;
143;71.403000000;8.98651;0.221;
144;71.603000000;8.96434;0.240525;
145;71.803000000;8.94292;0.261098;
146;72.003000000;8.91397;0.290888;
147;72.203000000;8.89;0.317734;
148;72.403000000;8.86767;0.344677;
149;72.603000000;8.8478;0.369494;
150;72.803000000;8.82919;0.391395;
151;73.003000000;8.80691;0.414731;
152;73.204000000;8.77639;0.439492;
153;73.403000000;8.75126;0.454268;
154;73.603000000;8.72556;0.465056;
155;73.803000000;8.69163;0.472744;
156;74.003000000;8.65092;0.472957;
157;74.204000000;8.61608;0.465992;
158;74.403000000;8.58174;0.453409;
159;74.603000000;8.54933;0.437508;
160;74.803000000;8.51807;0.419301;
161;75.003000000;8.48746;0.400117;
162;75.203000000;8.45235;0.377255;
163;75.403000000;8.42279;0.357403;
164;75.604000000;8.39742;0.340506;
165;75.803000000;8.37281;0.323756;
166;76.004000000;8.34357;0.303555;
167;76.203000000;8.30923;0.279941;
168;76.403000000;8.27969;0.260019;
169;76.603000000;8.24997;0.240016;
170;76.803000000;8.22021;0.220237;
171;77.004000000;8.18525;0.197286;
172;77.203000000;8.15999;0.181356;
173;77.403000000;8.13465;0.165909;
174;77.603000000;8.09863;0.144684;
175;77.803000000;8.06753;0.127126;
176;78.003000000;8.03594;0.1104;
177;78.203000000;8.00394;0.0945243;
178;78.403000000;7.97177;0.0796438;
179;78.603000000;7.93351;0.0632399;
180;78.803000000;7.9057;0.0519346;
181;79.003000000;7.87798;0.0410258;
182;79.203000000;7.84446;0.0285434;
183;79.404000000;7.81047;0.0167419;
184;79.603000000;7.77093;0.00381325;
185;79.803000000;7.7367;-0.00685171;
186;80.003000000;7.7022;-0.0170825;
187;80.203000000;7.66771;-0.0265925;
188;80.403000000;7.62718;-0.0368487;
189;80.603000000;7.59801;-0.043744;
190;80.803000000;7.56889;-0.050237;
191;81.003000000;7.5338;-0.0575075;
192;81.203000000;7.49273;-0.0652794;
193;81.403000000;7.45746;-0.0714307;
194;81.603000000;7.42205;-0.0770554;
195;81.803000000;7.38656;-0.0821937;
196;82.003000000;7.35104;-0.086825;
197;82.203000000;7.31547;-0.0909441;
198;82.403000000;7.27974;-0.0947;
199;82.603000000;7.23875;-0.0986537;
200;82.803000000;7.20945;-0.101084;
201;83.004000000;7.18085;-0.103329;
202;83.203000000;7.145;-0.105925;
203;83.403000000;7.10345;-0.108486;
204;83.603000000;7.0675;-0.110462;
205;83.803000000;7.03323;-0.112139;
206;84.003000000;6.99832;-0.113634;
207;84.204000000;6.96288;-0.115004;
208;84.403000000;6.9225;-0.116107;
209;84.603000000;6.89676;-0.116538;
210;84.804000000;6.86503;-0.117056;
211;85.003000000;6.83867;-0.117472;
212;85.203000000;6.80238;-0.117943;
213;85.403000000;6.7682;-0.118439;
214;85.603000000;6.7386;-0.118514;
215;85.803000000;6.70828;-0.118147;
216;86.003000000;6.67558;-0.117551;
217;86.203000000;6.65296;-0.117268;
218;86.403000000;6.62577;-0.11704;
219;86.603000000;6.60357;-0.117201;
220;86.803000000;6.5726;-0.117909;
221;87.003000000;6.54583;-0.118892;
222;87.204000000;6.51923;-0.120114;
223;87.403000000;6.49294;-0.121567;
224;87.605000000;6.46638;-0.123245;
225;87.804000000;6.4397;-0.125219;
226;88.003000000;6.41345;-0.127319;
227;88.203000000;6.38744;-0.129606;
228;88.403000000;6.35654;-0.132153;
229;88.605000000;6.33433;-0.13379;
230;88.803000000;6.30805;-0.13532;
231;89.004000000;6.28628;-0.136171;
232;89.203000000;6.25566;-0.136656;
233;89.404000000;6.22885;-0.136838;
234;89.603000000;6.20229;-0.137128;
235;89.803000000;6.17586;-0.137559;
236;90.005000000;6.14925;-0.138116;
237;90.204000000;6.12247;-0.138795;
238;90.403000000;6.0916;-0.13961;
239;90.603000000;6.06951;-0.140239;
240;90.805000000;6.04731;-0.140881;
241;91.003000000;6.01183;-0.141915;
242;91.204000000;5.9854;-0.142635;
243;91.403000000;5.96334;-0.143214;
