id;time;x_odom;y_odom;
1;42.405000000;13.5;5.04719e-05;
2;42.605000000;13.4953;5.55271e-05;
3;42.808000000;13.4633;4.94077e-05;
4;43.005000000;13.4274;3.87506e-05;
5;43.205000000;13.3915;2.6899e-05;
6;43.405000000;13.3494;-2.68401e-05;
7;43.605000000;13.3136;-5.28116e-05;
8;43.808000000;13.2776;-7.44924e-05;
9;44.005000000;13.2475;-9.99298e-05;
10;44.205000000;13.2176;-0.000113012;
11;44.405000000;13.1757;-0.000125285;
12;44.605000000;13.1395;-0.000150368;
13;44.805000000;13.1038;-0.000150461;
14;45.005000000;13.0677;-0.000179226;
15;45.205000000;13.0317;-0.000221638;
16;45.405000000;12.9959;-0.000240794;
17;45.606000000;12.9598;-0.000258504;
18;45.805000000;12.9179;-0.000284418;
19;46.005000000;12.8879;-0.000307039;
20;46.205000000;12.8578;-0.000339917;
21;46.405000000;12.8159;-0.000390509;
22;46.606000000;12.78;-0.000417873;
23;46.805000000;12.7439;-0.000441408;
24;47.005000000;12.708;-0.000468339;
25;47.205000000;12.6721;-0.000481602;
26;47.405000000;12.63;-0.000498695;
27;47.605000000;12.5942;-0.000514882;
28;47.805000000;12.5642;-0.000544827;
29;48.005000000;12.5281;-0.000583114;
30;48.205000000;12.4981;-0.000613434;
31;48.405000000;12.4563;-0.000639064;
32;48.605000000;12.4202;-0.000664744;
33;48.805000000;12.3844;-0.000677775;
34;49.005000000;12.3485;-0.000412255;
35;49.205000000;12.3124;0.000273309;
36;49.406000000;12.2767;0.0013504;
37;49.605000000;12.2408;0.00272134;
38;49.805000000;12.2083;0.00422187;
39;50.005000000;12.186;0.00609408;
40;50.205000000;12.1696;0.00886137;
41;50.405000000;12.1465;0.0147535;
42;50.605000000;12.114;0.0262934;
43;50.805000000;12.0827;0.0401217;
44;51.005000000;12.0467;0.0591138;
45;51.205000000;12.0178;0.0767106;
46;51.405000000;11.9939;0.092834;
47;51.605000000;11.9655;0.113871;
48;51.805000000;11.9379;0.136323;
49;52.005000000;11.9155;0.15588;
