id;time;x_odom;y_odom;
1;42.800000000;13.5;6.19107e-05;
2;43.000000000;13.4969;0.000137889;
3;43.200000000;13.4848;0.000840949;
4;43.401000000;13.4609;0.00414347;
5;43.600000000;13.4344;0.0130916;
6;43.800000000;13.4129;0.0284524;
7;44.000000000;13.396;0.0499445;
8;44.200000000;13.3843;0.0856744;
9;44.400000000;13.3841;0.110607;
10;44.601000000;13.3851;0.1154;
11;44.800000000;13.3727;0.100501;
12;45.000000000;13.3386;0.0779721;
13;45.200000000;13.3007;0.0685184;
14;45.401000000;13.2702;0.0674046;
15;45.601000000;13.2393;0.0683722;
16;45.800000000;13.1965;0.0680373;
17;46.000000000;13.1607;0.0663193;
18;46.200000000;13.1244;0.0649942;
19;46.400000000;13.0886;0.0639492;
20;46.600000000;13.0526;0.0629069;
21;46.801000000;13.0105;0.0618025;
22;47.000000000;12.9806;0.0610459;
23;47.200000000;12.9503;0.0605606;
24;47.400000000;12.907;0.064014;
25;47.601000000;12.8727;0.0683727;
26;47.800000000;12.8373;0.0715608;
27;48.000000000;12.8018;0.0738445;
28;48.200000000;12.7639;0.0775864;
29;48.400000000;12.7279;0.0850295;
30;48.600000000;12.6873;0.0950663;
31;48.800000000;12.6581;0.101144;
32;49.000000000;12.6287;0.1069;
33;49.200000000;12.5873;0.115362;
34;49.401000000;12.5518;0.126613;
35;49.600000000;12.5198;0.139014;
36;49.800000000;12.4861;0.150106;
37;50.000000000;12.451;0.160187;
38;50.200000000;12.417;0.171014;
39;50.400000000;12.3831;0.185436;
40;50.600000000;12.3495;0.200671;
41;50.800000000;12.3111;0.216032;
42;51.000000000;12.2829;0.226828;
43;51.200000000;12.2551;0.237916;
44;51.400000000;12.2169;0.255568;
45;51.600000000;12.1845;0.271399;
46;51.800000000;12.1521;0.286596;
47;52.000000000;12.1195;0.301852;
48;52.200000000;12.087;0.318127;
49;52.400000000;12.0556;0.336001;
50;52.600000000;12.0198;0.356573;
51;52.800000000;11.9937;0.370779;
52;53.000000000;11.9671;0.384776;
53;53.200000000;11.9323;0.402788;
54;53.400000000;11.9016;0.414506;
55;53.602000000;11.8711;0.417692;
56;53.800000000;11.8393;0.410234;
57;54.000000000;11.8117;0.392505;
58;54.200000000;11.7886;0.36561;
59;54.400000000;11.7685;0.33548;
60;54.600000000;11.7447;0.303094;
61;54.800000000;11.7221;0.280977;
