id;time;x_odom;y_odom;
1;42.398000000;13.5;5.13435e-05;
2;42.598000000;13.4942;1.86731e-05;
3;42.798000000;13.482;-0.000315648;
4;43.001000000;13.4595;-0.0024788;
5;43.198000000;13.4375;-0.00768393;
6;43.398000000;13.4163;-0.017848;
7;43.598000000;13.3912;-0.0394907;
8;43.798000000;13.3703;-0.0769875;
9;43.998000000;13.366;-0.106207;
10;44.199000000;13.3675;-0.123753;
11;44.398000000;13.3673;-0.124114;
12;44.598000000;13.3468;-0.105535;
13;44.798000000;13.3169;-0.0923349;
14;45.000000000;13.2831;-0.0875471;
15;45.198000000;13.2478;-0.0877317;
16;45.398000000;13.2053;-0.0886307;
17;45.598000000;13.1752;-0.0884323;
18;45.798000000;13.1451;-0.0880807;
19;45.998000000;13.1032;-0.0877983;
20;46.198000000;13.0671;-0.0874399;
21;46.398000000;13.0308;-0.0861797;
22;46.598000000;12.9949;-0.0846196;
23;46.798000000;12.959;-0.08295;
24;46.999000000;12.9169;-0.0808451;
25;47.198000000;12.8871;-0.0793361;
26;47.398000000;12.8512;-0.0775034;
27;47.598000000;12.821;-0.0759927;
28;47.798000000;12.7794;-0.0739815;
29;47.998000000;12.7434;-0.0722968;
30;48.198000000;12.7073;-0.0706214;
31;48.398000000;12.6715;-0.0688693;
32;48.598000000;12.6356;-0.0670774;
33;48.798000000;12.5995;-0.0653485;
34;48.998000000;12.5637;-0.0638238;
35;49.201000000;12.5277;-0.0623945;
36;49.399000000;12.4859;-0.0608545;
37;49.599000000;12.45;-0.0595683;
38;49.798000000;12.4199;-0.058513;
39;49.998000000;12.3898;-0.0575007;
40;50.202000000;12.3479;-0.0558466;
41;50.398000000;12.311;-0.048815;
42;50.598000000;12.2766;-0.0340948;
43;50.798000000;12.2443;-0.0156555;
44;50.998000000;12.2138;0.00258874;
45;51.198000000;12.1827;0.0205933;
46;51.398000000;12.1516;0.0385429;
47;51.599000000;12.1206;0.0563744;
48;51.798000000;12.0893;0.07418;
49;51.998000000;12.0529;0.0946328;
50;52.198000000;12.0215;0.112001;
51;52.399000000;11.99;0.129497;
52;52.598000000;11.9585;0.14672;
53;52.799000000;11.9268;0.163701;
54;52.998000000;11.9055;0.175139;
55;53.198000000;11.8685;0.194438;
56;53.398000000;11.8365;0.21065;
57;53.598000000;11.8043;0.226771;
58;53.798000000;11.7722;0.242494;
59;53.998000000;11.7346;0.260787;
60;54.198000000;11.7009;0.276327;
61;54.398000000;11.6689;0.287859;
62;54.598000000;11.6266;0.295532;
63;54.798000000;11.5953;0.294516;
64;54.998000000;11.5588;0.285653;
65;55.198000000;11.5282;0.274519;
66;55.399000000;11.4934;0.26298;
67;55.598000000;11.4527;0.251359;
68;55.798000000;11.4239;0.242976;
69;55.998000000;11.3953;0.234104;
70;56.198000000;11.3615;0.223292;
71;56.398000000;11.3215;0.210663;
72;56.599000000;11.287;0.200037;
73;56.799000000;11.2527;0.189709;
74;56.998000000;11.2182;0.179213;
75;57.198000000;11.1837;0.168819;
76;57.398000000;11.1493;0.158559;
77;57.598000000;11.1089;0.146609;
78;57.798000000;11.0801;0.138424;
79;57.998000000;11.0454;0.128834;
80;58.199000000;11.016;0.120843;
81;58.398000000;10.9727;0.113278;
82;58.598000000;10.9365;0.112177;
83;58.798000000;10.8979;0.113093;
84;59.000000000;10.8622;0.112642;
85;59.200000000;10.8258;0.111873;
86;59.398000000;10.7899;0.111523;
87;59.598000000;10.7539;0.111282;
88;59.798000000;10.712;0.110969;
89;59.998000000;10.682;0.110687;
90;60.198000000;10.6461;0.110116;
91;60.398000000;10.616;0.109603;
92;60.598000000;10.5803;0.109106;
93;60.799000000;10.5443;0.108696;
94;60.999000000;10.5024;0.108128;
95;61.198000000;10.4665;0.107426;
96;61.398000000;10.4305;0.10665;
97;61.598000000;10.3945;0.106002;
98;61.798000000;10.3586;0.105318;
99;61.998000000;10.3223;0.104688;
100;62.198000000;10.2804;0.104307;
101;62.399000000;10.2503;0.103916;
102;62.598000000;10.2202;0.103507;
103;62.799000000;10.1782;0.103243;
104;62.998000000;10.1422;0.102966;
105;63.198000000;10.1064;0.102885;
106;63.398000000;10.0716;0.102038;
107;63.598000000;10.0304;0.10019;
108;63.798000000;9.99393;0.0978573;
109;63.998000000;9.96476;0.0972775;
110;64.199000000;9.93465;0.0975275;
111;64.399000000;9.89327;0.097134;
112;64.598000000;9.8575;0.0956842;
113;64.798000000;9.82223;0.0923795;
114;64.998000000;9.78599;0.0884601;
115;65.198000000;9.74757;0.0879612;
116;65.400000000;9.71213;0.0887568;
117;65.598000000;9.68;0.0879517;
118;65.798000000;9.64215;0.0848518;
119;65.998000000;9.61196;0.0833111;
120;66.198000000;9.57519;0.0819216;
121;66.398000000;9.54383;0.0788188;
122;66.598000000;9.50324;0.0715513;
123;66.798000000;9.46741;0.0651771;
124;66.999000000;9.43232;0.059974;
125;67.198000000;9.40002;0.0531351;
126;67.398000000;9.3675;0.0412949;
127;67.600000000;9.33048;0.0231088;
128;67.798000000;9.30001;0.00517499;
129;67.999000000;9.27623;-0.0110618;
130;68.198000000;9.2523;-0.028871;
131;68.398000000;9.21882;-0.0541733;
132;68.598000000;9.19015;-0.0753658;
133;68.798000000;9.15877;-0.095162;
134;68.998000000;9.12363;-0.10686;
135;69.198000000;9.07895;-0.106662;
136;69.398000000;9.04235;-0.0975864;
137;69.599000000;9.00667;-0.0849902;
138;69.798000000;8.97978;-0.0746155;
139;69.998000000;8.95163;-0.0626379;
140;70.198000000;8.91881;-0.0471852;
141;70.400000000;8.87497;-0.0217025;
142;70.598000000;8.85245;-0.00332165;
143;70.798000000;8.82582;0.0203632;
144;70.998000000;8.79808;0.0424748;
145;71.198000000;8.76895;0.0635391;
146;71.398000000;8.73939;0.0839979;
147;71.598000000;8.70968;0.104387;
148;71.798000000;8.67995;0.124358;
149;71.998000000;8.65507;0.141909;
150;72.199000000;8.61988;0.163702;
151;72.398000000;8.59103;0.176991;
152;72.599000000;8.55876;0.192201;
153;72.799000000;8.53195;0.204977;
154;72.998000000;8.49919;0.213995;
155;73.199000000;8.46556;0.213559;
156;73.398000000;8.42691;0.206148;
157;73.598000000;8.39869;0.200025;
158;73.798000000;8.36847;0.195413;
159;74.000000000;8.32776;0.190195;
160;74.198000000;8.2926;0.185019;
161;74.398000000;8.25876;0.176369;
162;74.598000000;8.21959;0.162893;
163;74.799000000;8.19116;0.15328;
164;74.998000000;8.15649;0.14415;
165;75.198000000;8.12243;0.13583;
166;75.398000000;8.08714;0.127845;
167;75.598000000;8.05236;0.120073;
