id;time;x_odom;y_odom;
1;42.823000000;-3.99998;6.19107e-05;
2;43.023000000;-3.99796;6.85589e-05;
3;43.223000000;-3.9702;7.53171e-05;
4;43.423000000;-3.93422;-3.5316e-05;
5;43.623000000;-3.89831;-0.000235903;
6;43.824000000;-3.86214;-0.000566639;
7;44.023000000;-3.82623;-0.00101123;
8;44.223000000;-3.79028;-0.00158335;
9;44.423000000;-3.74809;-0.00263584;
10;44.624000000;-3.71827;-0.00360111;
11;44.823000000;-3.68233;-0.00481275;
12;45.023000000;-3.65215;-0.00584825;
13;45.223000000;-3.61041;-0.00731987;
14;45.423000000;-3.57444;-0.00862551;
15;45.623000000;-3.53833;-0.0099508;
16;45.823000000;-3.50257;-0.0112539;
17;46.023000000;-3.46657;-0.0125862;
18;46.223000000;-3.4305;-0.0139292;
19;46.423000000;-3.39473;-0.0152611;
20;46.623000000;-3.35274;-0.0168501;
21;46.823000000;-3.31681;-0.0182093;
22;47.023000000;-3.28689;-0.0193478;
23;47.223000000;-3.25084;-0.0207036;
24;47.423000000;-3.22076;-0.0217722;
25;47.624000000;-3.17904;-0.0231972;
26;47.823000000;-3.14292;-0.0245472;
27;48.023000000;-3.107;-0.0260161;
28;48.223000000;-3.07114;-0.0275972;
29;48.423000000;-3.03503;-0.0293105;
30;48.624000000;-2.99328;-0.0313858;
31;48.823000000;-2.9633;-0.0329553;
32;49.023000000;-2.93317;-0.0345814;
33;49.223000000;-2.88552;-0.0371616;
34;49.423000000;-2.84958;-0.0391537;
35;49.623000000;-2.81945;-0.0408385;
36;49.823000000;-2.78372;-0.0428422;
37;50.023000000;-2.74781;-0.0448784;
38;50.223000000;-2.71167;-0.0469192;
39;50.423000000;-2.67009;-0.0489872;
40;50.623000000;-2.64005;-0.0503068;
41;50.823000000;-2.6099;-0.0515144;
42;51.024000000;-2.56822;-0.0529128;
43;51.223000000;-2.53363;-0.0539523;
44;51.423000000;-2.49762;-0.0546029;
45;51.623000000;-2.46192;-0.054681;
46;51.823000000;-2.42592;-0.0543244;
47;52.023000000;-2.38619;-0.053543;
48;52.223000000;-2.35677;-0.052685;
49;52.423000000;-2.327;-0.0509532;
50;52.623000000;-2.28745;-0.0470924;
51;52.823000000;-2.25443;-0.0425475;
52;53.023000000;-2.21975;-0.0365064;
53;53.224000000;-2.1853;-0.029276;
54;53.423000000;-2.15068;-0.0205279;
55;53.623000000;-2.11674;-0.010131;
56;53.823000000;-2.08314;0.00171063;
57;54.023000000;-2.04673;0.0164663;
58;54.224000000;-2.02078;0.028369;
59;54.423000000;-1.99458;0.0416204;
60;54.623000000;-1.95938;0.0613427;
61;54.823000000;-1.92933;0.0796804;
62;55.023000000;-1.9001;0.0989429;
63;55.223000000;-1.87135;0.119154;
64;55.423000000;-1.83565;0.142348;
65;55.623000000;-1.80362;0.160056;
66;55.823000000;-1.77614;0.173224;
67;56.023000000;-1.74855;0.184787;
68;56.223000000;-1.71499;0.196862;
69;56.423000000;-1.67473;0.208774;
70;56.623000000;-1.63971;0.217458;
71;56.823000000;-1.60425;0.22508;
72;57.023000000;-1.56873;0.231679;
73;57.223000000;-1.53296;0.237354;
74;57.423000000;-1.49132;0.242794;
75;57.623000000;-1.46129;0.246043;
76;57.823000000;-1.43112;0.248823;
77;58.023000000;-1.39529;0.251476;
78;58.223000000;-1.35333;0.253976;
79;58.423000000;-1.31715;0.255699;
80;58.624000000;-1.28131;0.257024;
81;58.823000000;-1.2452;0.258022;
82;59.023000000;-1.20911;0.258729;
83;59.224000000;-1.16728;0.259254;
84;59.423000000;-1.13109;0.259427;
85;59.623000000;-1.10103;0.259416;
86;59.823000000;-1.06514;0.259262;
87;60.023000000;-1.03496;0.259005;
88;60.223000000;-0.987088;0.25833;
89;60.423000000;-0.957086;0.257783;
90;60.623000000;-0.920933;0.257025;
91;60.823000000;-0.885045;0.25614;
92;61.026000000;-0.849121;0.255127;
93;61.223000000;-0.812972;0.254017;
94;61.423000000;-0.777152;0.252851;
95;61.623000000;-0.741209;0.251619;
96;61.823000000;-0.705073;0.250332;
97;62.023000000;-0.669312;0.249026;
98;62.223000000;-0.633785;0.247498;
99;62.423000000;-0.595512;0.244102;
100;62.623000000;-0.565485;0.240372;
101;62.823000000;-0.535366;0.235637;
102;63.024000000;-0.493884;0.227653;
103;63.223000000;-0.457907;0.219603;
104;63.423000000;-0.423676;0.209856;
105;63.623000000;-0.396662;0.19941;
106;63.823000000;-0.37166;0.186414;
107;64.023000000;-0.348614;0.171759;
108;64.223000000;-0.328293;0.1569;
109;64.423000000;-0.325932;0.155041;
110;64.623000000;-0.325847;0.154979;
111;64.823000000;-0.330365;0.158893;
112;65.024000000;-0.346312;0.173469;
113;65.223000000;-0.369086;0.194788;
114;65.423000000;-0.388048;0.212631;
115;65.623000000;-0.4069;0.23034;
116;65.823000000;-0.425152;0.248337;
117;66.023000000;-0.443006;0.267064;
118;66.223000000;-0.462871;0.289466;
119;66.423000000;-0.476171;0.305145;
120;66.623000000;-0.493361;0.325293;
121;66.823000000;-0.507729;0.341921;
122;67.023000000;-0.528338;0.364929;
123;67.226000000;-0.545719;0.384436;
124;67.423000000;-0.563107;0.404545;
125;67.623000000;-0.579581;0.42436;
126;67.823000000;-0.596237;0.445019;
127;68.023000000;-0.613806;0.467242;
128;68.223000000;-0.631842;0.491571;
129;68.424000000;-0.64601;0.513206;
130;68.623000000;-0.659043;0.536135;
131;68.823000000;-0.669688;0.555871;
132;69.023000000;-0.679558;0.574737;
133;69.223000000;-0.6907;0.597985;
134;69.423000000;-0.703894;0.630174;
135;69.623000000;-0.711352;0.650753;
136;69.823000000;-0.719827;0.675919;
137;70.023000000;-0.72771;0.70099;
138;70.223000000;-0.734871;0.726059;
139;70.424000000;-0.742001;0.751487;
140;70.623000000;-0.748992;0.7772;
141;70.823000000;-0.75641;0.807662;
142;71.024000000;-0.761116;0.829088;
143;71.223000000;-0.765231;0.850599;
144;71.423000000;-0.770092;0.881101;
145;71.623000000;-0.773626;0.907809;
146;71.823000000;-0.77641;0.933866;
147;72.023000000;-0.778377;0.960114;
148;72.223000000;-0.78001;0.986702;
149;72.423000000;-0.781294;1.013;
150;72.623000000;-0.782293;1.03937;
151;72.823000000;-0.78325;1.07028;
152;73.023000000;-0.783785;1.09239;
153;73.223000000;-0.784332;1.11891;
154;73.423000000;-0.784724;1.14541;
155;73.623000000;-0.784619;1.16742;
156;73.824000000;-0.783408;1.20218;
157;74.023000000;-0.782141;1.22431;
158;74.223000000;-0.780114;1.25082;
159;74.423000000;-0.777712;1.27705;
160;74.624000000;-0.775066;1.30321;
161;74.823000000;-0.771732;1.3341;
162;75.024000000;-0.769354;1.3563;
163;75.223000000;-0.76676;1.37874;
164;75.423000000;-0.763376;1.40939;
165;75.623000000;-0.760168;1.43575;
166;75.823000000;-0.756203;1.46231;
167;76.024000000;-0.751354;1.48829;
168;76.224000000;-0.746019;1.5142;
169;76.423000000;-0.740215;1.54035;
170;76.624000000;-0.73484;1.56569;
171;76.823000000;-0.729294;1.59057;
172;77.023000000;-0.723214;1.61624;
173;77.224000000;-0.716798;1.64196;
174;77.423000000;-0.709825;1.66771;
175;77.623000000;-0.701968;1.69762;
176;77.823000000;-0.6964;1.71908;
177;78.023000000;-0.690924;1.74071;
178;78.223000000;-0.682885;1.7703;
179;78.423000000;-0.674984;1.79522;
180;78.623000000;-0.665538;1.81945;
181;78.823000000;-0.654437;1.84289;
182;79.023000000;-0.641777;1.86515;
183;79.223000000;-0.624712;1.8899;
184;79.424000000;-0.611205;1.9066;
185;79.623000000;-0.596541;1.92249;
186;79.824000000;-0.574187;1.94347;
187;80.023000000;-0.553666;1.96044;
188;80.223000000;-0.532598;1.97599;
189;80.423000000;-0.510393;1.99073;
190;80.623000000;-0.481944;2.00697;
191;80.823000000;-0.45361;2.01976;
192;81.023000000;-0.424309;2.0299;
193;81.223000000;-0.407361;2.03509;
194;81.423000000;-0.409376;2.03452;
195;81.623000000;-0.434988;2.02599;
196;81.823000000;-0.463316;2.01358;
197;82.024000000;-0.488765;2.00059;
198;82.223000000;-0.518964;1.98278;
199;82.423000000;-0.547086;1.96304;
200;82.623000000;-0.577523;1.93619;
201;82.823000000;-0.597399;1.91478;
202;83.023000000;-0.619129;1.887;
203;83.223000000;-0.635369;1.86245;
204;83.423000000;-0.655071;1.8272;
205;83.623000000;-0.668899;1.7987;
206;83.823000000;-0.682106;1.76734;
207;84.023000000;-0.693854;1.73423;
208;84.223000000;-0.703263;1.70205;
209;84.423000000;-0.712383;1.66181;
210;84.623000000;-0.717122;1.63274;
211;84.823000000;-0.721548;1.59142;
212;85.024000000;-0.723014;1.56183;
213;85.223000000;-0.72307;1.52716;
214;85.423000000;-0.721694;1.49186;
215;85.623000000;-0.719405;1.45615;
216;85.823000000;-0.716529;1.4227;
217;86.023000000;-0.712929;1.38943;
218;86.223000000;-0.708287;1.35411;
219;86.423000000;-0.702281;1.31387;
220;86.624000000;-0.698131;1.28405;
221;86.823000000;-0.693499;1.24829;
222;87.023000000;-0.689809;1.21857;
223;87.223000000;-0.683791;1.17109;
224;87.423000000;-0.680167;1.14186;
225;87.623000000;-0.677419;1.11506;
226;87.823000000;-0.675537;1.09265;
227;88.023000000;-0.673767;1.0658;
228;88.223000000;-0.672477;1.03932;
229;88.423000000;-0.671538;1.01274;
230;88.623000000;-0.670912;0.985925;
231;88.823000000;-0.670654;0.954652;
232;89.023000000;-0.670726;0.932564;
233;89.223000000;-0.671103;0.905953;
234;89.423000000;-0.67139;0.87859;
235;89.623000000;-0.669813;0.852217;
236;89.823000000;-0.664973;0.826606;
237;90.023000000;-0.654653;0.798398;
238;90.223000000;-0.642633;0.77597;
239;90.423000000;-0.620238;0.745593;
240;90.623000000;-0.598897;0.722119;
241;90.823000000;-0.573178;0.697743;
242;91.023000000;-0.545875;0.675077;
243;91.223000000;-0.518642;0.655274;
244;91.423000000;-0.484243;0.632571;
245;91.623000000;-0.458888;0.616385;
246;91.823000000;-0.428361;0.597532;
247;92.024000000;-0.397687;0.57903;
248;92.223000000;-0.36664;0.560627;
249;92.423000000;-0.340734;0.545603;
250;92.623000000;-0.31027;0.528323;
251;92.823000000;-0.279552;0.511302;
252;93.023000000;-0.248034;0.494115;
253;93.223000000;-0.211203;0.474468;
254;93.423000000;-0.179168;0.457858;
255;93.624000000;-0.147238;0.44177;
256;93.823000000;-0.116114;0.426507;
257;94.023000000;-0.0840932;0.411158;
258;94.223000000;-0.0526978;0.396191;
259;94.423000000;-0.020318;0.380851;
260;94.623000000;0.0176596;0.363137;
261;94.823000000;0.0439743;0.351044;
262;95.023000000;0.0711865;0.338711;
263;95.223000000;0.109435;0.321699;
264;95.424000000;0.1423;0.307333;
265;95.623000000;0.175343;0.293142;
266;95.823000000;0.207127;0.279689;
267;96.023000000;0.240165;0.265659;
268;96.223000000;0.278815;0.249402;
269;96.423000000;0.306461;0.237863;
270;96.623000000;0.332456;0.2271;
271;96.823000000;0.367112;0.212845;
272;97.023000000;0.394975;0.201553;
273;97.223000000;0.42026;0.191388;
274;97.423000000;0.444893;0.181569;
275;97.623000000;0.47339;0.170486;
276;97.823000000;0.498702;0.160961;
277;98.023000000;0.523605;0.151677;
278;98.223000000;0.552648;0.141101;
279;98.423000000;0.577503;0.132258;
280;98.623000000;0.598405;0.124953;
281;98.823000000;0.624189;0.116163;
282;99.023000000;0.651272;0.10729;
283;99.224000000;0.673212;0.100117;
284;99.423000000;0.698512;0.091849;
285;99.624000000;0.72801;0.0824146;
286;99.823000000;0.753365;0.0745375;
287;100.023000000;0.77831;0.066869;
288;100.223000000;0.803799;0.0591293;
289;100.423000000;0.829302;0.0515323;
290;100.623000000;0.858675;0.0430083;
291;100.823000000;0.879874;0.0369663;
292;101.024000000;0.901271;0.0310267;
293;101.223000000;0.927029;0.0241182;
294;101.423000000;0.956422;0.0166194;
295;101.623000000;0.981878;0.0108216;
296;101.823000000;1.00785;0.00571927;
297;102.023000000;1.0341;0.00126936;
298;102.224000000;1.05825;-0.0024639;
299;102.423000000;1.06684;-0.00408787;
300;102.623000000;1.07218;-0.00536271;
301;102.823000000;1.0737;-0.00575637;
302;103.023000000;1.07915;-0.00694068;
Global plan coords: x;y
-4.1;2.23517e-07
-4.07494;-0.00349862
-4.04995;-0.00372292
-4.02495;-0.00398079
-3.99995;-0.00436074
-3.97495;-0.0047651
-3.94996;-0.00523659
-3.92496;-0.00570809
-3.89997;-0.00617043
-3.87497;-0.00659005
-3.84997;-0.00673501
-3.82497;-0.00683571
-3.79997;-0.00676858
-3.77497;-0.00666024
-3.74997;-0.00624978
-3.72498;-0.00584694
-3.69998;-0.00544716
-3.67498;-0.00504738
-3.64999;-0.00473153
-3.62499;-0.0044172
-3.59999;-0.00415932
-3.57499;-0.00390145
-3.54999;-0.00368325
-3.52499;-0.00346505
-3.49999;-0.00327431
-3.47499;-0.0030851
-3.44999;-0.00291726
-3.425;-0.00274941
-3.4;-0.00259682
-3.375;-0.00244576
-3.35;-0.00230538
-3.325;-0.00216805
-3.3;-0.00202309
-3.275;-0.00188576
-3.25;-0.00176369
-3.225;-0.00164773
-3.2;-0.00154397
-3.175;-0.00144478
-3.15;-0.00135628
-3.125;-0.00127236
-3.1;-0.00119607
-3.075;-0.00112282
-3.05;-0.00105721
-3.025;-0.00099465
-3;-0.000936666
-2.975;-0.000881734
-2.95;-0.00083138
-2.925;-0.000784078
-2.9;-0.000739828
-2.875;-0.000698629
-2.85;-0.000660482
-2.825;-0.000622335
-2.8;-0.000588766
-2.775;-0.000556722
-2.75;-0.000526205
-2.725;-0.000497213
-2.7;-0.000471273
-2.675;-0.000445333
-2.65;-0.000422445
-2.625;-0.000399557
-2.6;-0.000378194
-2.575;-0.000358358
-2.55;-0.000340047
-2.525;-0.000321737
-2.5;-0.000304952
-2.475;-0.000288168
-2.45;-0.000274435
-2.425;-0.000259176
-2.4;-0.000246969
-2.375;-0.000233236
-2.35;-0.000221029
-2.325;-0.000210348
-2.3;-0.000199667
-2.275;-0.000188985
-2.25;-0.00017983
-2.225;-0.000170675
-2.2;-0.00016152
-2.175;-0.00015389
-2.15;-0.000146261
-2.125;-0.000138631
-2.1;-0.000131002
-2.075;-0.000124899
-2.05;-0.000118795
-2.025;-0.000112692
-2;-0.000106588
-1.975;-0.000100484
-1.95;-9.59069e-05
-1.925;-9.13292e-05
-1.9;-8.67516e-05
-1.875;-8.21739e-05
-1.85;-7.75963e-05
-1.825;-7.45446e-05
-1.8;-6.99669e-05
-1.775;-6.69152e-05
-1.75;-6.38634e-05
-1.725;-6.08116e-05
-1.7;-5.77599e-05
-1.675;-5.47081e-05
-1.65;-5.16564e-05
-1.625;-4.86046e-05
-1.6;-4.70787e-05
-1.575;-4.4027e-05
-1.55;-4.25011e-05
-1.525;-3.94493e-05
-1.5;-3.79235e-05
-1.475;-3.48717e-05
-1.45;-3.33458e-05
-1.425;-3.18199e-05
-1.4;-3.02941e-05
-1.375;-2.87682e-05
-1.35;-2.72423e-05
-1.325;-2.57164e-05
-1.3;-2.41905e-05
-1.275;-2.41905e-05
-1.25;-2.26647e-05
-1.225;-2.11388e-05
-1.2;-1.96129e-05
-1.175;-1.96129e-05
-1.15;-1.8087e-05
-1.125;-1.65612e-05
-1.1;-1.65612e-05
-1.075;-1.50353e-05
-1.05;-1.50353e-05
-1.025;-1.35094e-05
-1;-1.35094e-05
-0.975;-1.19835e-05
-0.95;-1.19835e-05
-0.925;-1.04576e-05
-0.9;-1.04576e-05
-0.875;-1.04576e-05
-0.85;-8.93176e-06
-0.825;-8.93176e-06
-0.8;-8.93176e-06
-0.775;-8.93176e-06
-0.75;-7.40588e-06
-0.725;-7.40588e-06
-0.7;-7.40588e-06
-0.675;-5.88e-06
-0.65;-5.88e-06
-0.625;-5.88e-06
-0.6;-5.88e-06
-0.575;-5.88e-06
-0.55;-4.35412e-06
-0.525;-4.35412e-06
-0.5;-4.35412e-06
-0.475;-4.35412e-06
-0.45;-4.35412e-06
-0.425;-4.35412e-06
-0.4;-2.82824e-06
-0.375;-2.82824e-06
-0.35;-2.82824e-06
-0.325;-2.82824e-06
-0.3;-2.82824e-06
-0.275;-2.82824e-06
-0.25;-2.82824e-06
-0.225;-1.30236e-06
-0.2;-1.30236e-06
-0.175;-1.30236e-06
-0.15;-1.30236e-06
-0.125;-1.30236e-06
-0.0999998;-1.30236e-06
-0.0749998;-1.30236e-06
-0.0499998;-1.30236e-06
-0.0249998;-1.30236e-06
2.23517e-07;-1.30236e-06
0.0250002;-1.30236e-06
0.0500002;-1.30236e-06
0.0750002;-1.30236e-06
0.1;-1.30236e-06
0.125;-1.30236e-06
0.15;2.23517e-07
0.175;2.23517e-07
0.2;2.23517e-07
0.225;2.23517e-07
0.25;2.23517e-07
0.275;2.23517e-07
0.3;2.23517e-07
0.325;2.23517e-07
0.35;2.23517e-07
0.375;2.23517e-07
0.4;2.23517e-07
0.425;2.23517e-07
0.45;2.23517e-07
0.475;2.23517e-07
0.5;2.23517e-07
0.525;2.23517e-07
0.55;2.23517e-07
0.575;2.23517e-07
0.6;2.23517e-07
0.625;2.23517e-07
0.65;2.23517e-07
0.675;2.23517e-07
0.7;2.23517e-07
0.725;2.23517e-07
0.75;2.23517e-07
0.775;2.23517e-07
0.8;2.23517e-07
0.825;2.23517e-07
0.85;2.23517e-07
0.875;2.23517e-07
0.9;2.23517e-07
0.95;-0.0499998
