id;time;x_odom;y_odom;
1;42.414000000;-3.99998;5.13435e-05;
2;42.615000000;-3.98756;6.00279e-05;
3;42.814000000;-3.95213;6.74572e-06;
4;43.014000000;-3.92223;-0.000114256;
5;43.214000000;-3.88622;-0.000350681;
6;43.415000000;-3.84414;-0.000785853;
7;43.614000000;-3.8083;-0.00126177;
8;43.814000000;-3.77222;-0.0018352;
9;44.014000000;-3.73615;-0.00253501;
10;44.214000000;-3.70031;-0.00330881;
11;44.414000000;-3.66422;-0.00414562;
12;44.614000000;-3.62225;-0.00538409;
13;44.814000000;-3.59227;-0.00657994;
14;45.014000000;-3.56208;-0.00807898;
15;45.215000000;-3.52078;-0.010455;
16;45.415000000;-3.48645;-0.0123733;
17;45.614000000;-3.45039;-0.0143206;
18;45.815000000;-3.41456;-0.0161724;
19;46.014000000;-3.37871;-0.0179372;
20;46.214000000;-3.34263;-0.0196651;
21;46.414000000;-3.30681;-0.0212559;
22;46.614000000;-3.27092;-0.0227658;
23;46.814000000;-3.23482;-0.024244;
24;47.014000000;-3.19313;-0.0258424;
25;47.214000000;-3.16311;-0.0269413;
26;47.414000000;-3.127;-0.0281673;
27;47.614000000;-3.09715;-0.029105;
28;47.815000000;-3.06122;-0.0301745;
29;48.014000000;-3.01324;-0.0314654;
30;48.214000000;-2.98932;-0.0320599;
31;48.414000000;-2.94738;-0.0330759;
32;48.614000000;-2.91124;-0.0340688;
33;48.814000000;-2.87546;-0.0351498;
34;49.014000000;-2.83939;-0.0363514;
35;49.214000000;-2.80335;-0.0376844;
36;49.414000000;-2.76165;-0.0393126;
37;49.614000000;-2.72554;-0.0407945;
38;49.814000000;-2.69557;-0.0420701;
39;50.014000000;-2.66568;-0.043383;
40;50.214000000;-2.62367;-0.0452768;
41;50.414000000;-2.58779;-0.0468982;
42;50.614000000;-2.55193;-0.048565;
43;50.814000000;-2.51584;-0.0502763;
44;51.014000000;-2.48002;-0.0519548;
45;51.215000000;-2.44414;-0.0536754;
46;51.414000000;-2.40804;-0.0554264;
47;51.614000000;-2.37226;-0.057151;
48;51.814000000;-2.33636;-0.058904;
