id;time;x_odom;y_odom;
1;42.817000000;-3.99998;6.19107e-05;
2;43.017000000;-3.99948;6.8001e-05;
3;43.217000000;-3.97057;4.15686e-05;
4;43.417000000;-3.94035;-0.000508909;
5;43.617000000;-3.90436;-0.00197481;
6;43.817000000;-3.8682;-0.0041818;
7;44.017000000;-3.83814;-0.00643356;
8;44.217000000;-3.79654;-0.0101927;
9;44.417000000;-3.76057;-0.013946;
10;44.617000000;-3.72634;-0.0177067;
11;44.817000000;-3.69184;-0.0214626;
12;45.017000000;-3.65705;-0.0250649;
13;45.217000000;-3.62143;-0.0284447;
14;45.417000000;-3.57977;-0.0320297;
15;45.620000000;-3.54473;-0.0347593;
16;45.817000000;-3.51559;-0.0369295;
17;46.018000000;-3.48713;-0.0389483;
18;46.217000000;-3.44584;-0.0416652;
19;46.417000000;-3.41105;-0.0440507;
20;46.617000000;-3.37615;-0.0466629;
21;46.817000000;-3.34013;-0.0494744;
22;47.018000000;-3.30445;-0.0522653;
23;47.217000000;-3.26858;-0.0551495;
24;47.417000000;-3.23427;-0.0579633;
25;47.617000000;-3.19941;-0.0607267;
26;47.817000000;-3.1641;-0.0635513;
27;48.017000000;-3.12386;-0.0666885;
28;48.217000000;-3.09484;-0.0687811;
29;48.417000000;-3.05947;-0.0712756;
30;48.617000000;-3.03083;-0.0732364;
31;48.817000000;-2.98946;-0.0757668;
32;49.017000000;-2.95351;-0.0778516;
33;49.217000000;-2.91742;-0.0798113;
34;49.417000000;-2.88295;-0.081261;
35;49.617000000;-2.84775;-0.0822406;
36;49.817000000;-2.81221;-0.0830805;
37;50.017000000;-2.77708;-0.0838973;
38;50.217000000;-2.74101;-0.084772;
39;50.417000000;-2.70503;-0.0856511;
40;50.617000000;-2.66931;-0.0862262;
41;50.817000000;-2.62732;-0.0863135;
42;51.017000000;-2.59782;-0.0859991;
43;51.217000000;-2.56265;-0.085273;
44;51.417000000;-2.5329;-0.0836045;
45;51.617000000;-2.49189;-0.0789945;
46;51.817000000;-2.45661;-0.073101;
47;52.017000000;-2.42194;-0.0653656;
48;52.217000000;-2.38745;-0.0561518;
49;52.417000000;-2.34753;-0.044129;
50;52.617000000;-2.31921;-0.0348024;
51;52.817000000;-2.28523;-0.0229861;
52;53.017000000;-2.25711;-0.0125334;
53;53.217000000;-2.21316;0.00497623;
54;53.417000000;-2.19096;0.0143135;
55;53.617000000;-2.15784;0.0290613;
56;53.817000000;-2.12015;0.0467254;
57;54.017000000;-2.08794;0.0627456;
58;54.219000000;-2.05582;0.079361;
59;54.417000000;-2.02442;0.0961655;
60;54.617000000;-1.9879;0.116391;
61;54.817000000;-1.96141;0.131236;
62;55.017000000;-1.93046;0.149121;
63;55.218000000;-1.90458;0.164493;
64;55.417000000;-1.8683;0.186095;
65;55.617000000;-1.83766;0.204651;
66;55.817000000;-1.80684;0.223676;
67;56.017000000;-1.77637;0.242845;
68;56.217000000;-1.74055;0.265532;
69;56.418000000;-1.70975;0.282623;
70;56.617000000;-1.68166;0.294762;
71;56.817000000;-1.65211;0.304117;
72;57.017000000;-1.60381;0.313604;
73;57.217000000;-1.57336;0.316277;
74;57.417000000;-1.53886;0.317403;
75;57.617000000;-1.50278;0.317711;
76;57.817000000;-1.46649;0.317336;
77;58.018000000;-1.43117;0.316415;
78;58.217000000;-1.39504;0.314911;
79;58.417000000;-1.3593;0.311893;
80;58.617000000;-1.31779;0.306167;
81;58.817000000;-1.28199;0.299289;
82;59.017000000;-1.25353;0.292889;
83;59.217000000;-1.22406;0.285639;
84;59.419000000;-1.18389;0.274407;
85;59.617000000;-1.14945;0.263765;
86;59.817000000;-1.11505;0.252509;
87;60.017000000;-1.08171;0.241506;
88;60.217000000;-1.04812;0.230578;
89;60.417000000;-1.0137;0.219756;
90;60.617000000;-0.974898;0.208054;
91;60.817000000;-0.946089;0.199454;
92;61.017000000;-0.911478;0.189238;
93;61.217000000;-0.8779;0.179276;
94;61.417000000;-0.843825;0.168871;
95;61.617000000;-0.815877;0.160195;
96;61.817000000;-0.777038;0.147744;
97;62.017000000;-0.743356;0.136626;
98;62.217000000;-0.70907;0.125234;
99;62.418000000;-0.675071;0.113954;
100;62.617000000;-0.641588;0.103042;
101;62.817000000;-0.607794;0.0924388;
102;63.017000000;-0.568918;0.0809772;
103;63.217000000;-0.545756;0.0744567;
104;63.418000000;-0.522156;0.0677502;
105;63.617000000;-0.494435;0.059683;
106;63.819000000;-0.464233;0.0510209;
107;64.017000000;-0.437693;0.0436399;
108;64.217000000;-0.417157;0.038401;
109;64.417000000;-0.412682;0.0374853;
110;64.617000000;-0.4245;0.0371536;
111;64.817000000;-0.444624;0.0327856;
112;65.017000000;-0.472504;0.0230512;
113;65.217000000;-0.502183;0.00863571;
114;65.417000000;-0.521462;-0.0030352;
