id;time;x_odom;y_odom;
1;42.823000000;-3.99796;5.78613e-05;
2;43.024000000;-3.97622;6.53899e-05;
3;43.223000000;-3.92829;-0.000308244;
4;43.423000000;-3.90421;-0.000685658;
5;43.623000000;-3.86802;-0.00156659;
6;43.823000000;-3.82608;-0.00303162;
7;44.023000000;-3.79006;-0.00492773;
8;44.224000000;-3.75388;-0.00752638;
9;44.423000000;-3.72008;-0.0105136;
10;44.623000000;-3.68532;-0.0140746;
11;44.823000000;-3.65041;-0.0179113;
12;45.026000000;-3.61473;-0.0219306;
13;45.223000000;-3.57305;-0.026806;
14;45.423000000;-3.54367;-0.0303856;
15;45.623000000;-3.5148;-0.0339054;
16;45.823000000;-3.48084;-0.0376843;
17;46.023000000;-3.43939;-0.0417121;
18;46.223000000;-3.40389;-0.0447771;
19;46.424000000;-3.36935;-0.0477406;
20;46.623000000;-3.33338;-0.0509032;
21;46.823000000;-3.29774;-0.0540325;
22;47.023000000;-3.25593;-0.0577495;
23;47.223000000;-3.22752;-0.060281;
24;47.424000000;-3.1981;-0.0628087;
25;47.623000000;-3.15688;-0.0663179;
26;47.823000000;-3.12252;-0.0691391;
27;48.023000000;-3.08763;-0.0717921;
28;48.223000000;-3.05224;-0.074386;
29;48.424000000;-3.01628;-0.0768665;
30;48.623000000;-2.98058;-0.0791426;
31;48.823000000;-2.94538;-0.0812447;
32;49.023000000;-2.90956;-0.0832417;
33;49.223000000;-2.87548;-0.0849688;
34;49.423000000;-2.83471;-0.0868705;
35;49.623000000;-2.80487;-0.0881077;
36;49.823000000;-2.77668;-0.0891757;
37;50.023000000;-2.73471;-0.0906021;
38;50.223000000;-2.69878;-0.0916828;
39;50.423000000;-2.66301;-0.0925637;
40;50.623000000;-2.62791;-0.0925362;
41;50.824000000;-2.59475;-0.091325;
42;51.023000000;-2.55949;-0.0885487;
43;51.223000000;-2.5243;-0.0846388;
44;51.423000000;-2.48877;-0.0798763;
45;51.623000000;-2.44876;-0.0736419;
46;51.823000000;-2.42013;-0.0686286;
47;52.024000000;-2.39137;-0.0631148;
48;52.223000000;-2.35039;-0.0548991;
49;52.424000000;-2.31729;-0.0479504;
50;52.623000000;-2.28324;-0.0407693;
51;52.824000000;-2.25017;-0.0335811;
52;53.023000000;-2.21528;-0.0254539;
53;53.223000000;-2.18028;-0.0170483;
54;53.423000000;-2.14589;-0.00869664;
55;53.623000000;-2.1051;0.000854209;
56;53.823000000;-2.06972;0.00843973;
57;54.023000000;-2.0344;0.0156914;
58;54.223000000;-2.00503;0.0216886;
59;54.423000000;-1.97761;0.0272122;
60;54.623000000;-1.93707;0.034398;
61;54.823000000;-1.9075;0.0376214;
62;55.023000000;-1.87107;0.0381434;
63;55.223000000;-1.83519;0.0354098;
64;55.425000000;-1.79988;0.0302744;
65;55.623000000;-1.76454;0.0229888;
66;55.823000000;-1.72436;0.0124548;
67;56.024000000;-1.696;0.00377376;
68;56.223000000;-1.66726;-0.00580484;
69;56.424000000;-1.63335;-0.0179342;
70;56.623000000;-1.59419;-0.0327319;
71;56.823000000;-1.56116;-0.045636;
72;57.023000000;-1.52878;-0.0585083;
73;57.223000000;-1.49516;-0.0722888;
74;57.423000000;-1.45728;-0.0882098;
75;57.623000000;-1.42523;-0.101721;
76;57.823000000;-1.39871;-0.112842;
77;58.026000000;-1.37086;-0.12444;
