id;time;x_odom;y_odom;
1;42.827000000;-3.99998;6.10387e-05;
2;43.027000000;-3.98756;7.14803e-05;
3;43.227000000;-3.95214;-3.79672e-05;
4;43.427000000;-3.91652;-0.000361181;
5;43.627000000;-3.88113;-0.00011025;
6;43.827000000;-3.84488;0.000230634;
7;44.027000000;-3.80297;-0.000309992;
8;44.227000000;-3.77281;-0.00137009;
9;44.428000000;-3.7368;-0.00287993;
10;44.627000000;-3.70715;-0.00375855;
11;44.827000000;-3.66522;-0.00433289;
12;45.027000000;-3.62925;-0.00479988;
13;45.228000000;-3.59341;-0.00565852;
14;45.427000000;-3.55733;-0.00639258;
15;45.627000000;-3.52169;-0.00710021;
16;45.828000000;-3.48584;-0.00769407;
17;46.028000000;-3.44375;-0.00827087;
18;46.227000000;-3.41386;-0.0086399;
19;46.427000000;-3.38393;-0.00891432;
20;46.628000000;-3.33587;-0.00926609;
21;46.827000000;-3.30003;-0.0095651;
22;47.027000000;-3.27001;-0.00985295;
23;47.227000000;-3.23387;-0.0100723;
24;47.427000000;-3.19804;-0.0100705;
25;47.627000000;-3.16204;-0.0101269;
26;47.827000000;-3.12588;-0.0102803;
27;48.027000000;-3.09008;-0.0102711;
28;48.227000000;-3.04809;-0.0102095;
29;48.427000000;-3.0179;-0.0102106;
30;48.627000000;-2.98213;-0.0101789;
31;48.829000000;-2.95204;-0.0101582;
32;49.027000000;-2.91587;-0.0101507;
33;49.227000000;-2.87422;-0.0101297;
34;49.427000000;-2.83813;-0.0103939;
35;49.627000000;-2.80214;-0.010566;
36;49.827000000;-2.76631;-0.0105013;
37;50.027000000;-2.73024;-0.010351;
38;50.227000000;-2.68827;-0.0103021;
39;50.427000000;-2.65235;-0.0104873;
40;50.627000000;-2.62229;-0.010396;
41;50.828000000;-2.59228;-0.0101448;
42;51.027000000;-2.55044;-0.0099219;
43;51.228000000;-2.51428;-0.00986957;
44;51.427000000;-2.47768;-0.00964014;
45;51.627000000;-2.44133;-0.00669036;
46;51.827000000;-2.40089;0.00154097;
47;52.028000000;-2.37147;0.00839538;
48;52.227000000;-2.33625;0.0161034;
49;52.427000000;-2.3034;0.0244516;
50;52.627000000;-2.276;0.0348799;
51;52.827000000;-2.24324;0.0500991;
52;53.027000000;-2.21066;0.0652467;
53;53.227000000;-2.17261;0.082839;
54;53.428000000;-2.1409;0.0985121;
55;53.627000000;-2.11202;0.117237;
56;53.827000000;-2.08507;0.137833;
57;54.027000000;-2.05513;0.1589;
58;54.227000000;-2.02434;0.178572;
59;54.427000000;-1.99645;0.197664;
60;54.627000000;-1.96961;0.220758;
61;54.827000000;-1.94319;0.245142;
62;55.027000000;-1.91213;0.273151;
63;55.227000000;-1.88817;0.292562;
64;55.427000000;-1.86158;0.307452;
65;55.627000000;-1.81755;0.316651;
66;55.827000000;-1.78012;0.315057;
67;56.027000000;-1.74204;0.310459;
68;56.227000000;-1.70702;0.308035;
69;56.427000000;-1.67076;0.308021;
70;56.627000000;-1.63432;0.307896;
71;56.827000000;-1.59235;0.306644;
72;57.027000000;-1.56224;0.305828;
73;57.227000000;-1.52687;0.304857;
74;57.427000000;-1.49084;0.3035;
75;57.627000000;-1.46058;0.301995;
76;57.827000000;-1.41883;0.299602;
77;58.027000000;-1.38294;0.297831;
78;58.227000000;-1.34662;0.296183;
79;58.427000000;-1.31073;0.293896;
80;58.628000000;-1.27483;0.291269;
81;58.827000000;-1.23292;0.288521;
82;59.027000000;-1.20302;0.28623;
83;59.227000000;-1.17301;0.283633;
84;59.427000000;-1.13705;0.280546;
85;59.627000000;-1.10148;0.277788;
86;59.827000000;-1.05955;0.27481;
87;60.027000000;-1.02366;0.272161;
88;60.227000000;-0.987881;0.26946;
89;60.427000000;-0.951861;0.266753;
90;60.627000000;-0.916142;0.264195;
91;60.827000000;-0.880306;0.261792;
92;61.027000000;-0.844182;0.259069;
93;61.227000000;-0.802531;0.255633;
94;61.427000000;-0.772648;0.253302;
95;61.627000000;-0.745735;0.25112;
96;61.827000000;-0.711444;0.249729;
97;62.027000000;-0.681898;0.252988;
98;62.227000000;-0.654409;0.260579;
99;62.427000000;-0.641487;0.265482;
100;62.627000000;-0.625552;0.273416;
101;62.827000000;-0.611731;0.28237;
102;63.027000000;-0.605118;0.287106;
103;63.228000000;-0.603895;0.287986;
104;63.427000000;-0.622355;0.276029;
105;63.627000000;-0.642524;0.2637;
106;63.827000000;-0.673393;0.246364;
107;64.027000000;-0.70547;0.230031;
108;64.227000000;-0.73502;0.215695;
109;64.427000000;-0.750466;0.20846;
110;64.627000000;-0.742807;0.212534;
111;64.827000000;-0.721163;0.222279;
112;65.027000000;-0.70584;0.226082;
113;65.227000000;-0.680229;0.226595;
114;65.428000000;-0.662586;0.221941;
115;65.627000000;-0.641441;0.213006;
116;65.827000000;-0.617994;0.202762;
117;66.027000000;-0.59704;0.195162;
118;66.227000000;-0.566272;0.189174;
119;66.427000000;-0.529549;0.191505;
120;66.627000000;-0.511315;0.19629;
121;66.827000000;-0.48384;0.204527;
122;67.027000000;-0.450871;0.210953;
123;67.227000000;-0.414334;0.211225;
124;67.427000000;-0.377584;0.2067;
125;67.627000000;-0.336355;0.20141;
126;67.827000000;-0.306574;0.198855;
127;68.027000000;-0.276596;0.196268;
128;68.227000000;-0.240782;0.192592;
129;68.427000000;-0.199284;0.188129;
130;68.627000000;-0.163522;0.184184;
131;68.827000000;-0.12747;0.180509;
132;69.028000000;-0.0915734;0.176636;
133;69.229000000;-0.0557138;0.172211;
134;69.428000000;-0.0202259;0.168576;
135;69.627000000;0.0157746;0.165194;
136;69.828000000;0.0573417;0.160305;
137;70.027000000;0.0864537;0.156634;
138;70.227000000;0.121871;0.153005;
139;70.427000000;0.157594;0.148994;
140;70.627000000;0.187092;0.145876;
141;70.827000000;0.228931;0.141664;
142;71.027000000;0.264664;0.137263;
143;71.228000000;0.300098;0.133523;
144;71.427000000;0.335828;0.129843;
145;71.627000000;0.377412;0.124846;
146;71.827000000;0.413171;0.121353;
147;72.027000000;0.443467;0.117755;
148;72.227000000;0.473201;0.113796;
149;72.427000000;0.515198;0.108786;
150;72.627000000;0.551101;0.10363;
151;72.827000000;0.58657;0.0988476;
152;73.027000000;0.622304;0.0943371;
153;73.227000000;0.658009;0.0891657;
154;73.427000000;0.693445;0.0846115;
155;73.627000000;0.729236;0.0801827;
156;73.827000000;0.764766;0.0751784;
157;74.028000000;0.805799;0.0691545;
158;74.227000000;0.835526;0.0653973;
159;74.427000000;0.865321;0.0611462;
160;74.627000000;0.906397;0.0551615;
161;74.827000000;0.942017;0.0503435;
162;75.027000000;0.977631;0.0457796;
163;75.227000000;1.01327;0.0413393;
164;75.427000000;1.04904;0.0366511;
165;75.627000000;1.08475;0.0316554;
166;75.827000000;1.1239;0.0258107;
167;76.027000000;1.15292;0.0238151;
Global plan coords: x;y
-4.1;2.23517e-07
-4.07494;-0.00349862
-4.04995;-0.00372292
-4.02495;-0.00398079
-3.99995;-0.00436074
-3.97495;-0.0047651
-3.94996;-0.00523659
-3.92496;-0.00570809
-3.89997;-0.00617043
-3.87497;-0.00659005
-3.84997;-0.00673501
-3.82497;-0.00683571
-3.79997;-0.00676858
-3.77497;-0.00666024
-3.74997;-0.00624978
-3.72498;-0.00584694
-3.69998;-0.00544716
-3.67498;-0.00504738
-3.64999;-0.00473153
-3.62499;-0.0044172
-3.59999;-0.00415932
-3.57499;-0.00390145
-3.54999;-0.00368325
-3.52499;-0.00346505
-3.49999;-0.00327431
-3.47499;-0.0030851
-3.44999;-0.00291726
-3.425;-0.00274941
-3.4;-0.00259682
-3.375;-0.00244576
-3.35;-0.00230538
-3.325;-0.00216805
-3.3;-0.00202309
-3.275;-0.00188576
-3.25;-0.00176369
-3.225;-0.00164773
-3.2;-0.00154397
-3.175;-0.00144478
-3.15;-0.00135628
-3.125;-0.00127236
-3.1;-0.00119607
-3.075;-0.00112282
-3.05;-0.00105721
-3.025;-0.00099465
-3;-0.000936666
-2.975;-0.000881734
-2.95;-0.00083138
-2.925;-0.000784078
-2.9;-0.000739828
-2.875;-0.000698629
-2.85;-0.000660482
-2.825;-0.000622335
-2.8;-0.000588766
-2.775;-0.000556722
-2.75;-0.000526205
-2.725;-0.000497213
-2.7;-0.000471273
-2.675;-0.000445333
-2.65;-0.000422445
-2.625;-0.000399557
-2.6;-0.000378194
-2.575;-0.000358358
-2.55;-0.000340047
-2.525;-0.000321737
-2.5;-0.000304952
-2.475;-0.000288168
-2.45;-0.000274435
-2.425;-0.000259176
-2.4;-0.000246969
-2.375;-0.000233236
-2.35;-0.000221029
-2.325;-0.000210348
-2.3;-0.000199667
-2.275;-0.000188985
-2.25;-0.00017983
-2.225;-0.000170675
-2.2;-0.00016152
-2.175;-0.00015389
-2.15;-0.000146261
-2.125;-0.000138631
-2.1;-0.000131002
-2.075;-0.000124899
-2.05;-0.000118795
-2.025;-0.000112692
-2;-0.000106588
-1.975;-0.000100484
-1.95;-9.59069e-05
-1.925;-9.13292e-05
-1.9;-8.67516e-05
-1.875;-8.21739e-05
-1.85;-7.75963e-05
-1.825;-7.45446e-05
-1.8;-6.99669e-05
-1.775;-6.69152e-05
-1.75;-6.38634e-05
-1.725;-6.08116e-05
-1.7;-5.77599e-05
-1.675;-5.47081e-05
-1.65;-5.16564e-05
-1.625;-4.86046e-05
-1.6;-4.70787e-05
-1.575;-4.4027e-05
-1.55;-4.25011e-05
-1.525;-3.94493e-05
-1.5;-3.79235e-05
-1.475;-3.48717e-05
-1.45;-3.33458e-05
-1.425;-3.18199e-05
-1.4;-3.02941e-05
-1.375;-2.87682e-05
-1.35;-2.72423e-05
-1.325;-2.57164e-05
-1.3;-2.41905e-05
-1.275;-2.41905e-05
-1.25;-2.26647e-05
-1.225;-2.11388e-05
-1.2;-1.96129e-05
-1.175;-1.96129e-05
-1.15;-1.8087e-05
-1.125;-1.65612e-05
-1.1;-1.65612e-05
-1.075;-1.50353e-05
-1.05;-1.50353e-05
-1.025;-1.35094e-05
-1;-1.35094e-05
-0.975;-1.19835e-05
-0.95;-1.19835e-05
-0.925;-1.04576e-05
-0.9;-1.04576e-05
-0.875;-1.04576e-05
-0.85;-8.93176e-06
-0.825;-8.93176e-06
-0.8;-8.93176e-06
-0.775;-8.93176e-06
-0.75;-7.40588e-06
-0.725;-7.40588e-06
-0.7;-7.40588e-06
-0.675;-5.88e-06
-0.65;-5.88e-06
-0.625;-5.88e-06
-0.6;-5.88e-06
-0.575;-5.88e-06
-0.55;-4.35412e-06
-0.525;-4.35412e-06
-0.5;-4.35412e-06
-0.475;-4.35412e-06
-0.45;-4.35412e-06
-0.425;-4.35412e-06
-0.4;-2.82824e-06
-0.375;-2.82824e-06
-0.35;-2.82824e-06
-0.325;-2.82824e-06
-0.3;-2.82824e-06
-0.275;-2.82824e-06
-0.25;-2.82824e-06
-0.225;-1.30236e-06
-0.2;-1.30236e-06
-0.175;-1.30236e-06
-0.15;-1.30236e-06
-0.125;-1.30236e-06
-0.0999998;-1.30236e-06
-0.0749998;-1.30236e-06
-0.0499998;-1.30236e-06
-0.0249998;-1.30236e-06
2.23517e-07;-1.30236e-06
0.0250002;-1.30236e-06
0.0500002;-1.30236e-06
0.0750002;-1.30236e-06
0.1;-1.30236e-06
0.125;-1.30236e-06
0.15;2.23517e-07
0.175;2.23517e-07
0.2;2.23517e-07
0.225;2.23517e-07
0.25;2.23517e-07
0.275;2.23517e-07
0.3;2.23517e-07
0.325;2.23517e-07
0.35;2.23517e-07
0.375;2.23517e-07
0.4;2.23517e-07
0.425;2.23517e-07
0.45;2.23517e-07
0.475;2.23517e-07
0.5;2.23517e-07
0.525;2.23517e-07
0.55;2.23517e-07
0.575;2.23517e-07
0.6;2.23517e-07
0.625;2.23517e-07
0.65;2.23517e-07
0.675;2.23517e-07
0.7;2.23517e-07
0.725;2.23517e-07
0.75;2.23517e-07
0.775;2.23517e-07
0.8;2.23517e-07
0.825;2.23517e-07
0.85;2.23517e-07
0.875;2.23517e-07
0.9;2.23517e-07
0.95;-0.0499998
