id;time;x_odom;y_odom;
1;42.425000000;-3.99998;5.13435e-05;
2;42.624000000;-3.9766;5.33247e-05;
3;42.824000000;-3.94629;-0.000395855;
4;43.024000000;-3.91665;-0.00100414;
5;43.224000000;-3.87526;-0.000934103;
6;43.424000000;-3.83986;-0.000413177;
7;43.624000000;-3.80424;-0.000580223;
8;43.824000000;-3.76836;-0.000722361;
9;44.024000000;-3.73241;-0.000815298;
10;44.224000000;-3.69658;-0.000726379;
11;44.424000000;-3.66055;-0.0010869;
12;44.624000000;-3.62453;-0.00192957;
13;44.824000000;-3.58871;-0.0028042;
14;45.024000000;-3.55265;-0.00351104;
15;45.224000000;-3.51683;-0.00378991;
16;45.425000000;-3.48087;-0.00420982;
17;45.624000000;-3.43875;-0.00491027;
18;45.825000000;-3.4088;-0.00541746;
19;46.024000000;-3.37286;-0.00607737;
20;46.224000000;-3.33669;-0.00677448;
21;46.424000000;-3.30094;-0.00730999;
22;46.625000000;-3.26504;-0.00772855;
23;46.825000000;-3.23485;-0.00812716;
24;47.024000000;-3.19899;-0.00847616;
25;47.224000000;-3.15703;-0.00893453;
26;47.424000000;-3.12092;-0.00934713;
27;47.624000000;-3.08521;-0.00937338;
28;47.824000000;-3.04912;-0.00943964;
29;48.024000000;-3.01301;-0.00957916;
30;48.225000000;-2.97715;-0.00981779;
31;48.424000000;-2.94109;-0.0102027;
32;48.625000000;-2.89919;-0.010338;
33;48.824000000;-2.86324;-0.0106647;
34;49.024000000;-2.82712;-0.01117;
35;49.224000000;-2.7971;-0.0113808;
36;49.424000000;-2.76715;-0.0115955;
37;49.624000000;-2.73105;-0.0119952;
38;49.824000000;-2.68911;-0.0125209;
39;50.024000000;-2.65334;-0.0128405;
40;50.224000000;-2.61718;-0.0129103;
41;50.424000000;-2.58131;-0.0126132;
42;50.624000000;-2.54542;-0.0118508;
43;50.825000000;-2.50923;-0.0112649;
44;51.024000000;-2.47345;-0.0106605;
45;51.225000000;-2.4375;-0.00976146;
46;51.425000000;-2.39537;-0.00888894;
47;51.624000000;-2.36553;-0.00828767;
48;51.824000000;-2.33554;-0.00754068;
49;52.024000000;-2.29332;-0.00634556;
50;52.224000000;-2.25745;-0.00568493;
51;52.424000000;-2.22145;-0.00483404;
52;52.624000000;-2.18534;-0.00399955;
53;52.824000000;-2.14958;-0.00297662;
54;53.024000000;-2.11342;-0.0020395;
55;53.224000000;-2.07742;-0.00107606;
56;53.425000000;-2.04157;-0.000194665;
57;53.624000000;-2.00519;-0.000364033;
58;53.824000000;-1.96336;-0.00105128;
59;54.024000000;-1.93347;-0.00101043;
60;54.224000000;-1.90325;-0.000791421;
61;54.424000000;-1.86756;-0.00181644;
62;54.624000000;-1.81985;-0.00945817;
63;54.824000000;-1.78296;-0.0178636;
64;55.024000000;-1.75945;-0.0225674;
65;55.224000000;-1.71827;-0.0300594;
66;55.424000000;-1.68287;-0.0362711;
67;55.624000000;-1.64739;-0.0423851;
68;55.824000000;-1.61201;-0.0487472;
