id;time;x_odom;y_odom;
1;2092.630000000;-4.57098;5.01306;
2;2092.830000000;-4.56649;5.01307;
3;2093.031000000;-4.52926;5.013;
4;2093.230000000;-4.49927;5.01265;
5;2093.430000000;-4.46322;5.01169;
6;2093.630000000;-4.43298;5.01047;
7;2093.830000000;-4.39116;5.00838;
8;2094.030000000;-4.35562;5.00614;
9;2094.231000000;-4.32202;5.00364;
10;2094.431000000;-4.28735;5.00096;
11;2094.631000000;-4.24638;4.99782;
12;2094.830000000;-4.21691;4.99556;
13;2095.030000000;-4.18124;4.99294;
14;2095.230000000;-4.15128;4.99077;
15;2095.430000000;-4.10934;4.98774;
16;2095.630000000;-4.07365;4.98527;
17;2095.830000000;-4.03772;4.98286;
18;2096.030000000;-4.00174;4.98047;
19;2096.230000000;-3.96654;4.97819;
20;2096.430000000;-3.92727;4.97569;
21;2096.630000000;-3.89133;4.97345;
22;2096.830000000;-3.86151;4.9716;
23;2097.030000000;-3.8255;4.96932;
24;2097.230000000;-3.78949;4.9668;
25;2097.430000000;-3.75968;4.96456;
26;2097.630000000;-3.71798;4.96118;
27;2097.830000000;-3.68453;4.95828;
28;2098.030000000;-3.6492;4.95489;
29;2098.230000000;-3.61323;4.95099;
30;2098.430000000;-3.57841;4.94678;
31;2098.630000000;-3.54359;4.94194;
32;2098.830000000;-3.50903;4.93653;
33;2099.030000000;-3.46963;4.92969;
34;2099.230000000;-3.44108;4.92419;
35;2099.430000000;-3.41156;4.91793;
36;2099.630000000;-3.37059;4.9084;
37;2099.830000000;-3.33567;4.89933;
38;2100.030000000;-3.30217;4.88966;
39;2100.230000000;-3.26861;4.87915;
40;2100.430000000;-3.23036;4.86613;
41;2100.630000000;-3.19675;4.85368;
42;2100.831000000;-3.16861;4.84246;
43;2101.031000000;-3.14067;4.83059;
44;2101.230000000;-3.10252;4.81298;
45;2101.430000000;-3.07008;4.79669;
46;2101.630000000;-3.0396;4.78022;
47;2101.830000000;-3.00895;4.76244;
48;2102.030000000;-2.97821;4.74322;
49;2102.230000000;-2.94411;4.72008;
50;2102.431000000;-2.91582;4.69931;
51;2102.630000000;-2.88824;4.67756;
52;2102.830000000;-2.86683;4.65967;
53;2103.030000000;-2.84481;4.64032;
54;2103.230000000;-2.81838;4.61579;
55;2103.430000000;-2.78961;4.58731;
56;2103.630000000;-2.76651;4.56288;
57;2103.830000000;-2.74529;4.53905;
58;2104.030000000;-2.72371;4.51335;
59;2104.230000000;-2.7019;4.48585;
60;2104.431000000;-2.67663;4.4522;
61;2104.630000000;-2.65919;4.42748;
62;2104.830000000;-2.64249;4.40237;
63;2105.030000000;-2.62176;4.3691;
64;2105.230000000;-2.60624;4.34241;
65;2105.430000000;-2.58951;4.31208;
66;2105.630000000;-2.57284;4.27981;
67;2105.830000000;-2.55472;4.2417;
68;2106.030000000;-2.54057;4.20917;
69;2106.230000000;-2.52936;4.18152;
70;2106.431000000;-2.51869;4.15326;
71;2106.630000000;-2.50497;4.11347;
72;2106.830000000;-2.49428;4.07886;
73;2107.030000000;-2.48456;4.04401;
74;2107.230000000;-2.47565;4.00896;
75;2107.430000000;-2.46763;3.97382;
76;2107.630000000;-2.46044;3.9386;
77;2107.830000000;-2.45445;3.90554;
78;2108.030000000;-2.44834;3.86676;
79;2108.230000000;-2.44444;3.83817;
80;2108.430000000;-2.44019;3.80216;
81;2108.633000000;-2.43715;3.77238;
82;2108.830000000;-2.43347;3.73043;
83;2109.030000000;-2.43081;3.69438;
84;2109.230000000;-2.42859;3.65854;
85;2109.430000000;-2.42676;3.6224;
86;2109.630000000;-2.4252;3.58187;
87;2109.830000000;-2.42443;3.55192;
88;2110.030000000;-2.42388;3.52295;
89;2110.230000000;-2.42344;3.48123;
90;2110.430000000;-2.42358;3.44524;
91;2110.630000000;-2.42418;3.40909;
92;2110.830000000;-2.42515;3.37308;
93;2111.030000000;-2.4265;3.33708;
94;2111.230000000;-2.42856;3.29508;
95;2111.430000000;-2.43029;3.26508;
96;2111.630000000;-2.43222;3.23518;
97;2111.830000000;-2.43517;3.1933;
98;2112.030000000;-2.4379;3.15742;
99;2112.230000000;-2.44085;3.12156;
100;2112.430000000;-2.44397;3.0857;
101;2112.630000000;-2.44767;3.04398;
102;2112.830000000;-2.45032;3.01537;
103;2113.031000000;-2.45305;2.98548;
104;2113.230000000;-2.45703;2.93793;
105;2113.430000000;-2.45941;2.90797;
106;2113.630000000;-2.46212;2.87213;
107;2113.830000000;-2.46462;2.83639;
108;2114.030000000;-2.46696;2.80049;
109;2114.230000000;-2.46925;2.75871;
110;2114.430000000;-2.47065;2.72882;
111;2114.630000000;-2.47227;2.69282;
112;2114.830000000;-2.4734;2.66285;
113;2115.030000000;-2.47465;2.61703;
114;2115.230000000;-2.4751;2.59291;
115;2115.430000000;-2.47525;2.55113;
116;2115.630000000;-2.47476;2.51544;
117;2115.830000000;-2.47371;2.47943;
118;2116.030000000;-2.47213;2.44391;
119;2116.230000000;-2.46977;2.40369;
120;2116.431000000;-2.46718;2.36768;
121;2116.630000000;-2.46451;2.33796;
122;2116.830000000;-2.46146;2.30824;
123;2117.030000000;-2.45648;2.26654;
124;2117.230000000;-2.45159;2.23152;
125;2117.430000000;-2.44628;2.19761;
126;2117.631000000;-2.44;2.16217;
127;2117.830000000;-2.43301;2.12718;
128;2118.030000000;-2.42524;2.09245;
129;2118.230000000;-2.41578;2.05422;
130;2118.430000000;-2.40811;2.02535;
131;2118.630000000;-2.39996;1.9966;
132;2118.830000000;-2.38972;1.96336;
133;2119.030000000;-2.37654;1.92363;
134;2119.230000000;-2.36443;1.88996;
135;2119.430000000;-2.35162;1.85659;
136;2119.631000000;-2.33866;1.82448;
137;2119.830000000;-2.32477;1.79222;
138;2120.030000000;-2.31041;1.76056;
139;2120.230000000;-2.29314;1.72384;
140;2120.430000000;-2.27998;1.69704;
141;2120.630000000;-2.26437;1.66633;
142;2120.830000000;-2.24753;1.63442;
143;2121.030000000;-2.23128;1.60443;
144;2121.230000000;-2.2139;1.57325;
145;2121.430000000;-2.20014;1.54942;
146;2121.630000000;-2.18121;1.51733;
147;2121.830000000;-2.16298;1.48714;
148;2122.030000000;-2.14455;1.45731;
149;2122.230000000;-2.12577;1.4269;
150;2122.430000000;-2.1083;1.39861;
151;2122.631000000;-2.08994;1.36875;
152;2122.830000000;-2.07127;1.33812;
153;2123.030000000;-2.05337;1.30855;
154;2123.231000000;-2.03327;1.27488;
155;2123.430000000;-2.01897;1.25045;
156;2123.630000000;-2.00144;1.22043;
157;2123.830000000;-1.9863;1.19429;
158;2124.030000000;-1.96637;1.15969;
159;2124.230000000;-1.94854;1.12844;
160;2124.430000000;-1.93175;1.09833;
161;2124.630000000;-1.91484;1.0673;
162;2124.831000000;-1.89805;1.0354;
163;2125.030000000;-1.87912;0.998104;
164;2125.230000000;-1.86613;0.972046;
165;2125.430000000;-1.853;0.944944;
166;2125.630000000;-1.83524;0.906582;
167;2125.830000000;-1.82141;0.875336;
168;2126.030000000;-1.80741;0.841986;
169;2126.230000000;-1.79416;0.80827;
170;2126.430000000;-1.7799;0.769483;
171;2126.630000000;-1.77048;0.740596;
172;2126.830000000;-1.7621;0.71154;
173;2127.030000000;-1.75188;0.670464;
174;2127.230000000;-1.74486;0.636623;
175;2127.430000000;-1.73885;0.602104;
176;2127.630000000;-1.73355;0.566138;
177;2127.830000000;-1.72918;0.530358;
178;2128.031000000;-1.72505;0.488487;
179;2128.230000000;-1.72276;0.458376;
180;2128.430000000;-1.72113;0.429573;
181;2128.630000000;-1.7197;0.388912;
182;2128.830000000;-1.71932;0.352635;
183;2129.031000000;-1.71963;0.316596;
184;2129.230000000;-1.72066;0.280475;
185;2129.430000000;-1.72261;0.23849;
186;2129.630000000;-1.72481;0.202476;
187;2129.830000000;-1.72755;0.166442;
188;2130.030000000;-1.73012;0.136701;
189;2130.230000000;-1.73334;0.103568;
190;2130.430000000;-1.73694;0.0705202;
191;2130.630000000;-1.74016;0.0429903;
192;2130.831000000;-1.74444;0.00850268;
193;2131.030000000;-1.7494;-0.0289933;
194;2131.230000000;-1.75378;-0.0611076;
195;2131.430000000;-1.75849;-0.0968126;
196;2131.630000000;-1.76313;-0.132399;
197;2131.830000000;-1.7674;-0.166736;
198;2132.030000000;-1.77209;-0.208203;
199;2132.230000000;-1.77503;-0.238041;
200;2132.430000000;-1.77753;-0.26786;
201;2132.631000000;-1.77991;-0.302657;
202;2132.830000000;-1.78213;-0.349964;
203;2133.030000000;-1.78285;-0.385857;
204;2133.230000000;-1.78273;-0.415265;
205;2133.430000000;-1.78187;-0.450113;
206;2133.631000000;-1.78003;-0.486015;
207;2133.830000000;-1.77724;-0.521492;
208;2134.031000000;-1.77344;-0.557162;
209;2134.231000000;-1.76781;-0.598454;
210;2134.430000000;-1.76199;-0.63282;
211;2134.630000000;-1.75631;-0.661643;
212;2134.830000000;-1.74886;-0.695004;
213;2135.030000000;-1.74036;-0.729257;
214;2135.230000000;-1.7327;-0.757011;
215;2135.430000000;-1.721;-0.796351;
216;2135.631000000;-1.71046;-0.828745;
217;2135.830000000;-1.69867;-0.861689;
218;2136.030000000;-1.68597;-0.895265;
219;2136.230000000;-1.67272;-0.928653;
220;2136.430000000;-1.65886;-0.961535;
221;2136.630000000;-1.64253;-0.998083;
222;2136.830000000;-1.63068;-1.02329;
223;2137.030000000;-1.61846;-1.04819;
224;2137.230000000;-1.60074;-1.08304;
225;2137.431000000;-1.58416;-1.11505;
226;2137.630000000;-1.56827;-1.14554;
227;2137.830000000;-1.55164;-1.1775;
228;2138.030000000;-1.53235;-1.21473;
229;2138.231000000;-1.51891;-1.24073;
230;2138.430000000;-1.50237;-1.27278;
231;2138.630000000;-1.48866;-1.29972;
232;2138.831000000;-1.47007;-1.33713;
233;2139.030000000;-1.45437;-1.36972;
234;2139.230000000;-1.43911;-1.40234;
235;2139.430000000;-1.42444;-1.43422;
236;2139.630000000;-1.40966;-1.46726;
237;2139.830000000;-1.39334;-1.50483;
238;2140.030000000;-1.38022;-1.5359;
239;2140.230000000;-1.36763;-1.56696;
240;2140.431000000;-1.35561;-1.59787;
241;2140.630000000;-1.34539;-1.62542;
242;2140.830000000;-1.33334;-1.65954;
243;2141.030000000;-1.32407;-1.68696;
244;2141.230000000;-1.30996;-1.73105;
245;2141.430000000;-1.30129;-1.7599;
246;2141.630000000;-1.2918;-1.79305;
247;2141.830000000;-1.2827;-1.8267;
248;2142.030000000;-1.2739;-1.86163;
249;2142.230000000;-1.26582;-1.89556;
250;2142.430000000;-1.25686;-1.93604;
251;2142.630000000;-1.25097;-1.9644;
252;2142.830000000;-1.24506;-1.99395;
253;2143.030000000;-1.23838;-2.02952;
254;2143.230000000;-1.23126;-2.07071;
255;2143.430000000;-1.22555;-2.1064;
256;2143.630000000;-1.21942;-2.14793;
257;2143.830000000;-1.21535;-2.17764;
258;2144.030000000;-1.21076;-2.21352;
259;2144.230000000;-1.20722;-2.24346;
260;2144.430000000;-1.2033;-2.27914;
261;2144.630000000;-1.19921;-2.32112;
262;2144.830000000;-1.19618;-2.35702;
263;2145.030000000;-1.19356;-2.39289;
264;2145.230000000;-1.19129;-2.42904;
265;2145.435000000;-1.18936;-2.46492;
266;2145.630000000;-1.18759;-2.50474;
267;2145.830000000;-1.18658;-2.53286;
268;2146.033000000;-1.1856;-2.56106;
269;2146.230000000;-1.18439;-2.6009;
