id;time;x_odom;y_odom;
1;2092.632000000;-4.57098;5.01306;
2;2092.832000000;-4.57048;5.01307;
3;2093.032000000;-4.54808;5.01305;
4;2093.232000000;-4.51161;5.0116;
5;2093.432000000;-4.48292;5.00768;
6;2093.632000000;-4.45536;5.00171;
7;2093.832000000;-4.43061;4.99503;
8;2094.032000000;-4.40757;4.98786;
9;2094.232000000;-4.37532;4.97613;
10;2094.432000000;-4.35082;4.96607;
11;2094.632000000;-4.32656;4.95539;
12;2094.832000000;-4.30198;4.94452;
13;2095.032000000;-4.27335;4.93192;
14;2095.232000000;-4.25311;4.92343;
15;2095.432000000;-4.23295;4.91554;
16;2095.632000000;-4.20405;4.90634;
17;2095.832000000;-4.17879;4.90004;
18;2096.032000000;-4.15313;4.89509;
19;2096.232000000;-4.12708;4.89112;
20;2096.432000000;-4.10171;4.88774;
21;2096.632000000;-4.07539;4.88426;
22;2096.832000000;-4.04895;4.88048;
23;2097.033000000;-4.0229;4.87684;
24;2097.232000000;-3.99244;4.87251;
25;2097.432000000;-3.9705;4.8691;
26;2097.632000000;-3.94417;4.86502;
27;2097.832000000;-3.91836;4.8614;
28;2098.032000000;-3.89685;4.85875;
29;2098.232000000;-3.8664;4.85575;
30;2098.432000000;-3.83989;4.85381;
31;2098.632000000;-3.81341;4.85241;
32;2098.832000000;-3.78718;4.85147;
33;2099.032000000;-3.75633;4.85078;
34;2099.232000000;-3.73399;4.85049;
35;2099.432000000;-3.71176;4.85034;
36;2099.632000000;-3.68101;4.85026;
37;2099.832000000;-3.65441;4.85026;
38;2100.032000000;-3.6276;4.85026;
39;2100.233000000;-3.60102;4.85025;
40;2100.433000000;-3.57459;4.85025;
41;2100.632000000;-3.54796;4.85025;
42;2100.832000000;-3.51673;4.85024;
43;2101.032000000;-3.49461;4.85024;
44;2101.232000000;-3.47253;4.85023;
45;2101.432000000;-3.4415;4.85023;
46;2101.632000000;-3.41458;4.8502;
47;2101.832000000;-3.38768;4.84948;
48;2102.032000000;-3.36068;4.84805;
49;2102.233000000;-3.32991;4.84552;
50;2102.432000000;-3.30384;4.84283;
51;2102.632000000;-3.27799;4.83954;
52;2102.832000000;-3.2379;4.83323;
53;2103.032000000;-3.20233;4.8265;
54;2103.232000000;-3.16683;4.81887;
55;2103.432000000;-3.13187;4.81027;
56;2103.632000000;-3.09703;4.80072;
57;2103.832000000;-3.06235;4.79016;
58;2104.032000000;-3.02854;4.77888;
59;2104.232000000;-2.98895;4.76433;
60;2104.432000000;-2.96076;4.75318;
61;2104.632000000;-2.93303;4.74161;
62;2104.832000000;-2.89464;4.72415;
63;2105.032000000;-2.86248;4.70781;
64;2105.232000000;-2.83122;4.68947;
65;2105.433000000;-2.80116;4.6689;
66;2105.632000000;-2.76892;4.64322;
67;2105.832000000;-2.74185;4.61823;
68;2106.032000000;-2.72156;4.59705;
69;2106.232000000;-2.69869;4.56992;
70;2106.433000000;-2.67734;4.54105;
71;2106.633000000;-2.66127;4.51659;
72;2106.832000000;-2.63696;4.47464;
73;2107.032000000;-2.62304;4.44699;
74;2107.232000000;-2.60855;4.41519;
75;2107.432000000;-2.59478;4.38159;
76;2107.633000000;-2.58229;4.3477;
77;2107.832000000;-2.56941;4.30743;
78;2108.032000000;-2.56007;4.27389;
79;2108.232000000;-2.55247;4.24549;
80;2108.432000000;-2.5449;4.21682;
81;2108.632000000;-2.53448;4.17637;
82;2108.833000000;-2.52545;4.14152;
83;2109.032000000;-2.51663;4.10687;
84;2109.232000000;-2.50857;4.07294;
85;2109.432000000;-2.50115;4.03745;
86;2109.632000000;-2.49377;3.99618;
87;2109.832000000;-2.48921;3.96624;
88;2110.032000000;-2.48506;3.93634;
89;2110.232000000;-2.47953;3.89494;
90;2110.432000000;-2.47506;3.85908;
91;2110.632000000;-2.47095;3.82453;
92;2110.832000000;-2.46689;3.78899;
93;2111.032000000;-2.46233;3.74718;
94;2111.232000000;-2.45897;3.71738;
95;2111.432000000;-2.45551;3.68767;
96;2111.632000000;-2.45045;3.64599;
97;2111.832000000;-2.44564;3.61048;
98;2112.032000000;-2.44043;3.57503;
99;2112.232000000;-2.43504;3.54007;
100;2112.432000000;-2.42949;3.50556;
101;2112.632000000;-2.42386;3.47069;
102;2112.832000000;-2.41817;3.43499;
103;2113.033000000;-2.41258;3.39957;
104;2113.233000000;-2.40618;3.35813;
105;2113.432000000;-2.4019;3.32986;
106;2113.632000000;-2.39744;3.30023;
107;2113.833000000;-2.39072;3.25898;
108;2114.032000000;-2.38541;3.22459;
109;2114.232000000;-2.38067;3.18896;
110;2114.433000000;-2.37656;3.1531;
111;2114.632000000;-2.37311;3.11693;
112;2114.832000000;-2.36993;3.0764;
113;2115.032000000;-2.36757;3.04193;
114;2115.232000000;-2.36563;3.01198;
115;2115.432000000;-2.36338;2.97728;
116;2115.632000000;-2.36137;2.942;
117;2115.833000000;-2.35989;2.90608;
118;2116.032000000;-2.35815;2.86998;
119;2116.233000000;-2.35673;2.83531;
120;2116.432000000;-2.3553;2.80513;
121;2116.632000000;-2.35261;2.76362;
122;2116.832000000;-2.34961;2.72782;
123;2117.032000000;-2.34597;2.69196;
124;2117.232000000;-2.34164;2.65669;
125;2117.432000000;-2.33564;2.61519;
126;2117.632000000;-2.33095;2.58551;
127;2117.832000000;-2.32578;2.55621;
128;2118.032000000;-2.31664;2.5092;
129;2118.232000000;-2.31067;2.47995;
130;2118.432000000;-2.30265;2.44552;
131;2118.632000000;-2.29367;2.41119;
132;2118.832000000;-2.28392;2.3768;
133;2119.032000000;-2.27295;2.3435;
134;2119.233000000;-2.26047;2.30991;
135;2119.432000000;-2.24519;2.27214;
136;2119.632000000;-2.23462;2.24582;
137;2119.832000000;-2.22403;2.2193;
138;2120.032000000;-2.21036;2.18419;
139;2120.232000000;-2.19901;2.15373;
140;2120.432000000;-2.18871;2.12541;
141;2120.632000000;-2.17776;2.0943;
142;2120.832000000;-2.16718;2.0632;
143;2121.033000000;-2.155;2.02729;
144;2121.232000000;-2.1446;1.9953;
145;2121.432000000;-2.13681;1.97045;
146;2121.632000000;-2.12946;1.94593;
147;2121.832000000;-2.12021;1.91125;
148;2122.032000000;-2.11358;1.88402;
149;2122.232000000;-2.10616;1.85361;
150;2122.433000000;-2.09929;1.82504;
151;2122.632000000;-2.09075;1.79027;
152;2122.832000000;-2.08512;1.76768;
153;2123.032000000;-2.0789;1.74382;
154;2123.232000000;-2.07068;1.71327;
155;2123.432000000;-2.06262;1.68404;
156;2123.632000000;-2.05499;1.65761;
157;2123.832000000;-2.04627;1.62847;
158;2124.032000000;-2.03684;1.59837;
159;2124.232000000;-2.02879;1.57324;
160;2124.432000000;-2.02188;1.5522;
161;2124.632000000;-2.01475;1.53095;
162;2124.832000000;-2.00322;1.49755;
163;2125.033000000;-1.99592;1.47711;
164;2125.232000000;-1.98684;1.45229;
165;2125.433000000;-1.97722;1.42753;
166;2125.632000000;-1.96726;1.40247;
167;2125.832000000;-1.95739;1.3782;
168;2126.032000000;-1.94592;1.34975;
169;2126.232000000;-1.93724;1.32912;
170;2126.432000000;-1.92849;1.30841;
171;2126.633000000;-1.9182;1.28436;
172;2126.832000000;-1.90794;1.26012;
173;2127.032000000;-1.89595;1.23134;
174;2127.232000000;-1.88622;1.20627;
175;2127.432000000;-1.877;1.18111;
176;2127.632000000;-1.86819;1.15553;
177;2127.832000000;-1.86012;1.12925;
178;2128.032000000;-1.85196;1.10129;
179;2128.232000000;-1.84453;1.07374;
180;2128.432000000;-1.83587;1.03997;
181;2128.632000000;-1.83053;1.01841;
182;2128.832000000;-1.82552;0.996768;
183;2129.032000000;-1.81804;0.961932;
184;2129.233000000;-1.81271;0.934268;
185;2129.432000000;-1.80868;0.91053;
186;2129.632000000;-1.80439;0.882712;
187;2129.832000000;-1.80056;0.854385;
188;2130.033000000;-1.79712;0.825671;
189;2130.232000000;-1.79401;0.796816;
190;2130.432000000;-1.79083;0.762358;
191;2130.632000000;-1.7886;0.739426;
192;2130.832000000;-1.78582;0.71507;
193;2131.032000000;-1.78032;0.672703;
194;2131.232000000;-1.77536;0.643164;
195;2131.433000000;-1.76827;0.608314;
196;2131.632000000;-1.7593;0.57405;
197;2131.832000000;-1.7484;0.539883;
198;2132.032000000;-1.73615;0.506426;
199;2132.232000000;-1.72004;0.468396;
200;2132.432000000;-1.7053;0.437306;
201;2132.632000000;-1.69151;0.410666;
202;2132.832000000;-1.67687;0.384844;
203;2133.032000000;-1.65507;0.349596;
204;2133.232000000;-1.63518;0.319466;
205;2133.432000000;-1.61566;0.291052;
206;2133.632000000;-1.5963;0.264471;
207;2133.833000000;-1.57821;0.241096;
208;2134.033000000;-1.55987;0.218526;
209;2134.232000000;-1.53935;0.194879;
210;2134.432000000;-1.52432;0.178448;
211;2134.632000000;-1.5058;0.158534;
212;2134.832000000;-1.48769;0.138798;
213;2135.032000000;-1.47013;0.119063;
214;2135.233000000;-1.45562;0.101972;
215;2135.432000000;-1.43606;0.0773366;
216;2135.632000000;-1.42013;0.055741;
217;2135.832000000;-1.40505;0.0336178;
218;2136.032000000;-1.39091;0.0103696;
219;2136.232000000;-1.37634;-0.0180434;
220;2136.432000000;-1.36767;-0.0394311;
221;2136.632000000;-1.3608;-0.0610347;
222;2136.832000000;-1.35339;-0.0914832;
223;2137.032000000;-1.34943;-0.118373;
224;2137.232000000;-1.34751;-0.145709;
225;2137.432000000;-1.34753;-0.172929;
226;2137.632000000;-1.34991;-0.204764;
227;2137.832000000;-1.35312;-0.227428;
228;2138.032000000;-1.35801;-0.253716;
229;2138.232000000;-1.36291;-0.275741;
230;2138.432000000;-1.37104;-0.306282;
231;2138.632000000;-1.37838;-0.331981;
232;2138.832000000;-1.38605;-0.357004;
233;2139.032000000;-1.39473;-0.38573;
234;2139.232000000;-1.40028;-0.407032;
235;2139.432000000;-1.40584;-0.432808;
236;2139.633000000;-1.40956;-0.454164;
237;2139.832000000;-1.41374;-0.484391;
238;2140.032000000;-1.41655;-0.510729;
239;2140.233000000;-1.41872;-0.537035;
240;2140.432000000;-1.42033;-0.563313;
