id;time;x_odom;y_odom;
1;2092.635000000;-4.57098;5.01306;
2;2092.835000000;-4.55948;5.01305;
3;2093.035000000;-4.52032;5.01094;
4;2093.236000000;-4.5007;5.00856;
5;2093.435000000;-4.4611;5.00233;
6;2093.636000000;-4.4289;4.99712;
7;2093.835000000;-4.39526;4.98969;
8;2094.035000000;-4.36053;4.97845;
9;2094.235000000;-4.32246;4.96502;
10;2094.435000000;-4.29395;4.95618;
11;2094.636000000;-4.25963;4.9471;
12;2094.835000000;-4.22497;4.9404;
13;2095.035000000;-4.19755;4.93658;
14;2095.235000000;-4.16193;4.93142;
15;2095.436000000;-4.12045;4.92442;
16;2095.635000000;-4.08692;4.9184;
17;2095.835000000;-4.0527;4.91421;
18;2096.036000000;-4.01707;4.91136;
19;2096.235000000;-3.97623;4.91002;
20;2096.435000000;-3.9461;4.90906;
21;2096.635000000;-3.91575;4.90783;
22;2096.835000000;-3.87915;4.90546;
23;2097.035000000;-3.8372;4.90151;
24;2097.235000000;-3.8013;4.89694;
25;2097.435000000;-3.76482;4.89013;
26;2097.635000000;-3.72985;4.88193;
27;2097.835000000;-3.68908;4.87247;
28;2098.035000000;-3.65987;4.86534;
29;2098.235000000;-3.62719;4.85668;
30;2098.436000000;-3.60295;4.8494;
31;2098.635000000;-3.58003;4.8425;
32;2098.835000000;-3.55942;4.83622;
33;2099.035000000;-3.52918;4.82592;
34;2099.235000000;-3.49668;4.81449;
35;2099.435000000;-3.46502;4.80368;
36;2099.635000000;-3.43206;4.79269;
37;2099.835000000;-3.39818;4.78042;
38;2100.035000000;-3.35869;4.7648;
39;2100.235000000;-3.32632;4.74857;
40;2100.435000000;-3.30063;4.73185;
41;2100.635000000;-3.27671;4.71388;
42;2100.835000000;-3.24535;4.68576;
43;2101.036000000;-3.22469;4.66291;
44;2101.235000000;-3.20722;4.64107;
45;2101.435000000;-3.18553;4.61236;
46;2101.635000000;-3.16056;4.57855;
47;2101.836000000;-3.14302;4.55418;
48;2102.036000000;-3.12578;4.52934;
49;2102.236000000;-3.09925;4.4893;
50;2102.435000000;-3.08037;4.4591;
51;2102.635000000;-3.06351;4.42999;
52;2102.835000000;-3.04866;4.40389;
53;2103.035000000;-3.03105;4.37247;
54;2103.235000000;-3.01391;4.34077;
55;2103.435000000;-2.99718;4.30883;
56;2103.635000000;-2.9783;4.2713;
57;2103.835000000;-2.96515;4.24433;
58;2104.035000000;-2.95234;4.21748;
59;2104.235000000;-2.93466;4.17994;
60;2104.435000000;-2.91962;4.14792;
61;2104.635000000;-2.90489;4.11484;
62;2104.835000000;-2.89095;4.08142;
63;2105.035000000;-2.87769;4.04809;
64;2105.235000000;-2.8645;4.01451;
65;2105.435000000;-2.85151;3.9808;
66;2105.636000000;-2.83898;3.94716;
67;2105.835000000;-2.82484;3.90741;
68;2106.035000000;-2.81505;3.8789;
69;2106.235000000;-2.80605;3.84976;
70;2106.435000000;-2.79511;3.80536;
71;2106.636000000;-2.78976;3.78247;
72;2106.836000000;-2.77944;3.74159;
73;2107.035000000;-2.77089;3.70651;
74;2107.235000000;-2.76261;3.67153;
75;2107.435000000;-2.75452;3.63647;
76;2107.635000000;-2.74649;3.60142;
77;2107.835000000;-2.73827;3.56648;
78;2108.035000000;-2.73001;3.5318;
