id;time;x_odom;y_odom;
1;147.159000000;8.67102;-12.2639;
2;147.359000000;8.66269;-12.2639;
3;147.559000000;8.63565;-12.264;
4;147.759000000;8.60447;-12.2644;
5;147.959000000;8.57797;-12.265;
6;148.159000000;8.55601;-12.2655;
7;148.359000000;8.53398;-12.2657;
8;148.559000000;8.50756;-12.2662;
9;148.759000000;8.47696;-12.267;
10;148.959000000;8.45074;-12.2676;
11;149.160000000;8.42401;-12.2681;
12;149.359000000;8.39772;-12.2686;
13;149.560000000;8.37165;-12.269;
14;149.759000000;8.341;-12.2696;
15;149.959000000;8.31822;-12.2709;
16;150.159000000;8.29116;-12.2731;
17;150.359000000;8.26467;-12.2755;
18;150.559000000;8.2382;-12.2785;
19;150.759000000;8.21626;-12.2817;
20;150.959000000;8.1856;-12.2866;
21;151.159000000;8.15956;-12.2914;
22;151.359000000;8.13349;-12.2966;
23;151.559000000;8.10758;-12.3018;
24;151.759000000;8.08148;-12.307;
25;151.959000000;8.05541;-12.3123;
26;152.159000000;8.02522;-12.3183;
27;152.359000000;8.00385;-12.3223;
28;152.559000000;7.98248;-12.3261;
29;152.759000000;7.95224;-12.3311;
30;152.959000000;7.92599;-12.3353;
31;153.159000000;7.89988;-12.3391;
32;153.359000000;7.87372;-12.3425;
33;153.559000000;7.84312;-12.3462;
34;153.759000000;7.82102;-12.3488;
35;153.959000000;7.79469;-12.3515;
36;154.159000000;7.76845;-12.3539;
37;154.359000000;7.74212;-12.3561;
38;154.559000000;7.71554;-12.358;
39;154.759000000;7.69399;-12.3594;
40;154.959000000;7.66381;-12.3615;
41;155.159000000;7.63749;-12.3639;
42;155.359000000;7.61099;-12.3666;
43;155.560000000;7.58524;-12.3688;
44;155.759000000;7.55927;-12.371;
45;155.959000000;7.52859;-12.3733;
46;156.159000000;7.50623;-12.3747;
47;156.359000000;7.48309;-12.376;
48;156.559000000;7.45677;-12.3771;
49;156.760000000;7.42585;-12.3785;
50;156.961000000;7.39913;-12.3795;
51;157.159000000;7.37267;-12.3803;
52;157.359000000;7.3464;-12.3807;
53;157.559000000;7.31541;-12.381;
54;157.759000000;7.28646;-12.3815;
55;157.959000000;7.26384;-12.3819;
56;158.159000000;7.24113;-12.3823;
57;158.359000000;7.21016;-12.3828;
58;158.559000000;7.1834;-12.383;
59;158.759000000;7.15703;-12.3829;
60;158.959000000;7.13011;-12.3829;
61;159.160000000;7.10287;-12.383;
62;159.359000000;7.07564;-12.3828;
63;159.559000000;7.04923;-12.3828;
64;159.759000000;7.01836;-12.3829;
65;159.959000000;6.99545;-12.3831;
66;160.159000000;6.96862;-12.3833;
67;160.359000000;6.94661;-12.3833;
68;160.559000000;6.91549;-12.3834;
69;160.759000000;6.88849;-12.3832;
70;160.959000000;6.86178;-12.3829;
71;161.159000000;6.83526;-12.3827;
72;161.359000000;6.80423;-12.3828;
73;161.559000000;6.78143;-12.3831;
74;161.759000000;6.7592;-12.3832;
75;161.959000000;6.72815;-12.3834;
76;162.160000000;6.70104;-12.3837;
77;162.359000000;6.67402;-12.3842;
78;162.559000000;6.64731;-12.3848;
79;162.759000000;6.61644;-12.3854;
80;162.959000000;6.58928;-12.3859;
