id;time;x_odom;y_odom;
1;147.163000000;8.67102;-12.2639;
2;147.363000000;8.65284;-12.2639;
3;147.563000000;8.61841;-12.2629;
4;147.763000000;8.58508;-12.2592;
5;147.963000000;8.55949;-12.2539;
6;148.164000000;8.53245;-12.2462;
7;148.363000000;8.50058;-12.234;
8;148.564000000;8.46583;-12.2167;
9;148.763000000;8.43763;-12.1988;
10;148.963000000;8.41075;-12.1784;
11;149.163000000;8.38491;-12.1555;
12;149.363000000;8.36073;-12.1303;
13;149.563000000;8.33965;-12.1056;
14;149.763000000;8.3199;-12.0791;
15;149.963000000;8.29921;-12.0478;
16;150.163000000;8.28638;-12.0258;
17;150.363000000;8.27238;-11.9997;
18;150.563000000;8.25737;-11.9696;
19;150.764000000;8.24265;-11.9365;
20;150.963000000;8.23087;-11.9069;
21;151.163000000;8.22116;-11.8797;
22;151.363000000;8.21142;-11.8494;
23;151.564000000;8.20307;-11.8194;
24;151.763000000;8.19428;-11.7838;
25;151.963000000;8.18826;-11.7556;
26;152.163000000;8.18337;-11.7301;
27;152.363000000;8.17662;-11.6898;
28;152.564000000;8.17151;-11.6555;
29;152.767000000;8.1677;-11.6245;
30;152.963000000;8.16388;-11.5917;
31;153.163000000;8.1601;-11.5596;
32;153.363000000;8.15713;-11.5317;
33;153.564000000;8.15397;-11.5;
34;153.763000000;8.15015;-11.4607;
35;153.963000000;8.14731;-11.4336;
36;154.163000000;8.14414;-11.4036;
37;154.363000000;8.14083;-11.3742;
38;154.563000000;8.13808;-11.351;
39;154.765000000;8.13429;-11.3184;
40;154.963000000;8.13119;-11.2912;
41;155.163000000;8.12779;-11.262;
42;155.364000000;8.12408;-11.2342;
43;155.563000000;8.11915;-11.2008;
44;155.763000000;8.1157;-11.1786;
45;155.963000000;8.11179;-11.1548;
46;156.163000000;8.10493;-11.1153;
47;156.363000000;8.10069;-11.0924;
48;156.563000000;8.09521;-11.0635;
49;156.763000000;8.08985;-11.0362;
50;156.963000000;8.08465;-11.0097;
51;157.163000000;8.0791;-10.9815;
52;157.365000000;8.07337;-10.952;
53;157.563000000;8.06801;-10.9249;
54;157.763000000;8.06195;-10.8938;
55;157.963000000;8.05784;-10.872;
56;158.164000000;8.05357;-10.8493;
57;158.363000000;8.04847;-10.819;
58;158.563000000;8.04471;-10.793;
59;158.763000000;8.04132;-10.7666;
60;158.963000000;8.03816;-10.7399;
61;159.163000000;8.03488;-10.7094;
62;159.363000000;8.03287;-10.6875;
63;159.564000000;8.03069;-10.6611;
64;159.763000000;8.02919;-10.6388;
65;159.963000000;8.02766;-10.6126;
66;160.163000000;8.02582;-10.5864;
67;160.363000000;8.02352;-10.5555;
68;160.563000000;8.02176;-10.5282;
69;160.763000000;8.01949;-10.5006;
70;160.963000000;8.01677;-10.4737;
71;161.163000000;8.01376;-10.4465;
72;161.363000000;8.00989;-10.4149;
73;161.563000000;8.00657;-10.3899;
74;161.764000000;8.00259;-10.3616;
75;161.963000000;7.99446;-10.314;
76;162.163000000;7.98851;-10.2849;
77;162.363000000;7.9804;-10.2497;
78;162.565000000;7.97176;-10.2148;
79;162.763000000;7.96236;-10.1803;
80;162.963000000;7.95193;-10.1456;
81;163.163000000;7.9406;-10.1113;
82;163.365000000;7.92858;-10.0772;
83;163.563000000;7.91577;-10.0436;
84;163.763000000;7.90181;-10.0102;
85;163.963000000;7.88621;-9.97713;
86;164.163000000;7.86606;-9.94009;
87;164.363000000;7.85021;-9.9142;
88;164.563000000;7.83382;-9.8894;
89;164.764000000;7.80579;-9.85208;
90;164.964000000;7.78629;-9.82946;
91;165.163000000;7.76356;-9.80503;
92;165.363000000;7.74052;-9.78246;
93;165.563000000;7.71913;-9.76317;
94;165.763000000;7.69831;-9.74605;
95;165.963000000;7.67269;-9.72659;
96;166.163000000;7.65093;-9.71091;
97;166.365000000;7.63267;-9.69795;
98;166.564000000;7.61538;-9.6859;
99;166.763000000;7.59016;-9.66799;
100;166.963000000;7.56847;-9.65254;
101;167.163000000;7.54711;-9.63701;
102;167.365000000;7.52629;-9.621;
103;167.563000000;7.50199;-9.60166;
104;167.764000000;7.48429;-9.58742;
105;167.963000000;7.46761;-9.57306;
106;168.163000000;7.44501;-9.55232;
