id;time;x_odom;y_odom;
1;147.361000000;8.6705;-12.2639;
2;147.561000000;8.6565;-12.2644;
3;147.762000000;8.6445;-12.2658;
4;147.961000000;8.62458;-12.273;
5;148.161000000;8.61601;-12.2792;
6;148.361000000;8.61984;-12.2741;
7;148.561000000;8.63194;-12.2476;
8;148.761000000;8.63507;-12.2151;
9;148.961000000;8.62871;-12.1838;
10;149.161000000;8.61643;-12.1532;
11;149.361000000;8.60125;-12.1205;
12;149.561000000;8.58475;-12.0818;
13;149.761000000;8.57074;-12.049;
14;149.961000000;8.5581;-12.0215;
15;150.161000000;8.54377;-11.9885;
16;150.361000000;8.53229;-11.9608;
17;150.562000000;8.51608;-11.922;
18;150.761000000;8.50227;-11.8891;
19;150.961000000;8.48802;-11.8563;
20;151.161000000;8.47315;-11.8234;
21;151.361000000;8.45581;-11.7855;
22;151.561000000;8.44318;-11.7581;
23;151.761000000;8.43082;-11.7309;
24;151.961000000;8.41393;-11.6929;
25;152.161000000;8.39903;-11.6601;
26;152.361000000;8.38378;-11.6275;
27;152.561000000;8.36866;-11.5949;
28;152.763000000;8.35392;-11.5618;
29;152.961000000;8.33992;-11.5285;
30;153.161000000;8.32672;-11.497;
31;153.361000000;8.31107;-11.4645;
32;153.561000000;8.29328;-11.4262;
33;153.761000000;8.28058;-11.3993;
34;153.962000000;8.26533;-11.366;
35;154.162000000;8.25131;-11.3327;
36;154.361000000;8.23898;-11.3055;
37;154.561000000;8.21893;-11.2622;
38;154.761000000;8.20618;-11.236;
39;154.961000000;8.19064;-11.2035;
40;155.161000000;8.17559;-11.171;
41;155.361000000;8.16043;-11.1396;
42;155.561000000;8.14277;-11.1016;
43;155.761000000;8.12952;-11.0742;
44;155.961000000;8.11639;-11.0476;
45;156.161000000;8.09871;-11.0091;
46;156.361000000;8.0869;-10.9739;
47;156.561000000;8.07833;-10.9403;
48;156.761000000;8.06814;-10.9068;
49;156.961000000;8.05533;-10.8739;
50;157.161000000;8.03988;-10.8352;
51;157.361000000;8.02984;-10.8064;
52;157.562000000;8.01934;-10.7718;
53;157.761000000;8.01136;-10.7435;
54;157.961000000;8.00047;-10.7096;
55;158.161000000;7.98731;-10.6701;
56;158.361000000;7.97525;-10.6366;
57;158.561000000;7.96199;-10.6031;
58;158.762000000;7.94845;-10.57;
59;158.961000000;7.93441;-10.5372;
60;159.162000000;7.91759;-10.4986;
61;159.361000000;7.90549;-10.4714;
62;159.561000000;7.89308;-10.444;
63;159.761000000;7.87567;-10.4058;
64;159.961000000;7.86021;-10.3739;
65;160.161000000;7.84411;-10.3418;
66;160.361000000;7.82758;-10.3093;
67;160.561000000;7.80839;-10.2725;
68;160.761000000;7.79374;-10.2465;
69;160.961000000;7.77538;-10.2157;
70;161.161000000;7.75683;-10.1849;
71;161.361000000;7.74128;-10.1592;
72;161.561000000;7.72262;-10.1289;
73;161.762000000;7.70017;-10.0937;
74;161.961000000;7.6807;-10.0634;
75;162.161000000;7.66158;-10.0328;
76;162.361000000;7.64329;-10.0017;
77;162.561000000;7.62551;-9.96994;
78;162.761000000;7.60655;-9.93189;
79;162.961000000;7.5949;-9.90366;
80;163.161000000;7.58542;-9.87428;
81;163.361000000;7.57337;-9.82803;
82;163.561000000;7.56562;-9.79933;
83;163.762000000;7.55559;-9.76476;
84;163.961000000;7.54505;-9.7307;
85;164.162000000;7.53357;-9.69683;
86;164.361000000;7.5217;-9.66279;
87;164.561000000;7.51033;-9.62951;
88;164.761000000;7.49894;-9.59526;
89;164.961000000;7.48617;-9.5552;
90;165.161000000;7.47741;-9.52687;
91;165.361000000;7.47131;-9.50615;
92;165.561000000;7.46156;-9.47168;
93;165.761000000;7.45001;-9.43187;
94;165.961000000;7.44041;-9.3969;
95;166.161000000;7.43224;-9.36136;
96;166.361000000;7.42364;-9.32667;
97;166.561000000;7.41284;-9.28616;
98;166.761000000;7.40528;-9.25721;
99;166.962000000;7.39828;-9.22783;
100;167.161000000;7.38981;-9.18659;
101;167.361000000;7.38306;-9.15126;
102;167.561000000;7.37677;-9.11501;
103;167.761000000;7.37218;-9.07914;
104;167.961000000;7.3686;-9.03716;
105;168.161000000;7.36735;-9.00675;
106;168.362000000;7.36668;-8.97075;
107;168.561000000;7.367;-8.94046;
108;168.761000000;7.36902;-8.89239;
109;168.961000000;7.37128;-8.85617;
110;169.161000000;7.37429;-8.82596;
111;169.361000000;7.3802;-8.79032;
112;169.561000000;7.39074;-8.75448;
113;169.761000000;7.40704;-8.72048;
114;169.962000000;7.43281;-8.68832;
115;170.161000000;7.45339;-8.6711;
116;170.361000000;7.47537;-8.65503;
117;170.561000000;7.50186;-8.63463;
118;170.761000000;7.5196;-8.62127;
119;170.961000000;7.54392;-8.60402;
120;171.161000000;7.57237;-8.58295;
121;171.361000000;7.60099;-8.56106;
122;171.561000000;7.62485;-8.54318;
123;171.761000000;7.63793;-8.53383;
124;171.961000000;7.66092;-8.51652;
125;172.161000000;7.68522;-8.49846;
126;172.361000000;7.72445;-8.47151;
127;172.561000000;7.74935;-8.45459;
128;172.761000000;7.77941;-8.43441;
129;172.962000000;7.80917;-8.41469;
130;173.161000000;7.83932;-8.39469;
131;173.361000000;7.86994;-8.37539;
132;173.561000000;7.90525;-8.35342;
133;173.761000000;7.93086;-8.33721;
134;173.961000000;7.95598;-8.32103;
135;174.161000000;7.99012;-8.29737;
136;174.361000000;8.01973;-8.27652;
137;174.561000000;8.05089;-8.25562;
138;174.761000000;8.08165;-8.2371;
139;174.961000000;8.11262;-8.2184;
140;175.161000000;8.14314;-8.20031;
141;175.361000000;8.17384;-8.18171;
142;175.561000000;8.21212;-8.15924;
143;175.761000000;8.23841;-8.14167;
144;175.961000000;8.26094;-8.12012;
145;176.161000000;8.28185;-8.08202;
146;176.361000000;8.28921;-8.05498;
147;176.561000000;8.29226;-8.02078;
148;176.761000000;8.29198;-7.9849;
149;176.961000000;8.29228;-7.95385;
150;177.161000000;8.29332;-7.93152;
151;177.362000000;8.29327;-7.93172;
152;177.561000000;8.29333;-7.9295;
153;177.761000000;8.2925;-7.91193;
154;177.961000000;8.29025;-7.89787;
155;178.161000000;8.29117;-7.90068;
156;178.364000000;8.29598;-7.91237;
157;178.561000000;8.29869;-7.9171;
158;178.761000000;8.30541;-7.92562;
159;178.961000000;8.32951;-7.94497;
160;179.161000000;8.35879;-7.95703;
161;179.361000000;8.38923;-7.96201;
162;179.562000000;8.4067;-7.96385;
163;179.761000000;8.44118;-7.97046;
164;179.961000000;8.45982;-7.97779;
165;180.161000000;8.46431;-7.98007;
166;180.361000000;8.45194;-7.96623;
167;180.561000000;8.43654;-7.93675;
168;180.761000000;8.42939;-7.90565;
169;180.961000000;8.42898;-7.88573;
170;181.161000000;8.43612;-7.85863;
171;181.361000000;8.44854;-7.83631;
172;181.561000000;8.45349;-7.82966;
173;181.761000000;8.44376;-7.83743;
174;181.961000000;8.42138;-7.85123;
175;182.162000000;8.4196;-7.8524;
176;182.362000000;8.42491;-7.85107;
177;182.561000000;8.41665;-7.85201;
178;182.762000000;8.40404;-7.85349;
179;182.961000000;8.39054;-7.85618;
180;183.161000000;8.39265;-7.85566;
181;183.361000000;8.4101;-7.85204;
182;183.561000000;8.43638;-7.84762;
183;183.761000000;8.47194;-7.84258;
184;183.961000000;8.51762;-7.83316;
185;184.161000000;8.52809;-7.83082;
186;184.361000000;8.52584;-7.83124;
187;184.562000000;8.53546;-7.82884;
188;184.761000000;8.55961;-7.82116;
189;184.961000000;8.59196;-7.81074;
190;185.161000000;8.6267;-7.80172;
191;185.361000000;8.64956;-7.79606;
192;185.561000000;8.67278;-7.79182;
193;185.761000000;8.70172;-7.78819;
194;185.961000000;8.73357;-7.78155;
195;186.161000000;8.75408;-7.77336;
196;186.361000000;8.77189;-7.76408;
197;186.561000000;8.78646;-7.75532;
198;186.761000000;8.81528;-7.73774;
199;186.961000000;8.84298;-7.72197;
200;187.161000000;8.86821;-7.70597;
201;187.361000000;8.88522;-7.69175;
202;187.562000000;8.91406;-7.66737;
203;187.761000000;8.93429;-7.65182;
204;187.961000000;8.94585;-7.64382;
205;188.161000000;8.95711;-7.63649;
206;188.361000000;8.97906;-7.61902;
207;188.561000000;8.98896;-7.60843;
208;188.761000000;8.99748;-7.59777;
209;188.961000000;8.99857;-7.59627;
210;189.161000000;8.99849;-7.59639;
211;189.361000000;8.9984;-7.59651;
212;189.561000000;9.00352;-7.58945;
213;189.761000000;9.01644;-7.57083;
214;189.961000000;9.02684;-7.55193;
215;190.162000000;9.04196;-7.51576;
216;190.361000000;9.04849;-7.49344;
217;190.561000000;9.0527;-7.47042;
218;190.761000000;9.05706;-7.44031;
219;190.961000000;9.05995;-7.42007;
220;191.162000000;9.06463;-7.3893;
221;191.361000000;9.06812;-7.35636;
222;191.561000000;9.06873;-7.31634;
223;191.761000000;9.06691;-7.28899;
224;191.961000000;9.06247;-7.25975;
225;192.161000000;9.05237;-7.22077;
226;192.361000000;9.0398;-7.1886;
227;192.561000000;9.02406;-7.15781;
