id;time;x_odom;y_odom;
1;197.251000000;3.90202;-5.12795;
2;197.451000000;3.88942;-5.12794;
3;197.652000000;3.86277;-5.12745;
4;197.851000000;3.84076;-5.12639;
5;198.051000000;3.81407;-5.12397;
6;198.251000000;3.789;-5.12072;
7;198.451000000;3.76912;-5.11705;
8;198.651000000;3.75037;-5.11179;
9;198.851000000;3.72684;-5.10053;
10;199.051000000;3.69978;-5.0812;
11;199.251000000;3.67735;-5.05785;
12;199.451000000;3.66461;-5.03669;
13;199.651000000;3.65696;-5.01262;
14;199.852000000;3.65698;-5.00647;
15;200.051000000;3.65762;-5.00373;
16;200.251000000;3.65798;-5.00315;
17;200.451000000;3.66257;-4.99745;
18;200.651000000;3.66787;-4.99326;
19;200.851000000;3.67509;-4.98971;
20;201.051000000;3.67695;-4.98912;
21;201.251000000;3.67047;-4.9894;
22;201.451000000;3.65506;-4.98751;
23;201.651000000;3.62034;-4.97773;
24;201.851000000;3.59556;-4.96644;
25;202.052000000;3.57468;-4.95305;
26;202.251000000;3.55017;-4.93012;
27;202.452000000;3.53294;-4.90581;
28;202.651000000;3.51642;-4.87309;
29;202.851000000;3.50403;-4.83958;
30;203.051000000;3.49513;-4.80635;
31;203.251000000;3.49185;-4.78099;
32;203.452000000;3.49152;-4.75795;
33;203.651000000;3.49165;-4.75466;
34;203.851000000;3.4925;-4.73513;
35;204.051000000;3.49456;-4.69702;
36;204.251000000;3.49778;-4.66424;
37;204.451000000;3.50261;-4.63187;
38;204.651000000;3.50925;-4.59627;
39;204.851000000;3.51787;-4.55736;
40;205.051000000;3.52656;-4.52327;
41;205.254000000;3.53455;-4.49417;
42;205.451000000;3.54465;-4.45931;
43;205.652000000;3.55315;-4.43091;
44;205.852000000;3.56511;-4.39298;
45;206.051000000;3.57623;-4.35868;
46;206.251000000;3.58716;-4.32467;
47;206.451000000;3.59794;-4.29037;
48;206.651000000;3.60849;-4.25591;
49;206.851000000;3.61859;-4.22182;
50;207.051000000;3.62975;-4.18151;
51;207.251000000;3.63839;-4.14668;
52;207.451000000;3.64481;-4.11764;
53;207.652000000;3.6506;-4.08831;
54;207.851000000;3.65643;-4.05298;
55;208.051000000;3.66146;-4.01604;
56;208.251000000;3.66557;-3.98129;
57;208.453000000;3.66803;-3.9459;
58;208.651000000;3.66861;-3.91033;
59;208.851000000;3.66702;-3.86914;
60;209.051000000;3.66433;-3.83956;
61;209.251000000;3.65957;-3.80451;
62;209.451000000;3.65473;-3.77662;
63;209.651000000;3.64703;-3.74201;
64;209.851000000;3.6359;-3.70284;
65;210.051000000;3.62537;-3.67228;
66;210.251000000;3.61242;-3.63998;
67;210.451000000;3.59744;-3.60796;
68;210.651000000;3.57764;-3.57143;
69;210.851000000;3.55895;-3.54127;
70;211.051000000;3.54215;-3.51692;
71;211.251000000;3.5253;-3.49458;
72;211.451000000;3.50018;-3.46407;
