id;time;x_odom;y_odom;
1;197.252000000;3.90201;-5.12795;
2;197.451000000;3.8973;-5.12794;
3;197.652000000;3.87136;-5.12741;
4;197.851000000;3.84683;-5.125;
5;198.051000000;3.82178;-5.12001;
6;198.251000000;3.79331;-5.11114;
7;198.451000000;3.77395;-5.10298;
8;198.651000000;3.755;-5.09353;
9;198.851000000;3.73099;-5.07914;
10;199.052000000;3.71143;-5.065;
11;199.251000000;3.69249;-5.04839;
12;199.451000000;3.67518;-5.02982;
13;199.651000000;3.65957;-5.00943;
14;199.851000000;3.64566;-4.98732;
15;200.051000000;3.63262;-4.96074;
16;200.251000000;3.62517;-4.94094;
17;200.451000000;3.61921;-4.92128;
18;200.651000000;3.61328;-4.89621;
19;200.851000000;3.60782;-4.86702;
20;201.051000000;3.60459;-4.84089;
21;201.252000000;3.60255;-4.81504;
22;201.451000000;3.60171;-4.78917;
23;201.651000000;3.60153;-4.76286;
24;201.851000000;3.60173;-4.73667;
25;202.051000000;3.60194;-4.71017;
26;202.251000000;3.60229;-4.67921;
27;202.451000000;3.6025;-4.65743;
28;202.651000000;3.60274;-4.63532;
29;202.851000000;3.60301;-4.60411;
30;203.051000000;3.6033;-4.5775;
31;203.251000000;3.60351;-4.55098;
32;203.452000000;3.60387;-4.52458;
33;203.651000000;3.60433;-4.49816;
34;203.851000000;3.60469;-4.47156;
35;204.051000000;3.60498;-4.44049;
36;204.251000000;3.60505;-4.41823;
37;204.452000000;3.60506;-4.39179;
38;204.651000000;3.60502;-4.36957;
39;204.851000000;3.60488;-4.33853;
40;205.051000000;3.60466;-4.3119;
41;205.252000000;3.60453;-4.28551;
42;205.451000000;3.60468;-4.25885;
43;205.651000000;3.60494;-4.23218;
44;205.851000000;3.605;-4.20551;
45;206.051000000;3.60513;-4.17459;
46;206.251000000;3.60531;-4.14792;
47;206.451000000;3.60536;-4.12567;
48;206.651000000;3.60539;-4.09898;
49;206.851000000;3.6057;-4.07202;
50;207.051000000;3.6059;-4.04529;
51;207.251000000;3.60597;-4.01839;
52;207.451000000;3.60591;-3.99634;
53;207.651000000;3.60573;-3.96113;
54;207.851000000;3.60558;-3.93885;
55;208.051000000;3.60542;-3.91282;
56;208.251000000;3.60547;-3.887;
57;208.451000000;3.60546;-3.86049;
58;208.651000000;3.60538;-3.83379;
59;208.851000000;3.60518;-3.80715;
60;209.052000000;3.60481;-3.77633;
61;209.252000000;3.60437;-3.75453;
62;209.451000000;3.60352;-3.73173;
63;209.652000000;3.60203;-3.70033;
64;209.852000000;3.60122;-3.67477;
65;210.051000000;3.59988;-3.64854;
66;210.251000000;3.59788;-3.62249;
67;210.451000000;3.59444;-3.59001;
68;210.652000000;3.59102;-3.5621;
69;210.851000000;3.58797;-3.54058;
70;211.051000000;3.58471;-3.51856;
71;211.251000000;3.5797;-3.48872;
72;211.451000000;3.57368;-3.46231;
73;211.651000000;3.56553;-3.43642;
74;211.851000000;3.55485;-3.41069;
75;212.051000000;3.54192;-3.38586;
76;212.252000000;3.5269;-3.36219;
77;212.451000000;3.50707;-3.33596;
78;212.651000000;3.4922;-3.31915;
79;212.851000000;3.47615;-3.30321;
80;213.052000000;3.45095;-3.28176;
81;213.252000000;3.42827;-3.26533;
82;213.452000000;3.40388;-3.24998;
83;213.652000000;3.37791;-3.23592;
84;213.851000000;3.35059;-3.22337;
85;214.051000000;3.31861;-3.21123;
86;214.251000000;3.29497;-3.2037;
87;214.451000000;3.27148;-3.1973;
88;214.651000000;3.23948;-3.19003;
89;214.851000000;3.21064;-3.18482;
90;215.051000000;3.1824;-3.18009;
91;215.251000000;3.15445;-3.17535;
92;215.451000000;3.12428;-3.17041;
93;215.651000000;3.09311;-3.16596;
94;215.851000000;3.05957;-3.16176;
95;216.051000000;3.03613;-3.15914;
96;216.251000000;3.01226;-3.15673;
97;216.451000000;2.98274;-3.15414;
98;216.651000000;2.95556;-3.15213;
99;216.851000000;2.92621;-3.15028;
100;217.051000000;2.89418;-3.1486;
101;217.251000000;2.86524;-3.14734;
102;217.451000000;2.83606;-3.1463;
103;217.652000000;2.80718;-3.14549;
104;217.851000000;2.77446;-3.14482;
105;218.051000000;2.75134;-3.14447;
106;218.252000000;2.72648;-3.14424;
107;218.452000000;2.68951;-3.14408;
108;218.651000000;2.66988;-3.14405;
109;218.851000000;2.63747;-3.14412;
110;219.051000000;2.60774;-3.14432;
111;219.251000000;2.57995;-3.14458;
112;219.451000000;2.55153;-3.14489;
113;219.651000000;2.51642;-3.14531;
114;219.851000000;2.49295;-3.14561;
115;220.052000000;2.46887;-3.14588;
116;220.251000000;2.44134;-3.14619;
117;220.451000000;2.40695;-3.14658;
118;220.651000000;2.37979;-3.14689;
119;220.852000000;2.35073;-3.14722;
120;221.051000000;2.32355;-3.14753;
121;221.251000000;2.29027;-3.14793;
122;221.451000000;2.26236;-3.1482;
123;221.651000000;2.23936;-3.14824;
124;221.852000000;2.21708;-3.14828;
125;222.051000000;2.18585;-3.14842;
126;222.252000000;2.15941;-3.14853;
127;222.451000000;2.13294;-3.14864;
128;222.651000000;2.10626;-3.14875;
129;222.852000000;2.07947;-3.14887;
130;223.051000000;2.0487;-3.14897;
131;223.251000000;2.02218;-3.14906;
132;223.451000000;1.99987;-3.14914;
133;223.652000000;1.9775;-3.14922;
134;223.851000000;1.94671;-3.14931;
135;224.051000000;1.9202;-3.14939;
136;224.251000000;1.89349;-3.14946;
137;224.452000000;1.86682;-3.14955;
138;224.651000000;1.84036;-3.15001;
139;224.851000000;1.8084;-3.15123;
140;225.052000000;1.7818;-3.15289;
141;225.251000000;1.74972;-3.15509;
142;225.452000000;1.71669;-3.15768;
143;225.652000000;1.68775;-3.16071;
144;225.851000000;1.65628;-3.16501;
145;226.051000000;1.6172;-3.17142;
146;226.251000000;1.58765;-3.17683;
147;226.451000000;1.55568;-3.18347;
148;226.652000000;1.52344;-3.19137;
149;226.851000000;1.494;-3.19957;
150;227.051000000;1.46259;-3.21;
151;227.252000000;1.4387;-3.21934;
152;227.451000000;1.41286;-3.23082;
153;227.652000000;1.39059;-3.24219;
154;227.851000000;1.35861;-3.26153;
155;228.051000000;1.33892;-3.27551;
156;228.251000000;1.31574;-3.29413;
157;228.451000000;1.29422;-3.31398;
158;228.651000000;1.27421;-3.33548;
159;228.851000000;1.25693;-3.35668;
160;229.051000000;1.23838;-3.38321;
161;229.251000000;1.22582;-3.40387;
