id;time;x_odom;y_odom;
1;197.260000000;3.90202;-5.12795;
2;197.460000000;3.90185;-5.12794;
3;197.660000000;3.89406;-5.12832;
4;197.862000000;3.8866;-5.12966;
5;198.060000000;3.87065;-5.13517;
6;198.260000000;3.8706;-5.13491;
7;198.460000000;3.87994;-5.12655;
8;198.660000000;3.89641;-5.10021;
9;198.860000000;3.90412;-5.06907;
10;199.060000000;3.90427;-5.0369;
11;199.260000000;3.90054;-5.00704;
12;199.461000000;3.89499;-4.97171;
13;199.660000000;3.88994;-4.92919;
14;199.860000000;3.88864;-4.89301;
15;200.060000000;3.89113;-4.85617;
16;200.260000000;3.89234;-4.82525;
17;200.460000000;3.89156;-4.79587;
18;200.660000000;3.88895;-4.75948;
19;200.860000000;3.88806;-4.70872;
20;201.060000000;3.88782;-4.68451;
21;201.260000000;3.88807;-4.64243;
22;201.460000000;3.88896;-4.60482;
23;201.661000000;3.8871;-4.56931;
24;201.860000000;3.88223;-4.53413;
25;202.060000000;3.87699;-4.49845;
26;202.260000000;3.87182;-4.46337;
27;202.460000000;3.86479;-4.42263;
28;202.660000000;3.85719;-4.38748;
29;202.860000000;3.85027;-4.35251;
30;203.060000000;3.84488;-4.32309;
31;203.261000000;3.83886;-4.29367;
32;203.460000000;3.82692;-4.2511;
33;203.660000000;3.81863;-4.22243;
34;203.860000000;3.8092;-4.18746;
35;204.060000000;3.79868;-4.15308;
36;204.260000000;3.78592;-4.11986;
37;204.460000000;3.77357;-4.08761;
38;204.661000000;3.75738;-4.04966;
39;204.865000000;3.7422;-4.01739;
40;205.060000000;3.73019;-3.99002;
41;205.261000000;3.71543;-3.95753;
42;205.461000000;3.70258;-3.93079;
43;205.661000000;3.68426;-3.89483;
44;205.860000000;3.66708;-3.8643;
45;206.060000000;3.65073;-3.83446;
46;206.260000000;3.63283;-3.80383;
47;206.460000000;3.61386;-3.77322;
48;206.661000000;3.59514;-3.74268;
49;206.860000000;3.57635;-3.71215;
50;207.060000000;3.55716;-3.68153;
51;207.261000000;3.53797;-3.65217;
52;207.460000000;3.52018;-3.62865;
53;207.660000000;3.49684;-3.60154;
54;207.860000000;3.46976;-3.56986;
55;208.060000000;3.45151;-3.54736;
56;208.260000000;3.43891;-3.5326;
57;208.460000000;3.41847;-3.51196;
58;208.660000000;3.39139;-3.49024;
59;208.860000000;3.37051;-3.47633;
60;209.060000000;3.34953;-3.46272;
61;209.260000000;3.31457;-3.44066;
62;209.460000000;3.28506;-3.4222;
63;209.660000000;3.26;-3.40651;
64;209.860000000;3.23178;-3.38877;
65;210.060000000;3.20346;-3.37187;
66;210.260000000;3.17336;-3.3545;
67;210.460000000;3.14341;-3.33762;
68;210.660000000;3.11299;-3.32115;
69;210.860000000;3.08138;-3.3056;
70;211.060000000;3.05381;-3.29306;
71;211.261000000;3.01104;-3.27306;
72;211.460000000;2.98402;-3.26029;
73;211.660000000;2.95346;-3.24645;
74;211.860000000;2.92071;-3.23291;
75;212.061000000;2.88757;-3.21998;
76;212.260000000;2.85424;-3.20898;
77;212.460000000;2.81443;-3.19648;
78;212.660000000;2.78548;-3.18871;
79;212.861000000;2.75668;-3.18084;
80;213.060000000;2.71171;-3.16931;
81;213.262000000;2.68279;-3.16532;
82;213.460000000;2.64874;-3.16224;
83;213.660000000;2.61325;-3.16004;
84;213.860000000;2.57747;-3.15876;
85;214.060000000;2.53588;-3.1572;
86;214.260000000;2.50586;-3.15549;
87;214.460000000;2.47631;-3.15429;
88;214.660000000;2.4415;-3.15551;
89;214.860000000;2.40018;-3.15838;
90;215.060000000;2.36421;-3.16091;
91;215.260000000;2.32821;-3.16371;
92;215.460000000;2.29366;-3.16865;
93;215.660000000;2.25833;-3.17774;
94;215.860000000;2.21652;-3.18836;
95;216.060000000;2.18689;-3.19489;
96;216.260000000;2.15351;-3.20273;
97;216.460000000;2.11984;-3.21343;
98;216.660000000;2.09208;-3.22211;
99;216.860000000;2.04661;-3.23553;
100;217.060000000;2.02355;-3.24263;
101;217.260000000;1.98296;-3.25656;
102;217.460000000;1.94894;-3.26941;
103;217.660000000;1.91518;-3.28204;
104;217.860000000;1.88218;-3.29545;
105;218.060000000;1.85937;-3.30518;
106;218.260000000;1.84258;-3.31216;
107;218.461000000;1.81935;-3.32023;
108;218.660000000;1.80493;-3.32562;
109;218.860000000;1.79108;-3.33135;
110;219.060000000;1.78154;-3.33588;
111;219.261000000;1.75517;-3.34929;
112;219.460000000;1.73345;-3.36321;
113;219.660000000;1.71965;-3.37474;
114;219.860000000;1.70662;-3.38652;
115;220.061000000;1.68489;-3.40521;
116;220.260000000;1.65594;-3.42531;
117;220.460000000;1.63376;-3.4363;
118;220.660000000;1.60941;-3.44879;
119;220.861000000;1.58362;-3.4643;
120;221.060000000;1.56575;-3.47907;
121;221.260000000;1.54049;-3.50952;
122;221.460000000;1.52063;-3.53955;
123;221.660000000;1.50111;-3.56947;
124;221.860000000;1.48197;-3.60002;
125;222.060000000;1.46224;-3.63075;
126;222.261000000;1.43952;-3.66614;
127;222.460000000;1.42396;-3.69191;
128;222.660000000;1.40844;-3.71757;
129;222.860000000;1.38693;-3.75336;
130;223.060000000;1.36867;-3.78401;
131;223.263000000;1.35216;-3.81525;
132;223.460000000;1.33579;-3.84705;
133;223.661000000;1.31898;-3.87885;
134;223.860000000;1.30219;-3.91063;
135;224.060000000;1.28457;-3.94963;
136;224.260000000;1.27202;-3.98319;
137;224.460000000;1.26012;-4.01135;
138;224.660000000;1.24468;-4.04421;
139;224.860000000;1.23414;-4.06914;
140;225.061000000;1.22368;-4.10869;
141;225.260000000;1.21539;-4.14448;
142;225.460000000;1.20544;-4.17936;
143;225.660000000;1.19466;-4.21357;
144;225.860000000;1.18477;-4.25318;
145;226.060000000;1.17788;-4.28201;
146;226.260000000;1.16942;-4.31758;
147;226.460000000;1.15843;-4.35264;
148;226.660000000;1.14781;-4.38581;
149;226.860000000;1.14099;-4.41457;
150;227.061000000;1.13338;-4.45433;
151;227.260000000;1.12384;-4.48824;
152;227.460000000;1.10918;-4.52356;
153;227.660000000;1.09348;-4.55827;
154;227.860000000;1.07811;-4.59116;
155;228.060000000;1.06062;-4.62445;
156;228.260000000;1.04651;-4.6527;
157;228.460000000;1.03694;-4.67584;
158;228.660000000;1.03422;-4.68341;
159;228.861000000;1.03105;-4.69256;
160;229.060000000;1.02586;-4.70795;
161;229.260000000;1.01831;-4.72817;
162;229.460000000;1.01126;-4.74498;
163;229.660000000;1.00439;-4.76112;
164;229.860000000;0.999978;-4.77267;
165;230.060000000;0.993525;-4.78973;
166;230.260000000;0.987606;-4.80408;
167;230.460000000;0.97978;-4.8218;
168;230.660000000;0.974845;-4.8335;
169;230.860000000;0.966759;-4.85242;
170;231.060000000;0.962979;-4.86095;
171;231.260000000;0.956449;-4.87576;
172;231.460000000;0.954203;-4.88111;
173;231.660000000;0.951222;-4.88839;
174;231.861000000;0.94999;-4.8914;
175;232.060000000;0.949928;-4.89156;
176;232.260000000;0.949877;-4.8917;
177;232.460000000;0.949836;-4.89181;
178;232.661000000;0.949786;-4.89194;
179;232.860000000;0.949744;-4.89205;
180;233.060000000;0.949694;-4.89218;
181;233.260000000;0.949635;-4.89234;
182;233.461000000;0.949585;-4.89247;
183;233.660000000;0.948191;-4.89591;
184;233.860000000;0.946222;-4.90067;
185;234.060000000;0.943976;-4.90602;
186;234.260000000;0.941666;-4.91147;
187;234.461000000;0.940811;-4.91344;
188;234.660000000;0.936238;-4.92407;
189;234.864000000;0.928275;-4.94273;
190;235.061000000;0.919906;-4.96207;
191;235.260000000;0.909515;-4.98579;
192;235.460000000;0.898405;-5.00799;
193;235.660000000;0.889149;-5.02467;
194;235.860000000;0.874037;-5.04726;
195;236.061000000;0.853657;-5.07045;
196;236.260000000;0.824517;-5.09415;
197;236.460000000;0.793297;-5.11406;
198;236.660000000;0.762705;-5.13219;
199;236.861000000;0.731776;-5.15151;
200;237.060000000;0.707013;-5.16674;
201;237.260000000;0.674876;-5.18413;
202;237.460000000;0.648452;-5.19764;
203;237.661000000;0.615473;-5.21269;
204;237.860000000;0.572156;-5.2324;
205;238.060000000;0.540502;-5.24825;
206;238.260000000;0.512661;-5.26067;
207;238.460000000;0.477757;-5.27504;
208;238.660000000;0.444618;-5.28956;
209;238.860000000;0.412065;-5.3049;
210;239.060000000;0.379004;-5.31826;
211;239.261000000;0.338385;-5.3291;
212;239.460000000;0.311157;-5.33483;
213;239.660000000;0.276115;-5.34213;
214;239.860000000;0.247003;-5.34904;
215;240.060000000;0.206438;-5.35834;
216;240.260000000;0.17105;-5.36447;
217;240.460000000;0.13473;-5.37231;
