id;time;x_odom;y_odom;
1;730.630000000;13;-1.99994;
2;730.831000000;12.9953;-1.99993;
3;731.030000000;12.97;-1.99963;
4;731.230000000;12.9462;-1.99752;
5;731.430000000;12.9272;-1.99355;
6;731.630000000;12.8976;-1.98364;
7;731.830000000;12.8783;-1.97491;
8;732.030000000;12.8596;-1.96466;
9;732.230000000;12.8382;-1.95058;
10;732.430000000;12.8114;-1.92939;
11;732.630000000;12.7959;-1.91404;
12;732.830000000;12.7813;-1.89402;
13;733.030000000;12.7674;-1.86359;
14;733.230000000;12.7637;-1.846;
15;733.430000000;12.7647;-1.83359;
16;733.630000000;12.7676;-1.82642;
17;733.830000000;12.7673;-1.82668;
18;734.030000000;12.767;-1.827;
19;734.230000000;12.7667;-1.82725;
20;734.430000000;12.7658;-1.82741;
21;734.630000000;12.7638;-1.82756;
22;734.830000000;12.7601;-1.82695;
23;735.030000000;12.7522;-1.82396;
24;735.230000000;12.7333;-1.81314;
25;735.430000000;12.7178;-1.80006;
26;735.630000000;12.7015;-1.77942;
27;735.830000000;12.6879;-1.75414;
28;736.030000000;12.6784;-1.72685;
29;736.230000000;12.6729;-1.69959;
30;736.430000000;12.6703;-1.6584;
31;736.630000000;12.6716;-1.63003;
32;736.830000000;12.6748;-1.60637;
33;737.031000000;12.6827;-1.57291;
34;737.230000000;12.6928;-1.54328;
35;737.430000000;12.7037;-1.51769;
36;737.630000000;12.7172;-1.49107;
37;737.830000000;12.7332;-1.46283;
38;738.030000000;12.7499;-1.43649;
39;738.230000000;12.7732;-1.40208;
40;738.430000000;12.7903;-1.37735;
41;738.630000000;12.8073;-1.35325;
42;738.830000000;12.8344;-1.31474;
43;739.030000000;12.8466;-1.29676;
44;739.230000000;12.8677;-1.26495;
45;739.431000000;12.8862;-1.23552;
46;739.630000000;12.904;-1.20473;
47;739.830000000;12.9206;-1.17318;
48;740.031000000;12.936;-1.14094;
49;740.230000000;12.9493;-1.11038;
50;740.430000000;12.962;-1.07735;
51;740.630000000;12.9731;-1.04346;
52;740.830000000;12.9819;-1.01153;
53;741.030000000;12.9898;-0.977275;
54;741.230000000;12.9971;-0.937019;
55;741.430000000;13.0009;-0.909752;
56;741.632000000;13.0045;-0.874904;
57;741.830000000;13.0064;-0.839552;
58;742.030000000;13.0067;-0.806426;
59;742.230000000;13.0062;-0.777509;
60;742.430000000;13.0034;-0.737348;
61;742.630000000;12.9988;-0.702805;
62;742.830000000;12.9922;-0.667726;
63;743.030000000;12.9838;-0.633269;
64;743.230000000;12.9735;-0.599327;
65;743.431000000;12.9598;-0.562369;
66;743.630000000;12.9465;-0.531213;
67;743.830000000;12.9343;-0.505891;
68;744.030000000;12.9214;-0.481669;
69;744.230000000;12.9018;-0.448667;
70;744.431000000;12.8834;-0.420381;
71;744.630000000;12.8626;-0.391781;
72;744.831000000;12.8413;-0.36539;
73;745.030000000;12.8187;-0.340091;
74;745.230000000;12.797;-0.317645;
75;745.430000000;12.767;-0.289571;
76;745.630000000;12.7445;-0.270286;
77;745.830000000;12.7163;-0.248194;
78;746.030000000;12.6922;-0.23084;
79;746.230000000;12.6576;-0.208072;
80;746.431000000;12.6269;-0.189817;
81;746.630000000;12.5956;-0.172702;
82;746.830000000;12.5637;-0.156793;
83;747.030000000;12.5313;-0.142016;
84;747.231000000;12.4927;-0.125804;
85;747.432000000;12.4595;-0.11315;
86;747.630000000;12.4313;-0.103335;
87;747.831000000;12.4028;-0.0941201;
88;748.030000000;12.3628;-0.0822035;
89;748.230000000;12.3283;-0.0728926;
90;748.430000000;12.2935;-0.0643716;
91;748.630000000;12.2586;-0.056582;
92;748.830000000;12.2235;-0.0493739;
93;749.030000000;12.1824;-0.0416682;
94;749.230000000;12.1529;-0.0365491;
95;749.430000000;12.1175;-0.0308881;
96;749.630000000;12.0821;-0.0258667;
97;749.830000000;12.0523;-0.0221147;
98;750.030000000;12.0109;-0.01764;
99;750.231000000;11.9753;-0.01445;
100;750.430000000;11.9394;-0.0117351;
101;750.630000000;11.9037;-0.00953452;
102;750.831000000;11.8678;-0.00759258;
103;751.030000000;11.8259;-0.00557644;
104;751.230000000;11.7961;-0.00436541;
105;751.430000000;11.7601;-0.00308069;
106;751.630000000;11.7241;-0.00197946;
107;751.831000000;11.6942;-0.00124592;
108;752.030000000;11.6523;-0.000363019;
109;752.231000000;11.6163;0.000248663;
110;752.430000000;11.5805;0.000687069;
111;752.630000000;11.5445;0.00103788;
112;752.830000000;11.5084;0.00125694;
113;753.030000000;11.4726;0.00140451;
114;753.230000000;11.4366;0.00149022;
115;753.430000000;11.4006;0.00149376;
116;753.630000000;11.3647;0.00140132;
117;753.830000000;11.3286;0.00128432;
118;754.030000000;11.2867;0.00113217;
119;754.230000000;11.2568;0.00101957;
120;754.431000000;11.2266;0.000912943;
121;754.631000000;11.1847;0.000749887;
122;754.830000000;11.1488;0.000604058;
123;755.030000000;11.1127;0.000468413;
124;755.230000000;11.0768;0.000309799;
125;755.430000000;11.0408;0.000152159;
126;755.630000000;11.0047;5.87676e-06;
127;755.830000000;10.9689;-0.000168849;
128;756.030000000;10.9329;-0.000339149;
129;756.230000000;10.8908;-0.000528921;
130;756.430000000;10.8609;-0.000688694;
131;756.630000000;10.8309;-0.000842349;
132;756.830000000;10.7888;-0.00104808;
133;757.030000000;10.753;-0.00124738;
134;757.230000000;10.7169;-0.00143383;
135;757.430000000;10.6809;-0.00161618;
136;757.630000000;10.6391;-0.00185214;
137;757.830000000;10.609;-0.00200925;
138;758.030000000;10.5729;-0.00220123;
139;758.230000000;10.543;-0.0023699;
140;758.430000000;10.501;-0.00259551;
141;758.630000000;10.465;-0.00279687;
142;758.830000000;10.4291;-0.00300754;
143;759.030000000;10.393;-0.00320945;
144;759.231000000;10.3512;-0.00347384;
145;759.430000000;10.3212;-0.0038;
146;759.630000000;10.2911;-0.00428707;
147;759.831000000;10.2551;-0.0050424;
148;760.030000000;10.2073;-0.00604038;
149;760.230000000;10.1771;-0.00659978;
150;760.430000000;10.1413;-0.00726883;
151;760.631000000;10.1053;-0.00789956;
152;760.830000000;10.0691;-0.00844788;
153;761.030000000;10.0333;-0.00897965;
154;761.232000000;9.99729;-0.00947856;
155;761.430000000;9.95526;-0.0100004;
156;761.631000000;9.91941;-0.0104396;
157;761.830000000;9.8893;-0.0107587;
158;762.030000000;9.85324;-0.0110845;
159;762.230000000;9.82331;-0.0113601;
160;762.430000000;9.78131;-0.0116832;
161;762.630000000;9.74527;-0.0119232;
162;762.830000000;9.70941;-0.0121524;
163;763.030000000;9.67332;-0.0123487;
164;763.230000000;9.63145;-0.0125787;
165;763.430000000;9.59553;-0.0127625;
166;763.630000000;9.56535;-0.0128943;
167;763.830000000;9.53531;-0.0130141;
168;764.030000000;9.49945;-0.0131374;
169;764.230000000;9.45737;-0.013258;
170;764.430000000;9.42146;-0.0133516;
171;764.630000000;9.38553;-0.013405;
172;764.830000000;9.34938;-0.013445;
173;765.030000000;9.31348;-0.0134935;
174;765.230000000;9.27752;-0.013504;
175;765.430000000;9.24137;-0.0135022;
176;765.631000000;9.20553;-0.0135052;
177;765.830000000;9.16357;-0.0134478;
178;766.030000000;9.1334;-0.0133917;
179;766.230000000;9.09759;-0.0133366;
180;766.430000000;9.06753;-0.0132753;
181;766.630000000;9.01963;-0.0133894;
182;766.831000000;8.98978;-0.0136831;
183;767.030000000;8.95419;-0.0141883;
184;767.230000000;8.92028;-0.0147114;
185;767.431000000;8.88452;-0.0154142;
186;767.630000000;8.84851;-0.0163624;
187;767.830000000;8.81391;-0.017491;
188;768.031000000;8.77902;-0.0188482;
189;768.230000000;8.73858;-0.0205531;
190;768.430000000;8.70854;-0.0219089;
191;768.630000000;8.67277;-0.0236884;
192;768.830000000;8.64271;-0.0252691;
193;769.030000000;8.60668;-0.0271639;
194;769.230000000;8.5709;-0.0290784;
195;769.432000000;8.52891;-0.0313111;
196;769.630000000;8.49302;-0.0332572;
197;769.830000000;8.45719;-0.03525;
198;770.030000000;8.42109;-0.0372292;
199;770.230000000;8.38523;-0.0391331;
200;770.430000000;8.34934;-0.0409734;
