id;time;x_odom;y_odom;
1;730.428000000;13;-1.99994;
2;730.628000000;12.9979;-1.99994;
3;730.828000000;12.9729;-1.99982;
4;731.028000000;12.9489;-1.99852;
5;731.228000000;12.9155;-1.99317;
6;731.428000000;12.8989;-1.98883;
7;731.628000000;12.8751;-1.98037;
8;731.828000000;12.8483;-1.96757;
9;732.028000000;12.8267;-1.95418;
10;732.228000000;12.8067;-1.93856;
11;732.428000000;12.7881;-1.92077;
12;732.628000000;12.7689;-1.89791;
13;732.828000000;12.7543;-1.87656;
14;733.029000000;12.7436;-1.85816;
15;733.228000000;12.733;-1.83554;
16;733.428000000;12.7243;-1.81175;
17;733.628000000;12.7184;-1.79091;
18;733.828000000;12.7115;-1.75796;
19;734.028000000;12.7081;-1.73393;
20;734.228000000;12.706;-1.7164;
21;734.428000000;12.7034;-1.68613;
22;734.628000000;12.702;-1.66048;
23;734.828000000;12.7016;-1.63482;
24;735.028000000;12.7021;-1.60832;
25;735.228000000;12.7027;-1.57797;
26;735.428000000;12.7034;-1.55623;
27;735.628000000;12.7041;-1.52964;
28;735.828000000;12.7046;-1.50734;
29;736.029000000;12.7051;-1.47649;
30;736.228000000;12.7057;-1.451;
31;736.428000000;12.7064;-1.42479;
32;736.628000000;12.707;-1.4001;
33;736.828000000;12.7074;-1.37392;
34;737.028000000;12.7078;-1.34303;
35;737.228000000;12.708;-1.32069;
36;737.428000000;12.708;-1.29398;
37;737.628000000;12.7079;-1.27195;
38;737.828000000;12.7077;-1.23667;
39;738.028000000;12.7075;-1.21875;
40;738.228000000;12.707;-1.18766;
41;738.429000000;12.7066;-1.16132;
42;738.628000000;12.7061;-1.13479;
43;738.828000000;12.7057;-1.10806;
44;739.028000000;12.7051;-1.07711;
45;739.229000000;12.7046;-1.05574;
46;739.428000000;12.7034;-1.03003;
47;739.628000000;12.7017;-1.00649;
48;739.829000000;12.6983;-0.976763;
49;740.028000000;12.6928;-0.938137;
50;740.229000000;12.6865;-0.902976;
51;740.428000000;12.6792;-0.867526;
52;740.628000000;12.6709;-0.832571;
53;740.828000000;12.6616;-0.797749;
54;741.028000000;12.6497;-0.757333;
55;741.228000000;12.6405;-0.728711;
56;741.428000000;12.6286;-0.694654;
57;741.628000000;12.6179;-0.666321;
58;741.828000000;12.6044;-0.632959;
59;742.029000000;12.5879;-0.594958;
60;742.228000000;12.5725;-0.56217;
61;742.429000000;12.5566;-0.529837;
62;742.629000000;12.5399;-0.497864;
63;742.828000000;12.5218;-0.466227;
64;743.028000000;12.5029;-0.435511;
65;743.228000000;12.4793;-0.40124;
66;743.428000000;12.4614;-0.378128;
67;743.628000000;12.4425;-0.355778;
68;743.828000000;12.409;-0.321268;
69;744.028000000;12.3914;-0.305346;
70;744.228000000;12.3594;-0.27938;
71;744.429000000;12.3297;-0.258193;
72;744.629000000;12.3;-0.23956;
73;744.828000000;12.2675;-0.221704;
74;745.028000000;12.2354;-0.205226;
75;745.228000000;12.1974;-0.186935;
76;745.428000000;12.1645;-0.172376;
77;745.628000000;12.1361;-0.161089;
78;745.828000000;12.1017;-0.148811;
79;746.028000000;12.0678;-0.137847;
80;746.228000000;12.0398;-0.129781;
81;746.428000000;11.9934;-0.117723;
82;746.628000000;11.9701;-0.112171;
83;746.828000000;11.9349;-0.104376;
84;747.028000000;11.8937;-0.096054;
85;747.228000000;11.8581;-0.0895596;
86;747.428000000;11.8224;-0.0838513;
87;747.628000000;11.7867;-0.0786826;
88;747.828000000;11.751;-0.0739679;
89;748.029000000;11.7152;-0.069815;
90;748.228000000;11.6794;-0.0661083;
91;748.428000000;11.6375;-0.0623346;
92;748.628000000;11.6017;-0.05963;
93;748.828000000;11.5652;-0.0574253;
94;749.028000000;11.5351;-0.0558068;
95;749.229000000;11.5052;-0.0544161;
96;749.428000000;11.4572;-0.0525625;
97;749.629000000;11.4272;-0.0516046;
98;749.828000000;11.3913;-0.0506444;
99;750.028000000;11.3552;-0.0498182;
100;750.228000000;11.3192;-0.049175;
101;750.428000000;11.2833;-0.048669;
102;750.628000000;11.2412;-0.0482673;
103;750.828000000;11.2054;-0.0479681;
104;751.028000000;11.1754;-0.047793;
105;751.228000000;11.1392;-0.0476981;
106;751.428000000;11.1093;-0.0476762;
107;751.629000000;11.0674;-0.047719;
108;751.828000000;11.0313;-0.047841;
109;752.028000000;10.9954;-0.0480049;
110;752.228000000;10.9595;-0.0481716;
111;752.428000000;10.9234;-0.0483492;
112;752.628000000;10.8876;-0.0484994;
113;752.828000000;10.8516;-0.048652;
114;753.028000000;10.8155;-0.048818;
115;753.228000000;10.7738;-0.0489726;
116;753.429000000;10.7437;-0.049089;
117;753.628000000;10.7076;-0.0492342;
118;753.828000000;10.6718;-0.0493578;
119;754.028000000;10.6358;-0.0494839;
120;754.228000000;10.5998;-0.0496123;
121;754.428000000;10.5639;-0.0497238;
122;754.628000000;10.5338;-0.0498179;
123;754.829000000;10.4978;-0.0499351;
124;755.028000000;10.456;-0.0500492;
125;755.228000000;10.4199;-0.0501504;
126;755.428000000;10.384;-0.0502493;
127;755.628000000;10.3481;-0.0503344;
128;755.828000000;10.312;-0.0504235;
129;756.028000000;10.2762;-0.0505081;
130;756.229000000;10.2343;-0.0505927;
131;756.428000000;10.2041;-0.0506591;
132;756.628000000;10.1683;-0.0507289;
133;756.828000000;10.1324;-0.0507897;
134;757.028000000;10.1022;-0.0508452;
135;757.228000000;10.0663;-0.0509053;
136;757.428000000;10.0245;-0.0509632;
137;757.628000000;9.98833;-0.0510271;
138;757.828000000;9.95255;-0.0510634;
139;758.028000000;9.91655;-0.0511023;
140;758.228000000;9.87458;-0.0511548;
141;758.428000000;9.84467;-0.0511796;
142;758.629000000;9.8146;-0.0512031;
143;758.828000000;9.77849;-0.0512458;
144;759.028000000;9.7427;-0.0512603;
145;759.228000000;9.70668;-0.0512784;
146;759.428000000;9.66473;-0.0513065;
147;759.628000000;9.62888;-0.0513169;
148;759.828000000;9.59279;-0.0513271;
149;760.028000000;9.55685;-0.0513424;
150;760.228000000;9.52098;-0.0513463;
151;760.428000000;9.48486;-0.0513521;
152;760.628000000;9.44897;-0.0513613;
153;760.828000000;9.41307;-0.0513612;
154;761.028000000;9.37694;-0.0513657;
155;761.228000000;9.34126;-0.0513166;
156;761.428000000;9.30543;-0.0508937;
157;761.628000000;9.26934;-0.0500935;
158;761.828000000;9.2277;-0.0487596;
159;762.028000000;9.19178;-0.0472851;
160;762.228000000;9.16168;-0.0458707;
161;762.428000000;9.12595;-0.0440152;
162;762.628000000;9.09599;-0.0423552;
163;762.828000000;9.05996;-0.0402427;
164;763.028000000;9.01828;-0.0377214;
165;763.228000000;8.98233;-0.0355087;
166;763.428000000;8.94631;-0.0333886;
167;763.629000000;8.91049;-0.0314888;
168;763.828000000;8.87444;-0.0298891;
169;764.028000000;8.83281;-0.028322;
170;764.228000000;8.80317;-0.0273342;
171;764.428000000;8.77396;-0.0265638;
172;764.628000000;8.73784;-0.0258795;
173;764.828000000;8.70199;-0.025476;
174;765.028000000;8.66595;-0.0251756;
175;765.228000000;8.62994;-0.0248186;
176;765.428000000;8.59407;-0.0245686;
177;765.628000000;8.558;-0.0244266;
178;765.828000000;8.52403;-0.0243319;
179;766.028000000;8.48225;-0.0242438;
180;766.228000000;8.44612;-0.0240828;
181;766.428000000;8.4102;-0.0242606;
182;766.628000000;8.37424;-0.0248084;
183;766.828000000;8.33216;-0.0258068;
184;767.028000000;8.3024;-0.0266412;
185;767.228000000;8.26738;-0.0278779;
186;767.428000000;8.23839;-0.0290384;
187;767.628000000;8.20323;-0.0304423;
188;767.828000000;8.16261;-0.0326195;
189;768.028000000;8.12646;-0.0350938;
190;768.228000000;8.09065;-0.0376401;
191;768.428000000;8.05473;-0.0405196;
192;768.628000000;8.01888;-0.0436442;
193;768.828000000;7.98402;-0.0468088;
194;769.028000000;7.94814;-0.0502409;
195;769.228000000;7.91242;-0.0537505;
196;769.429000000;7.8767;-0.0572543;
197;769.628000000;7.84085;-0.0607921;
198;769.828000000;7.80514;-0.0642312;
199;770.028000000;7.76359;-0.0676753;
200;770.228000000;7.73495;-0.0699277;
201;770.428000000;7.70508;-0.0718369;
202;770.628000000;7.6636;-0.073284;
203;770.828000000;7.62788;-0.0737741;
204;771.028000000;7.59189;-0.0739919;
205;771.228000000;7.55609;-0.0738254;
206;771.428000000;7.52001;-0.0734758;
207;771.628000000;7.48491;-0.072706;
208;771.828000000;7.44919;-0.0714525;
209;772.028000000;7.40711;-0.0700155;
210;772.228000000;7.3772;-0.0690149;
211;772.428000000;7.34725;-0.0680129;
212;772.628000000;7.31116;-0.066807;
213;772.828000000;7.27532;-0.0656849;
214;773.028000000;7.23465;-0.0649901;
215;773.228000000;7.19838;-0.0650037;
216;773.428000000;7.1627;-0.065125;
217;773.628000000;7.12677;-0.0651313;
218;773.828000000;7.09062;-0.0652019;
219;774.028000000;7.04951;-0.0658739;
220;774.228000000;7.01997;-0.0668243;
221;774.428000000;6.98396;-0.0682973;
222;774.628000000;6.94845;-0.0698825;
223;774.828000000;6.91346;-0.0715732;
224;775.028000000;6.88343;-0.0730959;
225;775.228000000;6.83813;-0.0753356;
226;775.428000000;6.80807;-0.0768791;
227;775.628000000;6.77308;-0.0789973;
228;775.828000000;6.73861;-0.08139;
229;776.028000000;6.70684;-0.0837558;
230;776.228000000;6.67687;-0.086187;
231;776.428000000;6.64531;-0.0887555;
232;776.628000000;6.61203;-0.091691;
233;776.828000000;6.58966;-0.0938166;
234;777.028000000;6.56761;-0.0960843;
235;777.228000000;6.53254;-0.100155;
236;777.428000000;6.51047;-0.102929;
237;777.628000000;6.48418;-0.10637;
238;777.828000000;6.4579;-0.109869;
239;778.028000000;6.43156;-0.113403;
240;778.228000000;6.40509;-0.117043;
241;778.428000000;6.37451;-0.121162;
242;778.629000000;6.35237;-0.124102;
243;778.828000000;6.33077;-0.126782;
244;779.028000000;6.30457;-0.129687;
245;779.228000000;6.27356;-0.132362;
246;779.428000000;6.24697;-0.133789;
247;779.628000000;6.22076;-0.134615;
248;779.828000000;6.19419;-0.134924;
249;780.028000000;6.16301;-0.135436;
250;780.228000000;6.1409;-0.135891;
251;780.428000000;6.11446;-0.136544;
252;780.628000000;6.09222;-0.137175;
253;780.828000000;6.06546;-0.138009;
254;781.028000000;6.03882;-0.138763;
255;781.228000000;6.01234;-0.139519;
256;781.428000000;5.98131;-0.140451;
257;781.628000000;5.95467;-0.141256;
258;781.828000000;5.92821;-0.142003;
259;782.028000000;5.90173;-0.142752;
260;782.228000000;5.8751;-0.143298;
261;782.428000000;5.84846;-0.143818;
262;782.628000000;5.82199;-0.14429;
263;782.829000000;5.79549;-0.144772;
264;783.029000000;5.76879;-0.145263;
265;783.228000000;5.73807;-0.145537;
266;783.428000000;5.71198;-0.145472;
267;783.628000000;5.68988;-0.145293;
268;783.828000000;5.66754;-0.145091;
269;784.028000000;5.63646;-0.144639;
270;784.228000000;5.61012;-0.143876;
271;784.428000000;5.58358;-0.143152;
272;784.628000000;5.55677;-0.14262;
273;784.828000000;5.53007;-0.142284;
274;785.028000000;5.50362;-0.1421;
275;785.228000000;5.47703;-0.142048;
276;785.428000000;5.4458;-0.142194;
277;785.628000000;5.41926;-0.142412;
278;785.828000000;5.39284;-0.142653;
279;786.028000000;5.37062;-0.142894;
280;786.229000000;5.34828;-0.143135;
281;786.428000000;5.31744;-0.142959;
282;786.628000000;5.29097;-0.142679;
283;786.828000000;5.26434;-0.142568;
284;787.028000000;5.23751;-0.142609;
285;787.228000000;5.211;-0.142716;
286;787.428000000;5.18455;-0.142879;
287;787.628000000;5.1535;-0.143177;
288;787.828000000;5.12677;-0.143512;
289;788.028000000;5.1003;-0.143898;
290;788.228000000;5.0782;-0.144291;
291;788.428000000;5.05597;-0.144702;
292;788.628000000;5.02073;-0.145364;
293;788.828000000;5.00263;-0.145885;
294;789.028000000;4.97354;-0.1475;
295;789.228000000;4.93798;-0.150701;
296;789.428000000;4.89382;-0.156769;
297;789.628000000;4.8699;-0.160948;
298;789.828000000;4.83023;-0.168932;
299;790.028000000;4.80035;-0.175048;
300;790.228000000;4.76625;-0.181522;
301;790.428000000;4.73089;-0.187477;
302;790.628000000;4.6955;-0.192266;
303;790.829000000;4.65417;-0.196509;
304;791.028000000;4.62438;-0.198237;
305;791.228000000;4.59462;-0.198917;
306;791.428000000;4.54903;-0.197287;
307;791.628000000;4.51354;-0.193847;
308;791.828000000;4.48442;-0.189662;
309;792.028000000;4.44977;-0.183108;
310;792.229000000;4.41556;-0.175298;
311;792.428000000;4.38197;-0.166653;
312;792.628000000;4.34757;-0.157587;
313;792.828000000;4.31406;-0.149048;
314;793.028000000;4.28081;-0.140894;
315;793.229000000;4.24648;-0.132682;
316;793.428000000;4.21359;-0.125065;
317;793.628000000;4.18344;-0.118427;
318;793.828000000;4.15244;-0.111862;
319;794.028000000;4.11901;-0.105199;
320;794.228000000;4.08838;-0.0994122;
321;794.428000000;4.04975;-0.0925505;
322;794.629000000;4.01563;-0.0869303;
323;794.828000000;3.98302;-0.081943;
324;795.028000000;3.94995;-0.0766675;
325;795.229000000;3.91574;-0.0714221;
326;795.428000000;3.8829;-0.0663373;
327;795.628000000;3.85696;-0.0624743;
328;795.828000000;3.82951;-0.0584994;
329;796.028000000;3.79755;-0.053877;
330;796.228000000;3.76524;-0.04914;
331;796.428000000;3.72868;-0.04387;
332;796.628000000;3.69729;-0.0394898;
333;796.828000000;3.66511;-0.0354938;
334;797.028000000;3.62969;-0.0334641;
335;797.228000000;3.58762;-0.0359503;
336;797.428000000;3.55722;-0.0409749;
337;797.628000000;3.52787;-0.0480951;
338;797.828000000;3.48979;-0.0596613;
339;798.028000000;3.45543;-0.0719613;
340;798.228000000;3.42257;-0.0856421;
341;798.428000000;3.39135;-0.0999268;
342;798.628000000;3.35953;-0.113315;
343;798.828000000;3.32615;-0.125166;
344;799.028000000;3.29223;-0.137103;
345;799.228000000;3.2532;-0.152948;
346;799.428000000;3.22559;-0.165313;
347;799.628000000;3.19838;-0.178511;
348;799.828000000;3.16213;-0.198125;
349;800.029000000;3.13099;-0.216838;
350;800.228000000;3.10137;-0.236565;
351;800.428000000;3.0726;-0.257478;
352;800.628000000;3.04402;-0.279971;
353;800.828000000;3.01661;-0.303306;
354;801.028000000;2.99009;-0.327895;
355;801.228000000;2.96449;-0.353747;
356;801.428000000;2.94004;-0.380405;
357;801.628000000;2.91272;-0.412564;
358;801.828000000;2.89399;-0.436166;
359;802.028000000;2.87569;-0.46015;
360;802.228000000;2.85426;-0.489443;
361;802.428000000;2.8341;-0.518467;
362;802.628000000;2.81416;-0.548537;
363;802.828000000;2.79467;-0.579143;
364;803.028000000;2.77293;-0.614643;
365;803.228000000;2.75452;-0.645738;
366;803.428000000;2.73661;-0.677142;
367;803.629000000;2.71931;-0.708416;
368;803.828000000;2.70216;-0.740212;
369;804.028000000;2.68549;-0.772073;
370;804.228000000;2.66916;-0.803977;
371;804.428000000;2.6532;-0.836253;
372;804.628000000;2.63499;-0.87378;
373;804.828000000;2.62333;-0.898153;
374;805.028000000;2.61225;-0.92108;
375;805.229000000;2.5976;-0.951348;
376;805.428000000;2.5854;-0.975127;
377;805.628000000;2.57295;-0.9987;
378;805.828000000;2.56;-1.022;
379;806.028000000;2.54649;-1.04466;
380;806.228000000;2.52989;-1.06993;
381;806.428000000;2.51707;-1.08752;
382;806.628000000;2.50316;-1.10515;
383;806.828000000;2.48371;-1.12804;
384;807.028000000;2.46608;-1.14693;
385;807.229000000;2.44773;-1.1656;
386;807.428000000;2.42891;-1.18382;
387;807.628000000;2.40956;-1.20181;
388;807.828000000;2.38676;-1.22236;
389;808.028000000;2.37033;-1.23655;
390;808.228000000;2.3537;-1.25034;
391;808.428000000;2.32954;-1.26968;
392;808.628000000;2.30862;-1.28652;
393;808.828000000;2.28742;-1.30301;
394;809.028000000;2.26637;-1.31895;
395;809.228000000;2.24503;-1.33456;
396;809.428000000;2.22328;-1.35007;
397;809.628000000;2.20213;-1.36464;
398;809.828000000;2.1803;-1.37921;
399;810.028000000;2.15795;-1.39332;
400;810.228000000;2.13504;-1.40725;
401;810.428000000;2.11264;-1.42042;
402;810.628000000;2.08606;-1.43542;
403;810.828000000;2.06649;-1.44573;
404;811.028000000;2.0468;-1.45557;
405;811.228000000;2.02297;-1.46659;
406;811.428000000;1.99898;-1.47657;
407;811.628000000;1.9705;-1.48693;
408;811.828000000;1.9456;-1.4948;
409;812.029000000;1.92015;-1.50187;
410;812.229000000;1.89442;-1.50813;
411;812.429000000;1.86887;-1.51342;
412;812.628000000;1.84275;-1.51796;
413;812.828000000;1.81182;-1.52226;
414;813.029000000;1.78191;-1.52545;
415;813.228000000;1.75222;-1.52798;
416;813.428000000;1.72079;-1.52982;
417;813.628000000;1.69083;-1.53104;
418;813.828000000;1.6531;-1.5317;
419;814.029000000;1.62715;-1.53185;
420;814.228000000;1.59745;-1.53136;
421;814.428000000;1.5649;-1.53009;
422;814.628000000;1.54004;-1.52886;
423;814.828000000;1.50298;-1.52636;
424;815.028000000;1.46829;-1.52349;
425;815.228000000;1.43576;-1.52021;
426;815.428000000;1.40459;-1.51622;
427;815.628000000;1.36674;-1.5102;
428;815.828000000;1.33834;-1.50517;
429;816.028000000;1.31113;-1.49999;
430;816.228000000;1.27885;-1.49329;
431;816.428000000;1.24555;-1.48597;
432;816.628000000;1.2152;-1.47886;
433;816.828000000;1.18178;-1.4704;
434;817.028000000;1.14729;-1.46162;
435;817.228000000;1.11232;-1.45281;
436;817.428000000;1.07947;-1.44455;
437;817.628000000;1.0455;-1.43557;
438;817.828000000;1.01089;-1.42595;
439;818.028000000;0.976301;-1.4162;
440;818.228000000;0.943371;-1.40693;
441;818.428000000;0.90999;-1.39747;
442;818.628000000;0.875501;-1.38735;
443;818.829000000;0.841359;-1.37689;
444;819.028000000;0.795885;-1.36202;
445;819.228000000;0.773821;-1.35416;
446;819.428000000;0.729912;-1.33784;
447;819.628000000;0.707403;-1.32917;
448;819.828000000;0.674349;-1.3157;
449;820.028000000;0.644352;-1.3028;
450;820.228000000;0.607628;-1.28597;
451;820.428000000;0.591252;-1.27815;
452;820.628000000;0.559015;-1.26178;
453;820.829000000;0.543348;-1.25352;
454;821.028000000;0.511818;-1.23657;
455;821.228000000;0.488477;-1.22402;
456;821.428000000;0.472883;-1.21567;
457;821.628000000;0.449437;-1.20324;
458;821.828000000;0.425568;-1.19041;
459;822.028000000;0.401821;-1.17809;
460;822.228000000;0.378279;-1.1659;
461;822.428000000;0.354566;-1.15328;
462;822.628000000;0.327066;-1.13787;
463;822.828000000;0.303486;-1.12432;
464;823.028000000;0.280209;-1.11106;
465;823.229000000;0.256585;-1.09781;
466;823.428000000;0.23309;-1.08467;
467;823.628000000;0.210654;-1.0715;
468;823.828000000;0.187635;-1.05797;
469;824.028000000;0.164293;-1.04394;
470;824.228000000;0.141028;-1.03015;
471;824.429000000;0.118773;-1.01732;
472;824.628000000;0.0915843;-1.00227;
473;824.828000000;0.0673479;-0.989753;
