id;time;x_odom;y_odom;
1;730.627000000;13;-1.99994;
2;730.827000000;12.9912;-2.00014;
3;731.027000000;12.9648;-2.00325;
4;731.227000000;12.9536;-2.00619;
5;731.428000000;12.9547;-2.00541;
6;731.627000000;12.9686;-1.99114;
7;731.828000000;12.9751;-1.97988;
8;732.027000000;12.9859;-1.95225;
9;732.227000000;12.9918;-1.93057;
10;732.427000000;13;-1.8962;
11;732.628000000;13.0079;-1.86082;
12;732.827000000;13.0159;-1.82582;
13;733.027000000;13.0251;-1.78523;
14;733.227000000;13.0302;-1.76021;
15;733.427000000;13.0353;-1.72837;
16;733.627000000;13.0389;-1.70093;
17;733.827000000;13.0444;-1.65611;
18;734.027000000;13.0466;-1.63297;
19;734.227000000;13.0483;-1.59392;
20;734.427000000;13.0473;-1.5622;
21;734.627000000;13.0447;-1.52721;
22;734.827000000;13.0411;-1.49226;
23;735.028000000;13.0351;-1.45762;
24;735.227000000;13.0259;-1.41703;
25;735.427000000;13.0182;-1.38869;
26;735.627000000;13.0099;-1.36182;
27;735.827000000;12.9972;-1.32329;
28;736.027000000;12.9842;-1.29057;
29;736.227000000;12.9692;-1.25812;
30;736.427000000;12.9531;-1.22678;
31;736.627000000;12.9338;-1.18994;
32;736.828000000;12.9197;-1.16434;
33;737.027000000;12.9014;-1.13433;
34;737.227000000;12.885;-1.10926;
35;737.427000000;12.8615;-1.07483;
36;737.627000000;12.8406;-1.04595;
37;737.827000000;12.8193;-1.01701;
38;738.027000000;12.7984;-0.989123;
39;738.227000000;12.7781;-0.962358;
40;738.427000000;12.7562;-0.934869;
41;738.627000000;12.7322;-0.908518;
42;738.827000000;12.7033;-0.879378;
43;739.027000000;12.6821;-0.858598;
44;739.228000000;12.6603;-0.837953;
45;739.428000000;12.6294;-0.809703;
46;739.627000000;12.6026;-0.786206;
47;739.827000000;12.575;-0.763246;
48;740.027000000;12.5468;-0.741358;
49;740.227000000;12.5131;-0.717042;
50;740.427000000;12.4835;-0.696694;
51;740.627000000;12.4536;-0.676731;
52;740.827000000;12.4285;-0.660687;
53;741.029000000;12.4029;-0.645087;
54;741.227000000;12.3618;-0.620771;
55;741.427000000;12.3409;-0.60901;
56;741.627000000;12.299;-0.586527;
57;741.827000000;12.2777;-0.575295;
58;742.027000000;12.2349;-0.553726;
59;742.227000000;12.2079;-0.540985;
60;742.427000000;12.1751;-0.52599;
61;742.628000000;12.1424;-0.511624;
62;742.827000000;12.1094;-0.498059;
63;743.027000000;12.0758;-0.484946;
64;743.227000000;12.0423;-0.472464;
65;743.427000000;12.0029;-0.458819;
66;743.628000000;11.9743;-0.449529;
67;743.827000000;11.94;-0.438822;
68;744.027000000;11.9056;-0.427988;
69;744.227000000;11.877;-0.418415;
70;744.427000000;11.8374;-0.40553;
71;744.627000000;11.8032;-0.395475;
72;744.827000000;11.7684;-0.387381;
73;745.027000000;11.7333;-0.380438;
74;745.227000000;11.6922;-0.373055;
75;745.427000000;11.657;-0.367195;
76;745.627000000;11.6272;-0.362537;
77;745.827000000;11.5976;-0.357925;
78;746.027000000;11.5558;-0.350423;
79;746.227000000;11.5204;-0.340811;
80;746.427000000;11.4861;-0.329669;
81;746.627000000;11.4519;-0.31895;
82;746.827000000;11.4175;-0.309124;
83;747.028000000;11.384;-0.302141;
84;747.228000000;11.3491;-0.2989;
85;747.427000000;11.3071;-0.296417;
86;747.627000000;11.2775;-0.294237;
87;747.827000000;11.2471;-0.291212;
88;748.027000000;11.2012;-0.284307;
89;748.229000000;11.1633;-0.281375;
90;748.427000000;11.1272;-0.281199;
91;748.627000000;11.0905;-0.278237;
92;748.828000000;11.0512;-0.273752;
93;749.027000000;11.0215;-0.272986;
94;749.227000000;10.9904;-0.272779;
95;749.427000000;10.9484;-0.27148;
96;749.627000000;10.9124;-0.27018;
97;749.827000000;10.8765;-0.269033;
98;750.027000000;10.8406;-0.268009;
99;750.227000000;10.7986;-0.266854;
100;750.427000000;10.7687;-0.265965;
101;750.628000000;10.7387;-0.265104;
102;750.828000000;10.6967;-0.263953;
103;751.027000000;10.6608;-0.262931;
104;751.227000000;10.6249;-0.261881;
105;751.427000000;10.5889;-0.26084;
106;751.627000000;10.553;-0.259786;
107;751.827000000;10.5171;-0.258771;
108;752.027000000;10.4751;-0.257618;
109;752.227000000;10.4451;-0.256827;
110;752.427000000;10.4152;-0.256271;
111;752.627000000;10.3791;-0.255708;
112;752.827000000;10.3373;-0.254957;
113;753.027000000;10.3012;-0.254337;
114;753.227000000;10.2653;-0.253746;
115;753.427000000;10.2294;-0.253184;
116;753.627000000;10.1934;-0.252972;
117;753.827000000;10.1574;-0.252811;
118;754.027000000;10.116;-0.252015;
119;754.227000000;10.0858;-0.250882;
120;754.427000000;10.0499;-0.249512;
121;754.627000000;10.02;-0.248484;
122;754.827000000;9.97805;-0.247412;
123;755.027000000;9.94211;-0.246567;
124;755.228000000;9.90622;-0.245706;
125;755.427000000;9.87015;-0.244872;
126;755.627000000;9.82836;-0.243881;
127;755.827000000;9.79838;-0.243233;
128;756.027000000;9.76833;-0.242869;
129;756.227000000;9.72552;-0.242477;
130;756.428000000;9.68966;-0.243546;
131;756.627000000;9.65425;-0.246151;
132;756.827000000;9.61865;-0.24957;
133;757.027000000;9.58352;-0.251173;
134;757.227000000;9.54081;-0.24887;
135;757.428000000;9.50505;-0.245148;
136;757.627000000;9.47521;-0.242512;
137;757.827000000;9.44517;-0.240216;
138;758.027000000;9.40351;-0.2371;
139;758.227000000;9.36757;-0.234411;
140;758.428000000;9.33164;-0.23182;
141;758.627000000;9.2959;-0.229332;
142;758.827000000;9.25991;-0.22694;
143;759.027000000;9.224;-0.224627;
144;759.227000000;9.1823;-0.222415;
145;759.427000000;9.14622;-0.220881;
146;759.627000000;9.11621;-0.219438;
147;759.828000000;9.08627;-0.217787;
148;760.027000000;9.04425;-0.215234;
149;760.227000000;9.0084;-0.212894;
150;760.427000000;8.97256;-0.210574;
151;760.628000000;8.93652;-0.20829;
152;760.828000000;8.89486;-0.205791;
153;761.027000000;8.85888;-0.203491;
154;761.227000000;8.82877;-0.20137;
155;761.427000000;8.79304;-0.198799;
156;761.627000000;8.75717;-0.196326;
157;761.827000000;8.72708;-0.194327;
158;762.027000000;8.6858;-0.19157;
159;762.228000000;8.64987;-0.188808;
160;762.427000000;8.61393;-0.186137;
161;762.627000000;8.57822;-0.183758;
162;762.827000000;8.54222;-0.181278;
163;763.027000000;8.50641;-0.178604;
164;763.227000000;8.46478;-0.175707;
165;763.427000000;8.43472;-0.173748;
166;763.629000000;8.40472;-0.171796;
167;763.827000000;8.36303;-0.169128;
168;764.027000000;8.32702;-0.166961;
169;764.227000000;8.29112;-0.164763;
170;764.427000000;8.25532;-0.162583;
171;764.628000000;8.21934;-0.160668;
172;764.827000000;8.17755;-0.158998;
173;765.027000000;8.1476;-0.158021;
174;765.227000000;8.11749;-0.157174;
175;765.427000000;8.08159;-0.156204;
176;765.627000000;8.03979;-0.155259;
177;765.827000000;8.00382;-0.154626;
178;766.027000000;7.96779;-0.153702;
179;766.227000000;7.93189;-0.152732;
180;766.428000000;7.89587;-0.152047;
181;766.628000000;7.85997;-0.151418;
182;766.827000000;7.82399;-0.150788;
183;767.028000000;7.78208;-0.150052;
184;767.227000000;7.75214;-0.149601;
185;767.428000000;7.72209;-0.149281;
186;767.627000000;7.68609;-0.148931;
187;767.827000000;7.63837;-0.148301;
188;768.027000000;7.60824;-0.1477;
189;768.227000000;7.57232;-0.147008;
190;768.428000000;7.53642;-0.146533;
191;768.627000000;7.50038;-0.146306;
192;768.827000000;7.46435;-0.146033;
193;769.027000000;7.42851;-0.145631;
194;769.228000000;7.39239;-0.144706;
195;769.427000000;7.35632;-0.143667;
196;769.627000000;7.32056;-0.142748;
197;769.827000000;7.27863;-0.141091;
198;770.027000000;7.24919;-0.140224;
199;770.227000000;7.2136;-0.140268;
200;770.428000000;7.18334;-0.140061;
201;770.627000000;7.14115;-0.139176;
202;770.827000000;7.10523;-0.138442;
203;771.028000000;7.06929;-0.137868;
204;771.227000000;7.03321;-0.137181;
205;771.428000000;6.99728;-0.136577;
206;771.627000000;6.9554;-0.13627;
207;771.827000000;6.92554;-0.136094;
208;772.027000000;6.88941;-0.135447;
209;772.228000000;6.85953;-0.134799;
210;772.428000000;6.81769;-0.133925;
211;772.627000000;6.78178;-0.133276;
212;772.827000000;6.74554;-0.132907;
213;773.027000000;6.70967;-0.132287;
214;773.227000000;6.67376;-0.131788;
215;773.427000000;6.63139;-0.131435;
216;773.627000000;6.6013;-0.130726;
217;773.827000000;6.56524;-0.129671;
218;774.027000000;6.53526;-0.128931;
219;774.227000000;6.49379;-0.12778;
220;774.427000000;6.45764;-0.126887;
221;774.628000000;6.42211;-0.12623;
222;774.827000000;6.38643;-0.126079;
223;775.027000000;6.35095;-0.125511;
224;775.227000000;6.31629;-0.125342;
225;775.427000000;6.28037;-0.125076;
226;775.627000000;6.2386;-0.124778;
227;775.827000000;6.20832;-0.124733;
228;776.027000000;6.17219;-0.124626;
229;776.228000000;6.14265;-0.1239;
230;776.427000000;6.10694;-0.123428;
231;776.627000000;6.06506;-0.123142;
232;776.827000000;6.02914;-0.122944;
233;777.027000000;5.99327;-0.122799;
234;777.227000000;5.95725;-0.122632;
235;777.427000000;5.91547;-0.122613;
236;777.627000000;5.87961;-0.122764;
237;777.827000000;5.84955;-0.12306;
238;778.028000000;5.81367;-0.1236;
239;778.227000000;5.7837;-0.124291;
240;778.427000000;5.73575;-0.125907;
241;778.627000000;5.70035;-0.126365;
242;778.827000000;5.67037;-0.125081;
243;779.028000000;5.63467;-0.124495;
244;779.227000000;5.59781;-0.124755;
245;779.427000000;5.56202;-0.126081;
246;779.627000000;5.52509;-0.127197;
247;779.827000000;5.48321;-0.127817;
248;780.027000000;5.45336;-0.128743;
249;780.227000000;5.42286;-0.129489;
250;780.427000000;5.38062;-0.129539;
251;780.627000000;5.34474;-0.130002;
252;780.827000000;5.30949;-0.129321;
253;781.027000000;5.27476;-0.128823;
254;781.227000000;5.2391;-0.129289;
255;781.427000000;5.20318;-0.130967;
256;781.627000000;5.16226;-0.133796;
257;781.827000000;5.1323;-0.136038;
258;782.028000000;5.10235;-0.138199;
259;782.228000000;5.05464;-0.141316;
260;782.427000000;5.02463;-0.143248;
261;782.627000000;4.98864;-0.145224;
262;782.827000000;4.95279;-0.147125;
263;783.027000000;4.91686;-0.149142;
264;783.227000000;4.87509;-0.151564;
265;783.427000000;4.84513;-0.153231;
266;783.627000000;4.81519;-0.154832;
267;783.827000000;4.77346;-0.157453;
268;784.028000000;4.73801;-0.159838;
269;784.227000000;4.70209;-0.162131;
270;784.427000000;4.66627;-0.164553;
271;784.627000000;4.63165;-0.167111;
272;784.827000000;4.59555;-0.169107;
273;785.027000000;4.55927;-0.169999;
274;785.227000000;4.52329;-0.170309;
275;785.427000000;4.48115;-0.170713;
276;785.627000000;4.45113;-0.170639;
277;785.828000000;4.415;-0.170049;
278;786.027000000;4.38494;-0.168979;
279;786.227000000;4.33721;-0.166685;
280;786.427000000;4.3071;-0.164718;
281;786.627000000;4.27109;-0.162109;
282;786.828000000;4.23533;-0.159339;
283;787.027000000;4.19938;-0.156407;
284;787.227000000;4.1575;-0.152953;
285;787.427000000;4.12175;-0.149806;
286;787.627000000;4.09168;-0.147043;
287;787.828000000;4.05585;-0.143628;
288;788.027000000;4.02014;-0.140193;
289;788.227000000;3.99014;-0.137283;
290;788.427000000;3.94839;-0.13318;
291;788.629000000;3.91267;-0.129649;
292;788.827000000;3.87663;-0.125822;
293;789.027000000;3.84099;-0.121705;
294;789.227000000;3.80533;-0.117047;
295;789.427000000;3.76352;-0.111588;
296;789.627000000;3.7339;-0.107411;
297;789.827000000;3.70429;-0.103125;
298;790.027000000;3.6686;-0.0988011;
299;790.227000000;3.62704;-0.094049;
300;790.427000000;3.59134;-0.0896332;
301;790.627000000;3.55548;-0.0854365;
302;790.827000000;3.51993;-0.0814448;
303;791.029000000;3.47991;-0.0796413;
304;791.227000000;3.4544;-0.08495;
305;791.428000000;3.42982;-0.0975795;
306;791.627000000;3.40022;-0.123993;
307;791.827000000;3.3768;-0.151272;
308;792.027000000;3.35198;-0.178253;
309;792.227000000;3.32847;-0.206092;
310;792.427000000;3.30526;-0.23381;
311;792.628000000;3.27851;-0.265536;
312;792.827000000;3.2588;-0.288045;
313;793.027000000;3.23476;-0.314743;
314;793.227000000;3.21511;-0.33712;
315;793.427000000;3.18808;-0.368194;
316;793.627000000;3.16508;-0.395723;
317;793.827000000;3.14178;-0.423237;
318;794.027000000;3.11813;-0.450379;
319;794.227000000;3.09394;-0.477112;
320;794.427000000;3.06974;-0.503646;
321;794.627000000;3.04498;-0.529716;
322;794.829000000;3.01637;-0.559843;
323;795.027000000;2.99708;-0.581917;
324;795.227000000;2.9752;-0.605376;
325;795.427000000;2.94726;-0.630205;
326;795.627000000;2.91571;-0.657484;
327;795.827000000;2.89072;-0.682535;
328;796.027000000;2.86637;-0.70873;
329;796.228000000;2.84159;-0.734894;
330;796.427000000;2.81752;-0.760484;
331;796.627000000;2.79272;-0.786431;
332;796.827000000;2.76276;-0.815735;
333;797.027000000;2.74187;-0.837213;
334;797.227000000;2.72098;-0.858047;
335;797.427000000;2.6944;-0.88275;
336;797.627000000;2.66344;-0.910231;
337;797.827000000;2.63602;-0.933361;
338;798.027000000;2.60813;-0.95657;
339;798.227000000;2.57963;-0.978843;
340;798.427000000;2.54635;-1.00424;
341;798.627000000;2.52159;-1.02206;
342;798.827000000;2.49197;-1.04117;
343;799.027000000;2.46634;-1.05653;
344;799.227000000;2.42891;-1.07652;
345;799.427000000;2.3964;-1.09224;
346;799.627000000;2.36403;-1.1076;
347;799.827000000;2.33108;-1.12172;
348;800.027000000;2.29725;-1.13483;
349;800.227000000;2.25829;-1.14898;
350;800.427000000;2.23003;-1.15897;
351;800.627000000;2.2014;-1.16865;
352;800.827000000;2.16133;-1.18142;
353;801.027000000;2.12669;-1.19137;
354;801.227000000;2.09182;-1.20103;
355;801.427000000;2.05744;-1.21069;
356;801.628000000;2.0229;-1.2206;
357;801.827000000;1.98791;-1.23028;
358;802.029000000;1.95202;-1.23955;
359;802.228000000;1.92711;-1.24705;
360;802.427000000;1.89988;-1.2576;
361;802.627000000;1.87455;-1.26644;
362;802.827000000;1.84559;-1.27569;
363;803.028000000;1.80432;-1.28238;
364;803.227000000;1.76455;-1.28386;
365;803.427000000;1.72848;-1.28605;
366;803.627000000;1.6924;-1.28818;
367;803.828000000;1.6565;-1.2894;
368;804.027000000;1.61398;-1.28921;
369;804.227000000;1.58357;-1.28757;
370;804.427000000;1.54746;-1.28388;
371;804.627000000;1.5116;-1.27905;
372;804.827000000;1.47611;-1.27376;
373;805.027000000;1.44657;-1.26863;
374;805.227000000;1.3994;-1.26172;
375;805.428000000;1.364;-1.25722;
376;805.627000000;1.33417;-1.25353;
377;805.827000000;1.29829;-1.249;
378;806.028000000;1.263;-1.2443;
379;806.228000000;1.2273;-1.23976;
380;806.427000000;1.19146;-1.23531;
381;806.627000000;1.1558;-1.23045;
382;806.827000000;1.1141;-1.22349;
383;807.027000000;1.08445;-1.21778;
384;807.227000000;1.05513;-1.21159;
385;807.428000000;1.0199;-1.20364;
386;807.627000000;0.979036;-1.19411;
387;807.827000000;0.944315;-1.18585;
388;808.027000000;0.909243;-1.17806;
389;808.228000000;0.874146;-1.17102;
390;808.428000000;0.83304;-1.16278;
391;808.627000000;0.803508;-1.15648;
392;808.827000000;0.774165;-1.15005;
393;809.027000000;0.733323;-1.1409;
394;809.227000000;0.698173;-1.13285;
395;809.427000000;0.663196;-1.12487;
396;809.627000000;0.628182;-1.11672;
