id;time;x_odom;y_odom;
1;297.393000000;-6.20668;4.51906;
2;297.593000000;-6.22939;4.51902;
3;297.793000000;-6.25258;4.51888;
4;297.996000000;-6.28788;4.51881;
5;298.193000000;-6.31005;4.51872;
6;298.393000000;-6.33685;4.51866;
7;298.594000000;-6.36349;4.51846;
8;298.793000000;-6.38984;4.5185;
9;298.993000000;-6.42088;4.51855;
10;299.193000000;-6.44332;4.51845;
11;299.393000000;-6.46553;4.51839;
12;299.593000000;-6.50054;4.51869;
13;299.793000000;-6.52281;4.5189;
14;299.993000000;-6.54969;4.51886;
15;300.193000000;-6.5764;4.5186;
16;300.393000000;-6.60268;4.51861;
17;300.593000000;-6.62918;4.51895;
18;300.793000000;-6.6561;4.51927;
19;300.993000000;-6.68249;4.51947;
20;301.193000000;-6.71328;4.51969;
21;301.393000000;-6.73999;4.51965;
22;301.593000000;-6.76261;4.51916;
23;301.793000000;-6.78552;4.51713;
24;301.993000000;-6.81361;4.51123;
25;302.193000000;-6.83857;4.50234;
26;302.393000000;-6.86944;4.4846;
27;302.593000000;-6.89709;4.45987;
28;302.793000000;-6.92112;4.42274;
29;302.994000000;-6.93113;4.39262;
30;303.193000000;-6.93431;4.36098;
31;303.393000000;-6.92785;4.31991;
32;303.593000000;-6.92284;4.30762;
33;303.793000000;-6.92541;4.31081;
34;303.993000000;-6.93137;4.31576;
35;304.194000000;-6.93544;4.31767;
36;304.393000000;-6.93964;4.31859;
37;304.593000000;-6.94358;4.31865;
38;304.793000000;-6.95188;4.31705;
39;304.993000000;-6.96459;4.31216;
40;305.194000000;-6.98237;4.30203;
41;305.393000000;-7.00404;4.28499;
42;305.593000000;-7.02253;4.26572;
43;305.794000000;-7.04018;4.24203;
44;305.993000000;-7.05286;4.22012;
45;306.193000000;-7.06324;4.19682;
46;306.393000000;-7.07083;4.17332;
47;306.594000000;-7.07699;4.14804;
48;306.794000000;-7.08214;4.11801;
49;306.993000000;-7.08473;4.09639;
50;307.194000000;-7.08654;4.07467;
51;307.393000000;-7.08806;4.04403;
52;307.593000000;-7.08878;4.0177;
53;307.793000000;-7.0891;3.99115;
54;307.993000000;-7.08917;3.96465;
55;308.193000000;-7.08858;3.93344;
56;308.393000000;-7.08825;3.90972;
57;308.593000000;-7.08815;3.88265;
58;308.793000000;-7.08826;3.86051;
59;308.993000000;-7.08864;3.83384;
60;309.193000000;-7.0905;3.79149;
61;309.393000000;-7.09372;3.7648;
62;309.593000000;-7.1;3.73391;
63;309.793000000;-7.10924;3.70274;
64;309.993000000;-7.1223;3.6683;
65;310.193000000;-7.13845;3.63533;
66;310.393000000;-7.16093;3.59895;
67;310.593000000;-7.18319;3.56967;
68;310.794000000;-7.20285;3.5476;
69;310.993000000;-7.22438;3.52684;
70;311.193000000;-7.25556;3.50157;
71;311.393000000;-7.28315;3.48293;
72;311.593000000;-7.3151;3.46499;
73;311.793000000;-7.34832;3.44976;
74;311.993000000;-7.38145;3.43754;
75;312.193000000;-7.41653;3.42754;
76;312.393000000;-7.45053;3.4205;
77;312.593000000;-7.49278;3.41506;
78;312.793000000;-7.52329;3.41348;
79;312.993000000;-7.55929;3.41401;
80;313.193000000;-7.59585;3.41677;
81;313.393000000;-7.62606;3.42084;
82;313.593000000;-7.6677;3.42929;
83;313.793000000;-7.70285;3.43894;
84;313.993000000;-7.73631;3.45048;
85;314.193000000;-7.76982;3.46448;
86;314.393000000;-7.80242;3.48048;
87;314.594000000;-7.83807;3.50086;
88;314.796000000;-7.86329;3.51711;
89;314.993000000;-7.88807;3.53457;
90;315.194000000;-7.92128;3.56081;
91;315.393000000;-7.94853;3.58495;
92;315.593000000;-7.97464;3.61056;
93;315.793000000;-7.99919;3.63712;
94;315.994000000;-8.02175;3.66408;
95;316.193000000;-8.0439;3.69278;
96;316.393000000;-8.06808;3.72689;
97;316.593000000;-8.08384;3.75098;
98;316.793000000;-8.09963;3.77663;
99;316.993000000;-8.11754;3.80749;
100;317.193000000;-8.13554;3.84118;
101;317.393000000;-8.14888;3.86851;
102;317.593000000;-8.16367;3.90118;
103;317.795000000;-8.17775;3.93442;
104;317.993000000;-8.19104;3.96795;
105;318.193000000;-8.20351;4.00187;
106;318.393000000;-8.21427;4.03373;
107;318.593000000;-8.22592;4.07133;
108;318.793000000;-8.23235;4.0941;
109;318.993000000;-8.24002;4.12274;
110;319.193000000;-8.24756;4.15188;
111;319.393000000;-8.25757;4.19264;
112;319.593000000;-8.26577;4.22773;
113;319.793000000;-8.27337;4.26229;
114;319.994000000;-8.28063;4.29746;
115;320.193000000;-8.28768;4.33281;
116;320.393000000;-8.29559;4.37411;
117;320.593000000;-8.30095;4.40357;
118;320.793000000;-8.30716;4.43912;
119;320.993000000;-8.31313;4.47472;
120;321.193000000;-8.31793;4.50422;
121;321.393000000;-8.32357;4.53984;
122;321.593000000;-8.3299;4.58139;
