id;time;x_odom;y_odom;
1;297.199000000;-6.20198;4.51905;
2;297.399000000;-6.2103;4.51906;
3;297.599000000;-6.24157;4.51836;
4;297.799000000;-6.27557;4.51499;
5;297.999000000;-6.30961;4.50778;
6;298.200000000;-6.34328;4.49752;
7;298.399000000;-6.37503;4.48507;
8;298.599000000;-6.40709;4.47042;
9;298.799000000;-6.43108;4.4579;
10;298.999000000;-6.45442;4.4445;
11;299.199000000;-6.48644;4.42367;
12;299.399000000;-6.51233;4.40451;
13;299.599000000;-6.53533;4.38543;
14;299.799000000;-6.55762;4.36475;
15;300.000000000;-6.57781;4.34391;
16;300.200000000;-6.59666;4.32191;
17;300.399000000;-6.614;4.29926;
18;300.599000000;-6.63148;4.27225;
19;300.799000000;-6.64245;4.25221;
20;300.999000000;-6.65259;4.23149;
21;301.200000000;-6.66358;4.20694;
22;301.399000000;-6.67662;4.17438;
23;301.599000000;-6.68781;4.14311;
24;301.799000000;-6.69746;4.1123;
25;301.999000000;-6.7049;4.08523;
26;302.199000000;-6.71227;4.05495;
27;302.399000000;-6.71836;4.02599;
28;302.599000000;-6.72327;3.99827;
29;302.799000000;-6.72819;3.9646;
30;302.999000000;-6.73137;3.93739;
31;303.199000000;-6.73392;3.9103;
32;303.399000000;-6.73599;3.8889;
33;303.599000000;-6.73902;3.86314;
34;303.799000000;-6.74225;3.8415;
35;303.999000000;-6.7485;3.80819;
36;304.200000000;-6.75347;3.78712;
37;304.399000000;-6.76062;3.76226;
38;304.599000000;-6.76891;3.73796;
39;304.799000000;-6.7783;3.71362;
40;305.000000000;-6.7905;3.68564;
41;305.199000000;-6.80238;3.66252;
42;305.399000000;-6.81533;3.64054;
43;305.599000000;-6.82692;3.62232;
44;305.799000000;-6.8392;3.60455;
45;305.999000000;-6.85719;3.58159;
46;306.199000000;-6.87439;3.56179;
47;306.399000000;-6.89237;3.54254;
48;306.599000000;-6.91054;3.52418;
49;306.800000000;-6.93298;3.50418;
50;306.999000000;-6.95034;3.49078;
51;307.199000000;-6.97173;3.47532;
52;307.399000000;-6.99277;3.4618;
53;307.599000000;-7.01117;3.45112;
54;307.799000000;-7.03802;3.43752;
55;307.999000000;-7.06189;3.42713;
56;308.199000000;-7.0865;3.41785;
57;308.399000000;-7.11151;3.40971;
58;308.599000000;-7.13655;3.40271;
59;308.799000000;-7.16192;3.39675;
60;308.999000000;-7.18762;3.3921;
61;309.199000000;-7.2136;3.38859;
62;309.399000000;-7.24434;3.38571;
63;309.600000000;-7.26596;3.38422;
64;309.799000000;-7.29216;3.38307;
65;309.999000000;-7.3142;3.38253;
66;310.199000000;-7.3453;3.38229;
67;310.399000000;-7.37176;3.38237;
68;310.599000000;-7.39797;3.38295;
69;310.799000000;-7.42442;3.38421;
70;311.000000000;-7.45099;3.38635;
71;311.200000000;-7.47774;3.38876;
72;311.399000000;-7.50571;3.39221;
73;311.599000000;-7.54011;3.39732;
74;311.799000000;-7.56664;3.40165;
75;311.999000000;-7.59552;3.40679;
76;312.199000000;-7.62904;3.41344;
77;312.399000000;-7.66897;3.42169;
78;312.600000000;-7.70359;3.4291;
79;312.799000000;-7.73734;3.43745;
80;313.000000000;-7.77097;3.44657;
81;313.199000000;-7.80532;3.45693;
82;313.399000000;-7.83875;3.46809;
83;313.599000000;-7.87764;3.48276;
84;313.799000000;-7.90494;3.49441;
85;313.999000000;-7.9318;3.50708;
86;314.199000000;-7.96783;3.52606;
87;314.402000000;-7.99613;3.54265;
88;314.599000000;-8.02369;3.5606;
89;314.799000000;-8.05037;3.57994;
90;315.000000000;-8.0771;3.60172;
91;315.199000000;-8.10042;3.62342;
92;315.400000000;-8.11965;3.64389;
93;315.599000000;-8.14028;3.66885;
