id;time;x_odom;y_odom;
1;297.386000000;-6.2025;4.51906;
2;297.586000000;-6.2161;4.51945;
3;297.786000000;-6.23267;4.52166;
4;297.986000000;-6.24799;4.52651;
5;298.186000000;-6.25084;4.52791;
6;298.386000000;-6.23997;4.51631;
7;298.586000000;-6.22528;4.49038;
8;298.786000000;-6.21752;4.44607;
9;298.986000000;-6.22224;4.41428;
10;299.186000000;-6.23381;4.38851;
11;299.386000000;-6.25458;4.36173;
12;299.586000000;-6.27696;4.33926;
13;299.786000000;-6.30008;4.31218;
14;299.986000000;-6.31994;4.28523;
15;300.186000000;-6.34253;4.25744;
16;300.386000000;-6.36807;4.23069;
17;300.586000000;-6.39424;4.20602;
18;300.786000000;-6.42145;4.18208;
19;300.986000000;-6.44923;4.15854;
20;301.186000000;-6.47692;4.13503;
21;301.386000000;-6.51127;4.11158;
22;301.587000000;-6.54731;4.10008;
23;301.786000000;-6.57782;4.09935;
24;301.986000000;-6.61392;4.10641;
25;302.186000000;-6.64852;4.11762;
26;302.386000000;-6.67721;4.127;
27;302.586000000;-6.71013;4.13543;
28;302.786000000;-6.75086;4.14252;
29;302.986000000;-6.78574;4.1474;
30;303.186000000;-6.82091;4.15126;
31;303.387000000;-6.84624;4.15365;
32;303.586000000;-6.84662;4.15368;
33;303.786000000;-6.84646;4.15371;
34;303.986000000;-6.84372;4.15261;
35;304.186000000;-6.82833;4.14251;
36;304.386000000;-6.8148;4.12667;
37;304.587000000;-6.80165;4.09276;
38;304.786000000;-6.80119;4.06439;
39;304.987000000;-6.8035;4.05526;
40;305.186000000;-6.79989;4.06099;
41;305.387000000;-6.79143;4.07314;
42;305.586000000;-6.78375;4.08392;
43;305.786000000;-6.78101;4.08793;
44;305.986000000;-6.78148;4.08704;
45;306.187000000;-6.77887;4.09853;
46;306.386000000;-6.77907;4.11759;
47;306.586000000;-6.7869;4.14336;
48;306.786000000;-6.80197;4.16506;
49;306.986000000;-6.83224;4.1871;
50;307.186000000;-6.8634;4.19788;
51;307.386000000;-6.88829;4.20242;
52;307.586000000;-6.90516;4.20191;
53;307.786000000;-6.92934;4.19329;
54;307.986000000;-6.93865;4.18602;
55;308.186000000;-6.93421;4.19396;
56;308.386000000;-6.93106;4.20041;
57;308.586000000;-6.9337;4.19423;
58;308.786000000;-6.94086;4.17438;
59;308.986000000;-6.95121;4.1348;
60;309.186000000;-6.95772;4.11555;
61;309.387000000;-6.96055;4.10932;
62;309.586000000;-6.95486;4.1175;
63;309.786000000;-6.94552;4.1284;
64;309.987000000;-6.92342;4.14341;
65;310.186000000;-6.91345;4.14744;
66;310.386000000;-6.91846;4.14614;
67;310.586000000;-6.93806;4.14089;
68;310.786000000;-6.95377;4.13528;
69;310.986000000;-6.97115;4.12611;
70;311.187000000;-6.98222;4.11745;
71;311.386000000;-6.98205;4.11793;
72;311.586000000;-6.97946;4.12136;
73;311.786000000;-6.98498;4.11329;
74;311.986000000;-6.98979;4.10606;
75;312.186000000;-6.99963;4.09081;
76;312.386000000;-7.01156;4.06798;
77;312.586000000;-7.0163;4.05545;
78;312.786000000;-7.02104;4.04005;
79;312.986000000;-7.02501;4.02344;
80;313.186000000;-7.02791;4.00849;
81;313.386000000;-7.03014;3.99423;
82;313.586000000;-7.03202;3.98003;
83;313.786000000;-7.03324;3.96663;
84;313.987000000;-7.03403;3.95381;
85;314.187000000;-7.03412;3.95279;
86;314.386000000;-7.03463;3.94692;
87;314.586000000;-7.0353;3.93809;
88;314.786000000;-7.0347;3.94504;
89;314.986000000;-7.03211;3.96461;
90;315.186000000;-7.02752;3.98204;
91;315.386000000;-7.01973;3.99861;
92;315.589000000;-7.01431;4.00662;
93;315.786000000;-7.00559;4.01525;
94;315.987000000;-6.99944;4.02047;
95;316.186000000;-7.00283;4.01777;
96;316.387000000;-7.00563;4.01551;
97;316.586000000;-7.01512;4.00726;
98;316.786000000;-7.02871;3.9923;
99;316.986000000;-7.04144;3.97151;
100;317.186000000;-7.0518;3.94115;
101;317.387000000;-7.05366;3.91588;
102;317.587000000;-7.05171;3.89146;
103;317.786000000;-7.04683;3.86633;
104;317.986000000;-7.04088;3.84376;
105;318.186000000;-7.03546;3.82081;
106;318.386000000;-7.03311;3.80104;
107;318.586000000;-7.03563;3.77089;
108;318.786000000;-7.04214;3.74646;
109;318.986000000;-7.05546;3.71663;
110;319.187000000;-7.07687;3.68368;
111;319.386000000;-7.09819;3.65468;
112;319.587000000;-7.12723;3.62515;
113;319.786000000;-7.14649;3.61145;
114;319.986000000;-7.16271;3.60192;
115;320.186000000;-7.18094;3.59244;
116;320.386000000;-7.20663;3.58092;
117;320.586000000;-7.22742;3.57086;
118;320.786000000;-7.25869;3.55668;
119;320.986000000;-7.28826;3.54522;
120;321.186000000;-7.31956;3.53788;
121;321.386000000;-7.35784;3.53418;
122;321.586000000;-7.37716;3.53253;
123;321.787000000;-7.39685;3.5312;
124;321.986000000;-7.41651;3.53099;
125;322.186000000;-7.43855;3.53171;
126;322.386000000;-7.45165;3.53221;
